 Comuna , Código , Nombre Iniciativa , Unidad Técnica , Estado Iniciativa , Sub-Estado Iniciativa , Saldo 2026 
QUIRIHUE,40073352,"HABILITACIÓN EDIFICIO CASIANO ANDRADE VERA, QUIRIHUE",MUNICIPIO,EJECUCIÓN,AVANCE," $ 278,980 "
RÁNQUIL,40062079,"CONSTRUCCIÓN DE SISTEMA DE CÁMARAS DE TELEVIGILANCIA, E INSTALACIÓN DE LUMINARIAS FOTOVOLTAICO",MUNICIPIO,EJECUCIÓN,AVANCE," $ 180,563 "
RÁNQUIL,40061254,"CONSTRUCCIÓN ILUMINACIÓN ESTADIO NUEVA ALDEA, COMUNA DE RÁNQUIL",MUNICIPIO,EJECUCIÓN,AVANCE," $ 174,597 "
BULNES,40061363,REPOSICION CIERRE PERIMETRAL RECINTO CLUB DEPORTIVO UNION PUEBLO SECO,MUNICIPIO,EJECUCIÓN,AVANCE," $ 171,994 "
BULNES,40061362,"CONSTRUCCIÓN CANCHA PASTO SINTÉTICO CLUB DEPORTIVO CENTELLA, COMUNA DE BULNES",MUNICIPIO,EJECUCIÓN,AVANCE," $ 171,645 "
COBQUECURA,40061495,"CONSTRUCCIÓN CAMARINES INCLUSIVOS ESTADIO FISCAL, COMUNA DE COBQUECURA",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 170,203 "
COELEMU,40060888,"MEJORAMIENTO EDIFICIO CONSISTORIAL, COMUNA DE COELEMU",MUNICIPIO,EJECUCIÓN,CONTRATACIÓN," $ 169,116 "
COELEMU,40060783,"CONSTRUCCION RECINTO DEPORTIVO Y CAMARINES CLUB DEPOTIVO ARTURO PRAT, COMUNA DE COELEMU",MUNICIPIO,EJECUCIÓN,AVANCE," $ 168,444 "
TREHUACO,40056534,"MEJORAMIENTO ESCUELA BÁSICA MINAS LEUQUE, COMUNA DE TREHUACO",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 165,999 "
PEMUCO,40061493,INSTALACION ALUMBRADO DIVERSOS SECTORES DE PEMUCO,MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 165,917 "
BULNES,40065748,CONSTRUCCION SERVICIOS HIGENICOS Y COCINA PARA SEDE UCAM,MUNICIPIO,EJECUCIÓN,AVANCE," $ 164,897 "
EL CARMEN,40061780,"CONSTRUCCIÓN CAMARINES, SECTOR SAN FRANCISCO, COMUNA EL CARMEN",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 160,964 "
QUILLÓN,40061657,"CONSTRUCCIÓN PATIO TECHADO ESCUELA AMANDA CHÁVEZ NAVARRETE, QUILLÓN",MUNICIPIO,EJECUCIÓN,AVANCE," $ 157,748 "
BULNES,40056370,"CONSTRUCCIÓN AREAS VERDES VILLA LOS AROMOS DE MILAHUE, COMUNA DE BULNES",MUNICIPIO,EJECUCIÓN,AVANCE," $ 157,110 "
EL CARMEN,40055011,"CONSTRUCCION CAMARINES SECTOR CASTAÑAL, COMUNA EL CARMEN",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 155,611 "
PINTO,40065525,"INSTALACIÓN ALUMBRADO PUBLICO CAMINO SAN IGNACIO, PEDERNALES, CAMINO VECINAL, COMUNA DE PINTO",MUNICIPIO,EJECUCIÓN,AVANCE," $ 153,507 "
COBQUECURA,40065498,"MEJORAMIENTO ESPACIO CENTRAL LICEO DIEGO MISSENE, COMUNA DE COBQUECURA",MUNICIPIO,EJECUCIÓN,ADJUDICACIÓN," $ 150,655 "
