,,,,,,,,,,,,,,,,,,,,
,TOTAL 2023,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,,Rebajas,,,
,MARCO PRESUPUESTARIO VIGENTE,,"$64,955,764","$64,955,764","$65,854,279","$64,826,626","$64,659,387","$64,659,387","$64,659,387","$64,659,387","$64,359,387","$64,009,964","$64,009,964","$60,015,566",,,"$185,250",Oficio 8/2023,FIBE,hogares con afectacion de incendios
,EJECUTADO PROG X MES,,"$3,413,894","$4,979,871","$4,374,757","$3,473,975","$2,808,690","$2,839,049","$2,663,116","$2,867,014","$4,779,064","$3,364,627","$10,643,338","$13,179,804",,"$55,359,907",7.76%,,,
,% EJECUTADO PROG X MES,,5.26%,7.67%,6.64%,5.36%,4.34%,4.39%,4.12%,4.43%,7.43%,5.26%,16.63%,21.96%,,,,,,
,EJECUTADO PROG ACUMULADO,,"$3,413,894","$8,393,765","$12,768,522","$16,242,497","$19,051,187","$21,890,236","$24,553,352","$27,420,366","$32,199,430","$35,564,057","$46,207,395","$59,387,199","$628,367","$50,555,287",8.01%,,,
,% EJECUTADO PROG ACUMULADO,,5.26%,12.92%,19.39%,25.06%,29.46%,33.85%,37.97%,42.41%,50.03%,55.56%,72.19%,98.95%,,,,,,
,EJECUTADO REAL X MES,,"$3,413,894","$4,979,871","$4,374,756","$3,473,975","$2,808,690","$2,839,049","$2,663,116","$2,867,014","$4,779,064","$3,364,627","$10,643,337","$13,197,887",,,15.76%,,,
,% EJECUTADO REAL X MES,,5.26%,7.67%,6.64%,5.36%,4.34%,4.39%,4.12%,4.43%,7.43%,5.26%,16.63%,21.99%,,,,,,
,EJECUTADO REAL ACUMULADO,,"$3,413,894","$8,393,765","$12,768,521","$16,242,496","$19,051,186","$21,890,235","$24,553,351","$27,420,365","$32,199,429","$35,564,056","$46,207,393","$59,405,280","-$18,081",,,,,
,% EJECUTADO REAL ACUMULADO,,5.26%,12.92%,19.39%,25.06%,29.46%,33.85%,37.97%,42.41%,50.03%,55.56%,72.19%,98.98%,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,,,,,,,,
,MES,2023 Proyectado,,2023 real,,MES,PROGRAMADO,EJECUTADO,MENSUAL,PROG. MENSUAL,,,,,,,,,,
,ENE,,,5.26%,,ENE,"$3,413,894","$3,413,894","$3,413,894","$1,296,116",,,,,,,,,,
,FEB,,,12.92%,,FEB,"$8,393,765","$8,393,765","$4,979,871","$1,331,850",,,,,,,,,,
,MAR,,,19.39%,,MAR,"$12,768,522","$12,768,521","$4,374,756","$1,804,861",,,,,,,,,,
,ABR,,,25.06%,,ABR,$0,"$16,242,496","$3,473,975","-$12,768,522",,,,,,,,,,
,MAY,,,29.95%,,MAY,$0,"$19,051,186","$2,808,690",$0,,,,,,,SUBT,M$,,
,JUN,,,33.85%,,JUN,$0,"$21,890,235","$2,839,049",$0,,,,,,,24,"$9,424,212",15.85%,
,JUL,,,34.06%,,JUL,$0,"$24,553,351","$2,663,116",$0,,,,,,,29,"$4,324,247",7.27%,
,AGO,,,42.41%,,AGO,$0,"$27,420,365","$2,867,014",$0,,,,,,,31,"$9,894,501",16.65%,
,SEP,,,50.03%,,SEP,$0,"$32,199,429","$4,779,064",$0,,,,,,,33,"$30,098,565",50.64%,
,OCT,,,55.58%,,OCT,$0,"$35,564,056","$3,364,627",$0,,,,,,,FRIL,"$5,699,602",9.59%,
,NOV,72.19%,,72.23%,,NOV,$0,"$46,207,393","$10,643,337",$0,,,,,,,,,,
,DIC,98.95%,,"99,01",,DIC,$0,"$59,405,280","$13,197,887",$0,,,,,,,,"$59,441,127",100.00%,
