,,,,,,,,
,,,,,,,,
MODIFICACIÓN PRESUPUESTARIA N°017,,,,,,,,
PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,,
,,,,,,,,
            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°17 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,
SUBT.,ITEM,,ASIG.,DENOMINACIONES,,,,
,,,,GASTOS,"15,891,492","19,300,204",0,"19,402,943"
22,,,,BIENES Y SERVICIOS DE CONSUMO,"500,000","190,000","81,538","108,462"
24,,,,TRANSFERENCIAS CORRIENTES,"37,299","387,912","309,665","697,577"
,01,,,Al Sector Privado,"37,299 ",168 ,"581,087 ","581,255 "
,,,239,Fundación Desafío Levantemos Chile - Apoyo a Feriantes de la Región de Ñuble (40038746-0),"37,131 ",0 ,"36,045","36,045 "
,,C,259,CORPARAUCO - TRANSFERENCIA DE CAPACIDADES A LOS PEQUEÑOS Y MEDIANOS PRODUCTORES AGRICOLAS DE ÑUBLE (40045331),0 ,0 ,"72,490","72,490 "
,,C,260,CORPARAUCO - TRANSFERENCIA DE CAPACIDADES PARA EL LEVANTAMIENTO Y VISIBILIZACIÓN DEL EMPRESARIADO Y EMPREND (40043635),0 ,0 ,"78,794","78,794 "
,,,272,Orquesta de Cámara de San Carlos - Transferencia para el Acceso Cultural en la Región de Ñuble (40056218-0),168 ,168 ,"393,758","393,926 "
,08,,,Instituciones Privadas de Política Pública,0 ,"387,744 ","271,422","116,322 "
,,,407,Fundación Mi Tea - Transferencia Construyendo Puentes de Apoyo para el Autismo de la Región de Ñuble (40068588-0),0 ,"387,744 ","271,422","116,322 "
29,,,,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS,"6,854,193 ","7,375,164 ","468,739","7,009,164 "
,01,,,Terrenos,"500,000 ","200,000 ","141,000","59,000 "
,03,,,Vehículos ,"6,354,193 ","7,158,164 ","208,000","6,950,164 "
,04,,,Mobiliario y Otros,0 ,"17,000 ","17,000",0 
,06,,,Equipos Informáticos,"100,000 ","143,000 ","68,237","74,763 "
,07,,,Programas Informáticos ,"100,000 ","100,000 ","34,502","65,498 "
33,,,,TRANSFERENCIAS DE CAPITAL ,"8,500,000 ","11,347,128 ","240,612","11,587,740 "
,03,,,A Otras Entidades Públicas,"8,500,000 ","11,347,128 ","240,612","11,587,740 "
,,,125,Municipalidades (Fondo Regional de Iniciativa Local) ,"8,500,000 ","11,147,128 ","391,896","11,539,024 "
,,,490,Indespa - Tranferencia Fomento y Desarrollo Productivo Pesca Artesanal de la Región de Ñuble (40065365-0),0 ,"200,000 ","151,284","48,716 "
