SUBVENCIONES 2024,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CORRELATIVO,TIPO DOCUMENTO,CÓDIGO,FECHA DCTO,FECHA INGRESO,FECHA ENTREGA ,NOMBRE INSTITUCIÓN ,NOMBRE DE LA INICIATIVA,MONTO DE LA RENDICIÓN,RECEPCIONADO POR,FIRMA
s/n,REND,2301C0179,26-abr-24,26-abr-24,3-may-24,CENTRO DE PADRES Y APODERADOS ESCUELA MONTE BLANCO ,GRAN FIESTA COSTUMBRISTA ,"$2,350,180.00",FERNANDO RIQUELME ,
s/n,REND,2301M092,23-abr-24,26-abr-24,3-may-24,JUNTA DE VECINOS PIEDRAS MAULE,ILUMINA Y CONCIENTIZA CON PIEDRAS MAULE,"$2,948,620.00",FERNANDO RIQUELME ,
s/n,REND,2301M0080,18-mar-24,26-abr-24,3-may-24,JUNTA DE VECINOS CANTA RANA,CANTA RANA CUIDA EL MEDIO AMBIENTE,"$2,946,640.00",FERNANDO RIQUELME ,
s/n,REND,2301D0261,24-abr-24,26-abr-24,3-may-24,CLUB DE BOCCIAS PEMUCO,CAMPEONATO REGIONAL BOCCIAS FRONTON,"$1,760,000.00",FERNANDO RIQUELME ,
s/n,REND,2301M066,22-ene-24,26-abr-24,3-may-24,JUNTA DE VECINOS SAN IGNACIO DE LOYOLA,"MENOS BASURA, MAS VIDA: INICIATIVA DE CONTENEDORES","$2,832,000.00",FERNANDO RIQUELME ,
s/n,REND,2301D0115,1-abr-24,26-abr-24,3-may-24,CLUB DE SURF BUCHUPUREO,SURF COMO ACTIVIDAD FISICA EN COBQUECURA,"$2,988,932.00",FERNANDO RIQUELME ,
s/n,REND,2301D0251,26-abr-24,26-abr-24,3-may-24,CLUB DEPORTIVO DE CICLISMO MTB PEMUCO,FORMACION DE FUTUROS CICLISTAS PARA LA COMUNA DE PEMUCO,"$3,000,000.00",FERNANDO RIQUELME ,
1,REND.,2301D0255,29-abr-24,29-abr-24,30-abr-24,CLUB DE AJEDREZ CHILLAN VIEJO,TALLERES Y COMPETENCIA PROFESIONAL,"$2,213,150.00",FERNANDO RIQUELME ,
2,REND.,2301AM0186,S/F,29-abr-24,30-abr-24,CLUB ADULTO ESPERANZA DE LA COSTA,POR UN ADULTO MAYOR DE LA COSTA MAS SALUDABLE,"$1,524,662.00",FERNANDO RIQUELME ,
3,REND.,2301AM0195,S/F,29-abr-24,30-abr-24,CLUB DE ADULTO MAYOR GRACIAS A LA VIDA,REACTIVANDO EL DEPORTE CON GRACIAS A LA VIDA,"$1,578,781.00",FERNANDO RIQUELME ,
4,REND.,2301D0108,S/F,29-abr-24,30-abr-24,CLUB DEPORTIVO CATÓLICA DE TEMUCO,TARDE DEPORTIVA DE FUTBOL,"$1,726,000.00",FERNANDO RIQUELME ,
5,REND.,2301D0091,29-abr-24,29-abr-24,30-abr-24,UNION COMUNAL DE CLUBES DEPORTIVOS DE PEMUCO,ENCUENTRO FUTBOLISTICO DE CLUBES DEPORTIVOS,"$2,182,460.00",FERNANDO RIQUELME ,
6,REND.,2301AM0207,26-abr-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR AÑOS LOS HERMOSOS,CREANDO EN MIS AÑOS HERMOSOS,"$2,005,756.00",FERNANDO RIQUELME ,
7,REND.,2301AM0189,29-abr-24,29-abr-24,30-abr-24,CLUB DE ADULTO MAYOR LOS AÑOS DORADOS DE COELEMU,MULTI-TALLERES MIS AÑOS DORADOS,"$1,994,500.00",FERNANDO RIQUELME ,
8,REND.,2301AM0220,26-abr-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR LA EDAD DORADA,NOS VESTIMOS PARA HACER DEPORTE,"$1,820,019.00",FERNANDO RIQUELME ,
9,REND.,230150034,29-abr-24,,30-abr-24,JUNTA DE VECINOS LEONERA,LEONERA CUIDA A SUS MASCOTAS,"$2,880,001.00",FERNANDO RIQUELME ,
10,REND.,2301D0106,29-abr-24,29-abr-24,30-abr-24,CDSC BASQUETBOL COELEMU,NUEVOS BASQUETBOLISTAS PARA COELEMU,"$2,571,198.00",FERNANDO RIQUELME ,
11,ANEXO DE RENDICION,2301SP0193,,29-abr-24,30-abr-24,JJVV HUENUTIL CENTRO,ALARMAS COMUNITARIAS HUENUTIL CENTRO,,FERNANDO RIQUELME ,
12,REND.,2301D0169,29-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO SAN MIGUEL CENTRAL,ESCUELA DE FUTBOL SAN MIGUEL CENTRAL,"$3,000,000.00",FERNANDO RIQUELME ,
13,REND.,2301M0058,26-abr-24,29-abr-24,30-abr-24,CENTRO DE PADRES ESCUELA BÁSICA PUEBLO SECO,CUIDEMOS EL MEDIO AMBIENTE A TRAVES DE LA SUSTENTABILIDAD,"$2,993,937.00",FERNANDO RIQUELME ,
