,,,,,,,,,,,,
,,,,FNDR,,,,,,ADNC,ADCD,
,,,,,,,,,,,,
,CÓDIGO,FECHA DCTO,FECHA INGRESO,FECHA ENTREGA ,NOMBRE INSTITUCIÓN ,,,CÓDIGO,FECHA DCTO,FECHA INGRESO,FECHA ENTREGA ,NOMBRE INSTITUCIÓN 
,2301AM0190,03-01-24,03-01-24,03-01-24,C.A.M. BIENVENIDAS NUEVAS OPORTUNIDADES DE LA VIDA,,,2301ADCND007,26-12-23,03-01-24,03-01-24,FUNDACIÓN CICLORECREOVÍA
,2301ADNCC02,18-01-24,18-01-24,18-01-24,"CULTURAS CHILLAN 2023, RECONSTRUYENDO ÑUBLE",,,2301ADCD015,29-12-23,03-01-24,03-01-24,ASOCIACIÓN DEPORTIVA DE FÚTBOL AMATEUR CHILLÁN.
,1901SA0358,09-01-24,19-01-24,19-01-24,TALLER DE MUJERES LAS PALOMAS,,,2301ADCD012,23-01-24,23-01-24,23-01-24,STREET WORKOUT CHILLÁN
,2301D0270,22-01-24,22-01-24,22-01-24,COLEGIO DE PROFESORES DE CHILE REGIÓN DE ÑUBLE.,,,2301ADC001,26-01-24,26-01-24,30-01-24,ADRA CHILE.
,2301M0010,23-01-24,23-01-24,23-01-24,COMITÉ DE ADELANTO LAS GUARDIAS.,,,2301ADNCC08,29-01-24,29-01-24,30-01-24,CASATEATRO CLUB
,2101SC0184,23-01-24,23-01-24,23-01-24,JJ.VV. EL GALPÓN,,,2301ADC001,30-01-24,31-01-24,31-01-24,ADRA CHILE.
,2301C0140,24-01-24,24-01-24,24-01-24,"CLUB SOCIAL, CULTURAL Y DEPORTIVO DEL RODEO CHILENO ARTURO PRAT DE NINHUE.",,,,,,,
,2301C0142,24-01-24,24-01-24,24-01-24,CENTRO DE PADRES Y APODERADOS TALHUAN.,,,,,,,
,2301AM006,29-01-24,29-01-24,30-01-24,CLUB DEPORTIVO ADULTO NAYOR SOL Y LUNA,,,,,,,
,2301ADNCC07,29-01-24,29-01-24,30-01-24,ASOCIACION DOSEL,,,,,,,
,2301ADNCC04,20-01-24,29-01-24,30-01-24,ASOCIACION DE TENIS DE MESA CHILLAN,,,,,,,
,2301AM0063,29-01-24,29-01-24,30-01-24,CLUB DE ADULTO MAYOR SAN FRANCISCO DE ASIS,,,,,,,
,2301ADNCD008,26-01-24,26-01-24,30-01-24,ASOCIACION DEPORTIVA Y CULTURAL CLUBLES DE HUASOS DE ÑUBLE,,,,,,,
,2303ADCC09,30-01-24,30-01-24,30-01-24,SERNATUR,,,,,,,
,2301AM0026,31-01-24,31-01-24,31-01-24,CLUB ADULTO MAYOR AMISTAD,,,,,,,
,2301AM0019,31-01-24,01-02-24,01-02-24,GRUPO ADULTO MAYOR LA MOVIDA,,,,,,,
,2101D0364,01-02-24,01-02-24,01-02-24,JJ.VV. EL MEMBRILLO,,,,,,,
,2301AM0066,26-01-24,01-02-24,01-02-24,GRUPO ADULTO MAYOR NUEVO AMANECER SAN CERAPIO,,,,,,,
,2201SC0179,30-01-24,01-02-24,01-02-24,JJ.VV. DE ÑIPAS,,,,,,,
,2301AM0154,01-02-24,01-02-24,01-02-24,CLUB DE ADULTOS MAYORES AL ALERO DEL TANGO,,,,,,,
,2101D0387,01-02-24,01-02-24,01-02-24,CENTRO DE ADULTOS MAYORES TERESA DE CALCUTA,,,,,,,
,2301D0131,15-01-24,02-02-24,02-02-24,"CLUB DE CAZA, PESCA Y TIRO AL VUELO ÑUBLE",,,,,,,
,2301SP0145,02-02-24,02-02-24,02-02-24,JJ.VV. VOLCANES N°8,,,,,,,
,2101SC0263,02-02-24,02-02-24,02-02-24,JJ.VV. LOS MAITENES,,,,,,,
,1901SA0262,07-02-24,07-02-24,07-02-24,JJ.VV. RENACER SAN MIGUEL BAJO,,,,,,,
,2301EG0112,06-02-24,07-02-24,07-02-24,ORGANIZACIÓN NO GUBERNAMENTAL DE DESARROLLO LUCES DEL FUTURO.,,,,,,,
,2301AM0036,05-02-24,06-02-24,07-02-24,UNIÓN COMUNAL DEL ADULTO MAYOR DE LA COMUNA DE RÁNQUIL.,,,,,,,
,2301S0079,05-02-24,06-02-24,07-02-24,UNIÓN COMUNAL DE JUNTAS DE VECINOS DE COELEMU.,,,,,,,
,2301C0078,06-02-24,06-02-24,07-02-24,COMITÉ COORDINADOR CAMPESINO DE PORTEZUELO.,,,,,,,
,2301AM0003,19-01-24,07-02-24,07-02-24,CLUB ADULTO MAYOR JUAN DE DIOS DAVILA.,,,,,,,
,2201D0189,11-03-24,19-03-24,19-03-24,JJ.VV. SALAMANCA,,,,,,,
