SEGUIMIENTO PARTICIPACIÓN CIUDADANA DIDESOH ,,,,,,,,,,,
N°,REFERENTE,CÓDIGO BIP,NOMBRE INICIATIVA,UNIDAD EJECUTORA,FECHA,ASISTENCIA,DIVISIÓN,LUGAR,ORGANIZACIÓN FIRMANTE,NOMBRE REPRESENTANTE LEGAL,OBSERVACIONES
1,YAMILET REYES CABRERA,40070626,MEJORAMIENTO Y CONSTRUCCIÓN PLAZA VILLA EL SOL ,MUNICIPALIDAD DE TREHUACO,16.04.2025,SI,DIDESOH,SEDE SOCIAL JJ.VV VILLA EL SOL,JJ.VV VILLA EL SOL,SUSANA PRADENAS ,SE APRUEBA
2,GABRIEL MOLINA GARRIDO,40071546,MEJORAMIENTO ÁREA VERDE Y MULTICANCHA VILLA LA HIGUERA,MUNICIPALIDAD DE CH VIEJO,10.04.2025,SI,DIDESOH,SEDE SOCIAL VILLA LAS HIGUERAS,JJVV VILLA LAS HIGUERAS,MARLENE CRUCES,SE APRUEBA 
3,GABRIEL MOLINA GARRIDO,40070570,CONSTRUCCIÓN SSHH Y MEJORAMIENTO ESCENARIO PLAZA DE ARMAS COMUNA DE  PEMUCO,MUNICIPALIDAD DE PEMUCO,31.03.2025,SI,DIDESOH,SALÓN DE CONSEJO,UNIÓN COMUNAL JJVV,MARÍA SÁNCHEZ,SE APRUEBA
4,GABRIEL MOLINA GARRIDO,40070441,CONSTRUCCIÓN CANCHA MULTIPROPÓSITO COMUNA DE PEMUCO,MUNICIPALIDAD DE PEMUCO,31.03.2025,SI,DIDESOH,SALÓN DE CONSEJO,UNIÓN COMUNAL JJVV,MARÍA SÁNCHEZ,SE APRUEBA
5,GABRIEL MOLINA GARRIDO,30482943,"""Meioramiento
acceso norte urbano comuna de pemuco""",MUNICIPALIDAD DE PEMUCO,31.03.2025,SI,DIDESOH,SALÓN DE CONSEJO,UNIÓN COMUNAL JJVV,MARÍA SÁNCHEZ,SE APRUEBA
6,GABRIEL MOLINA GARRIDO,40072318,CONSTRUCCIÓN INFRAESTRUCTURA DEPORTIVA COMUNA DE COBQUECURA,MUNICIPALIDAD DE COBQUECURA,23.05.2025,SI,DIDESOH,LICEO MUNICIPAL,JJVV VILLA EL BOSQUE,SAMUEL MUÑOZ,SE APRUEBA
7,GABRIEL MOLINA GARRIDO,40072318,CONSTRUCCIÓN INFRAESTRUCTURA DEPORTIVA COMUNA DE COBQUECURA,MUNICIPALIDAD DE COBQUECURA,23.05.2025,SI,DIDESOH,LICEO MUNICIPAL,JJVV VILLA PAN DE PIEDRA,MARCELO COÑEPAN,SE APRUEBA
8,GABRIEL MOLINA GARRIDO,40072308,CONSTRUCCIÓN LUMINARIA FOTOVOLTÁICA Y CÁMARAS DE TELEVIGILANCIA,MUNICIPALIDAD DE COBQUECURA,23.05.2025,SI,DIDESOH,LICEO MUNICIPAL,JJVV SAN JOSÉ N°6,JOSÉ LANDEROS,SE APRUEBA
9,GABRIEL MOLINA GARRIDO,40072308,CONSTRUCCIÓN LUMINARIA FOTOVOLTÁICA Y CÁMARAS DE TELEVIGILANCIA,MUNICIPALIDAD DE COBQUECURA,23.05.2025,SI,DIDESOH,LICEO MUNICIPAL,JJVV LA HACHIRA,ALEJANDRA CEBALLOS,SE APRUEBA
10,GABRIEL MOLINA GARRIDO,40072319,MEJORAMIENTO DE CAMINOS DE INTERÉS TURÍSTICO DISTINTOS SECTORES DE LA COMUNA DE COBQUECURA ,MUNICIPALIDAD DE COBQUECURA,23.05.2025,SI,DIDESOH,LICEO MUNICIPAL,JJVV LA HACHIRA,ALEJANDRA CEBALLOS,SE APRUEBA
