TRAZO PRIMARIO,TRAZO SECUNDARIO,NOMBRE DE INICIATIVA,DIVISIÓN,BIP,COMUNA,"CONTRAPARTE TÉCNICA EXTERNA 
(NOMBRE.,  CARGO, CORREO, TELEFONO)","RESPONSABLE SEGUIMIENTO GORE
(NOMBRE.,  CARGO, CORREO, TELEFONO)",ESTADO,ETAPA A LA CUAL POSTULA,FORMULADOR,UNIDAD TÉCNICA,FUENTE FINANCIERA,ESTADO FINANCIERO,MONTO,HITO,MEDIDA,UNIDAD,ENE-MAR 2026,MAR-JUN 2026,JUN-SEP 2026,SEP-DIC 2026,ENE-MAR 2027,MAR-JUN 2027,JUN-SEP 2027,SEP-DIC 2027,ENE-MAR 2028,MAR-JUN 2028,JUN-SEP 2028,SEP-DIC 2028,2029  Y MÁS,FECHA DE INICIO,FECHA DE TERMINO,OBSERVACIÓN,ACCIÓN
AZUL,ROJO,CONSTRUCCION PASADAS URBANAS QUIRIHUE-TREHUACO-COELEMU RUTA 126,DIT,40030997-0,"QUIRIHUE, TREHUACO, COELEMU",,Nicolas Lara,RS,PREFACTIBILIDAD ,MOP - VIALIDAD,MOP - VIALIDAD,MOP,FINANCIADO," $ 682,778 ",RESULTADO,56,KM,,,,,,,,,,,,,,,,,
AZUL,CAFÉ,Transferencia Fomento y Desarrollo Productivo de la Pesca Artesanal de la Región de Ñuble - INDESPA,DIFOI,40065365-0,"COBQUECURA, COELEMU, TREHUACO",,Elias Jara,RS,EJECUCIÓN,INDESPA,INDESPA,GORE - FNDR,FINANCIADO," $ 937,804 ",ENTREGA EQUIPOS,321,BENEFICIARIOS,,,,,,,,,,,,,,,,,
AZUL,VIOLETA,Adquisición Unidad Despliegue Policía Marítima Ñuble - Dirección General del Territorio Marítimo - ARMADA DE CHILE,DIPIR,40063741-0,COBQUECURA,,C. JAQUE,RS,EJECUCIÓN,ARMADA,ARMADA,GORE - FNDR,FINANCIADO," $ 496,738 ",ENTREGA EQUIPOS,1,UNIDAD,,,,,,,,,,,,,,,,,
AZUL,ROJO,Mejoramiento ruta N-114 y N-14-O y Construcción Puente Itata  - MOP,SECTORIAL,30130385-0,INTERCOMUNA,,,RE EVALUACIÓN ,DISEÑO,MOP - VIALIDAD,MOP - VIALIDAD,MOP,FINANCIADO," $ 5,183,995 ",ENTREGA DISEÑO,57,KM,,,,,,,,,,,,,,,,,
AZUL,VIOLETA,"MEJORAMIENTO PARQUE CERRO EL CALVARIO, COMUNA DE COBQUECURA",SECTORIAL,40022921-0,COBQUECURA,,,RS,DISEÑO,MINVU,SERVIU,SERVIU,FINANCIADO,"$76,245",ENTREGA DISEÑO,"20,600",M2,,,,,,,,,,,,,,,,,
AZUL,VIOLETA,"MEJORAMIENTO PARQUE CERRO EL CALVARIO, COMUNA DE COBQUECURA",SECTORIAL,40022921-0,COBQUECURA,,,RS,EJECUCIÓN,MINVU,SERVIU,SERVIU,NO FINANCIADO,Sin información,INICIO OBRA,"20,600",M2,,,,,,,,,,,,,,,,,
AZUL,VIOLETA,"MEJORAMIENTO BORDE COSTERO PERALES - LADO SUR ESTERO, COELEMU",SECTORIAL,40020223-0,COELEMU,,,RS,EJECUCIÓN,MOP - DOP,MOP - DOP,MOP - DOP,FINANCIADO," $ 2,563,396 ",INAGURACIÓN,"1,170",M2,,,,,,,,,,,,,,,,,
AZUL,VIOLETA,"MEJORAMIENTO PARQUE PASEO LOBERÍA, COMUNA DE COBQUECURA",SECTORIAL,40029818-0,COBQUECURA,,,RS,DISEÑO,MINVU,SERVIU,SERVIU,FINANCIADO," $ 73,308 ",ENTREGA DISEÑO,"27,000",M2,,,,,,,,,,,,,,,,,
AZUL,VIOLETA,ADQUISICION DE EQUIPAMIENTO PARA FISCALIZACIÓN Y DIFUSIÓN DE NORMATIVAPESQUERA EN ÑUBLE - SERNAPESCA,DIFOI,40064469-0,"COBQUECURA, COELEMU, TREHUACO",,Carmen (Jefa),RS,EJECUCIÓN,SERNAPESCA,SERNAPESCA,GORE - FNDR,FINANCIADO," $ 67,996 ",ENTREGA EQUIPOS,1,UNIDAD,,,,,,,,,,,,,,,,,
AZUL,VIOLETA,ALCALDÍA DE MAR,DIPLADE,Sin información,COBQUECURA,,,IDEA,NO APLICA,ARMADA,ARMADA,GORE - FNDR,NO FINANCIADO,Sin información,ENTREGA TERRENO,,UNIDAD,,,,,,,,,,,,,,,,,
