 Comuna , Código , Nombre Iniciativa , Unidad Técnica , Item Presupuestario , Estado Iniciativa , Sub-Estado Iniciativa , Saldo 2026 
COBQUECURA,40072319,"MEJORAMIENTO CAMINOS DE INTERÉS TURÍSTICO, DISTINTOS SECTORES COMUNA DE COBQUECURA",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 306,374 "
PINTO,40074463,"MEJORAMIENTO DIVERSOS CAMINOS DE USO PÚBLICO, COMUNA DE PINTO",MUNICIPIO,33.03.125,CONVENIO,FIRMADO," $ 288,295 "
NINHUE,40069620,"MEJORAMIENTO DE CAMINOS CON SUPRESORES DE POLVO, COMUNA DE NINHUE",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 248,435 "
RÁNQUIL,40072474,"MEJORAMIENTO DE CAMINOS APLICANDO SUPRESOR DE POLVO, COMUNA DE RÁNQUIL",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 182,772 "
RÁNQUIL,40065908,"CONSTRUCCIÓN PLAZOLETAS VILLA RIO ITATA Y BATUCO, COMUNA DE RÁNQUIL",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 174,598 "
COELEMU,40064778,"CONSTRUCCIÓN CENTRO TEA, COMUNA DE COELEMU",MUNICIPIO,33.03.125,CONVENIO,REEVALUACIÓN," $ 174,560 "
COELEMU,40060784,"MEJORAMIENTO PLAZA CÍVICA, COMUNA DE COELEMU",MUNICIPIO,33.03.125,LICITACIÓN,SEGUNDA," $ 174,546 "
BULNES,40061629,INSTALACIÓN LUMINARIAS SOLARES DIVERSOS SECTORES DE LA COMUNA DE BULNES,MUNICIPIO,33.03.125,CONVENIO,REEVALUACIÓN," $ 174,450 "
TREHUACO,40062109,"MEJORAMIENTO CAMINOS VECINALES DISTINTOS SECTORES CON SUPRESOR DE POLVO, COMUNA DE TREHUACO",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 174,127 "
CHILLÁN VIEJO,40060609,"MEJORAMIENTO RIEGO Y JUEGOS DE AGUA, PARQUE MONUMENTAL BERNARDO O'HIGGINS, CHILLÁN VIEJO",MUNICIPIO,33.03.125,CONVENIO,REEVALUACIÓN," $ 171,445 "
COELEMU,40055906,"MEJORAMIENTO ESTABILIZADO DE CAMINOS DIVERSOS SECTORES, COMUNA DE COELEMU",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 166,713 "
BULNES,40050566,"MEJORAMIENTO BANDEJÓN ELEUTERIO RAMÍREZ, COMUNA DE BULNES",MUNICIPIO,33.03.125,CONVENIO,REEVALUACIÓN," $ 166,615 "
SAN CARLOS,40054721,CONSTRUCCIÓN CENTRO COMUNITARIO SOCIAL EL TORREON,MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 166,197 "
CHILLÁN,40052458,"CONSTRUCCIÓN CUBIERTA MULTICANCHA, ESCUELA LAS CANOAS, CHILLÁN",MUNICIPIO,33.03.125,LICITACIÓN,CONTRATACIÓN," $ 157,798 "
QUILLÓN,40060964,"CONSTRUCCIÓN EQUIPAMIENTO COMUNITARIO DE SEGURIDAD, DIVERSOS SECTORES",MUNICIPIO,33.03.125,LICITACIÓN,PRIMERA," $ 157,512 "
SAN IGNACIO,40064009,"MEJORAMIENTO SISTEMA ELÉCTRICO Y CLIMATIZACIÓN CESFAM DR. ALFONSO PARRA CARRIEL, SAN IGNACIO",MUNICIPIO,33.03.125,LICITACIÓN,FIRMADO," $ 151,552 "
