,,,,,Rebaja FET M$382.928,,,,,,,,,"$105,880",,,,,,,,
,TOTAL 2022,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,0.8160521122,,,,,,
,MARCO PRESUPUESTARIO VIGENTE,,"$58,172,818","$58,172,818","$57,789,890","$57,789,890","$57,789,890","$57,789,890","$55,804,362","$55,496,716","$56,697,370","$51,948,429","$51,509,438","$51,509,438","$47,472,051","$43,119,438",,,,,,
,EJECUTADO PROG X MES,,"$1,296,116","$1,331,850","$1,804,861","$1,233,007","$5,065,607","$2,660,785","$4,289,195","$4,768,672","$8,066,042","$1,552,139","$700,280","$14,719,342",100.01%,0.9979067262,,,,,,
,% EJECUTADO PROG X MES,,2.23%,2.29%,3.12%,2.13%,8.77%,4.60%,7.69%,8.59%,14.23%,2.99%,1.36%,28.58%,99.79%,,,,,,,
,EJECUTADO PROG ACUMULADO,,"$1,296,116","$2,627,966","$4,432,827","$5,665,836","$10,731,445","$13,392,229","$17,679,384","$22,438,380","$30,504,423","$32,056,562","$32,756,842","$47,476,184","-$4,033,254","$57,276,184",1.101039026,1.328314715,,,,
,% EJECUTADO PROG ACUMULADO,,2.23%,4.52%,7.67%,9.80%,18.57%,23.17%,31.68%,40.43%,53.80%,61.71%,63.59%,92.17%,186030,carabineros,1.111955133,,,,,
,EJECUTADO REAL X MES,,"$1,296,116","$1,331,850","$1,804,861","$1,233,007","$5,065,607","$2,660,785","$4,289,195","$4,768,672","$8,066,042","$1,552,139","$700,279","$14,613,462",601373,Bomberos ,4600000,,,,,
,% EJECUTADO REAL X MES,,2.23%,2.29%,3.12%,2.13%,8.77%,4.60%,7.69%,8.59%,14.23%,2.99%,1.36%,28.37%,71490,Bio bio,4748941,,,,,
,EJECUTADO REAL ACUMULADO,,"$1,296,116","$2,627,966","$4,432,827","$5,665,836","$10,731,445","$13,392,229","$17,679,384","$22,438,380","$30,504,422","$32,058,938","$32,759,217","$47,372,679",361915,29,1000000,,,,,
,% EJECUTADO REAL ACUMULADO,,2.23%,4.52%,7.67%,9.80%,18.57%,23.17%,31.68%,40.43%,53.80%,61.71%,63.60%,91.97%,5586,terrenos,2200000,,,,,
