,,,,,,,
,,,,,,,
MODIFICACIÓN PRESUPUESTARIA N°15,,,,,,,
PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,
,,,,,,,
            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°15 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,,GASTOS,"48,951,025 ","58,991,850 ",0 ,"58,991,850 "
24,,,TRANSFERENCIAS CORRIENTES,"2,500,000 ","3,463,096 ","767,898","2,695,198 "
,03,,A Otras Entidades Públicas ,"2,500,000 ","3,463,096 ","767,898","2,695,198 "
,,418,DOH - Asistencia Técnica para Comités o Cooperativas para Proyectos de APR (40023687-0),"1,000,000 ","150,000 ","500,000","650,000 "
,,490,"Mejorando la calidad de la educación, Región de Ñuble - Municipalidades","1,500,000 ","1,454,000 ","232,102","1,686,102 "
,,492,Servicio de Salud Ñuble - Transferencia para Reducción Listas de Espera Quirúrgica y Especialidad de la Región de Ñuble (40064354-0),0 ,"1,859,096 ","1,500,000","359,096 "
29,,,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS,"15,716,181 ","20,832,760 ","1,839,445","18,993,315 "
,03,,Vehículos ,"6,354,193 ","9,240,609 ","2,082,445","7,158,164 "
,05,,Máquinas y Equipos,"9,361,988 ","11,592,151 ","243,000","11,835,151 "
31,,,INICIATIVAS DE INVERSIÓN,"20,921,944 ","23,843,309 ","1,000,000","24,843,309 "
,02,,Proyectos,"20,921,944 ","23,843,309 ","1,000,000","24,843,309 "
33,,,TRANSFERENCIAS DE CAPITAL,"9,812,900 ","10,852,685 ","1,607,343","12,460,028 "
,03,,A Otras Entidades Públicas ,"9,812,900 ","10,852,685 ","1,607,343 ","12,460,028 "
,,125,Municipalidades (Fondo Regional de Iniciativa Local) ,"8,500,000 ","10,539,785 ","607,343","11,147,128"
,,489,"Comisión Nacional de Riego - Transferencia para el Fomento al Riego, Región de Ñuble (40048507-0)","1,312,900 ","312,900 ","1,000,000 ","1,312,900 "
