,,,,,,,
,,,,,,,
MODIFICACIÓN PRESUPUESTARIA N°003,,,,,,,
PROGRAMA DE INVERSIÓN REGIONAL,,,,,,,
,,,,,,21 de marzo de 2024,
,,,,,,,
,,,,1,2,3, 4 = (2)+(3) 
            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFCACIONES (1-2) M$,MODIFICACIÓN N°3 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,,INGRESOS,"77,140,691 ",#REF!,"-1,705,250 ",#REF!
13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,"77,140,691 ",#REF!,"-1,705,250 ",#REF!
,03,,De Otras Entidades Públicas,"77,140,691 ",#REF!,"-1,705,250 ",#REF!
,,,,,,,
            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFCACIONES (1-2) M$,MODIFICACIÓN N°3 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,,GASTOS,"1,814,074 ","1,814,074 ","-1,705,250 ","108,824 "
24,,,TRANSFERENCIAS CORRIENTES,"1,814,074 ","1,814,074 ","-1,705,250 ","108,824 "
,03,,A otras entidades públicas,"1,814,074 ","1,814,074 ","-1,705,250 ","108,824 "
,,006,Subsecretaría del Trabajo - PROEMPLEO,"1,814,074 ","1,814,074 ","-1,705,250 ","108,824 "
