,,,,,,,
,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°07,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,MILES DE $,
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,
,,SUBT.,ITEM,ASIG.,DENOMINACIONES,INCREMENTO,REDUCCIÓN
,,,,,GASTOS,,
,,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,,"246,000 "
,,,03,,A Otras Entidades Públicas,,"246,000"
,,24,,,TRANSFERENCIAS CORRIENTES,,"246,000 "
,,,03,,A Otras Entidades Públicas,,"246,000"
,,,426,,Subsecretaría de Telecomunicaciones de Chile - Transferencia Fondo Desarrollo de las Telecomunicaciones Fibra Óptica Ñuble - Última Milla (40033167-0),,"200,000"
,,,490,,"Mejorando la calidad de la educación, Región de Ñuble - Municipalidades.",,"46,000"
