legacy_codigo,agreement_number,agreement_id,renderer_org_id,renderer_name,status,confidence,notes,document_count,sample_document_code,sample_source,sample_institucion,auto_candidate_count
1901CO167,,,,CENTRO DE PADRES Y APODERADOS ESCUELA BASICA VALLE LONQUEN DE TREHUACO,pending,,,1,REN24-1901CO167,RENDICIONES 2024.csv,CENTRO DE PADRES Y APODERADOS ESCUELA BASICA VALLE LONQUEN DE TREHUACO,0
1901SA0174,,,,TALLER NUEVA ESPERANZA,pending,,,1,REN24-1901SA0174,RENDICIONES 2024.csv,TALLER NUEVA ESPERANZA,0
1901SA021,,,,JUNTA DE VECINOS SAN IGNACIO DE PALOMARES,pending,,,1,REN24-1901SA021,RENDICIONES 2024.csv,JUNTA DE VECINOS SAN IGNACIO DE PALOMARES,0
1901SA0262,,,,JJ.VV. RENACER SAN MIGUEL BAJO,pending,,,1,RENX-1901SA0262,RENDICIONES FNDR Y ADNC.csv,JJ.VV. RENACER SAN MIGUEL BAJO,0
1901SA0316,,,,CLUB DE ADULTO MAYOR LOS PLACERES,pending,,,1,REN24-1901SA0316,RENDICIONES 2024.csv,CLUB DE ADULTO MAYOR LOS PLACERES,0
1901SA0358,,,,TALLER DE MUJERES LAS PALOMAS,pending,,,1,RENX-1901SA0358,RENDICIONES FNDR Y ADNC.csv,TALLER DE MUJERES LAS PALOMAS,0
1901SC0291,,,,JJ.VV. CHILLINHUE.,pending,,,1,REN24-1901SC0291,RENDICIONES 2024.csv,JJ.VV. CHILLINHUE.,0
2001SAC0414,,,,JUNTA DE VECINOS DE RANQUIL,pending,,,1,REN24-2001SAC0414,RENDICIONES 2024.csv,JUNTA DE VECINOS DE RANQUIL,0
2101C0055,,,,JUNTA DE VECINOS SARITA GAJARDO Y AMPLIACIONES II,pending,,,1,REN24-2101C0055,RENDICIONES 2024.csv,JUNTA DE VECINOS SARITA GAJARDO Y AMPLIACIONES II,0
2101C0069,,,,CLUB ADULTO MAYOR BUENA VISTA,pending,,,1,REN24-2101C0069,RENDICIONES 2024.csv,CLUB ADULTO MAYOR BUENA VISTA,0
2101C0148,,,,JUNTA DE VECINOS RANQUIL,pending,,,1,REN24-2101C0148,RENDICIONES 2024.csv,JUNTA DE VECINOS RANQUIL,0
2101C0197,,,,TALLER LABORAL NUEVA ESPERANZA DE PINTO SECTOR LAS VEGAS DE SALDIA,pending,,,1,REN24-2101C0197,RENDICIONES 2024.csv,TALLER LABORAL NUEVA ESPERANZA DE PINTO SECTOR LAS VEGAS DE SALDIA,0
2101D0013,,,,JUNTA DE VECINOS LOS TEMOS,pending,,,1,REN24-2101D0013,RENDICIONES 2024.csv,JUNTA DE VECINOS LOS TEMOS,0
2101D0169,,,,UNION COMUNAL DE MUJERES DE NINHUE.,pending,,,1,REN24-2101D0169,RENDICIONES 2024.csv,UNION COMUNAL DE MUJERES DE NINHUE.,0
2101D0195,,,,CLUB DEPORTIVO SANTA LAURA.,pending,,,1,REN24-2101D0195,RENDICIONES 2024.csv,CLUB DEPORTIVO SANTA LAURA.,0
2101D0364,,,,JJ.VV. EL MEMBRILLO,pending,,,1,RENX-2101D0364,RENDICIONES FNDR Y ADNC.csv,JJ.VV. EL MEMBRILLO,0
2101D0387,,,,CENTRO DE ADULTOS MAYORES TERESA DE CALCUTA,pending,,,1,RENX-2101D0387,RENDICIONES FNDR Y ADNC.csv,CENTRO DE ADULTOS MAYORES TERESA DE CALCUTA,0
2101SA0369,,,,JUNTA DE VECINOS SAN IGNACIO PALOMARES,pending,,,1,REN24-2101SA0369,RENDICIONES 2024.csv,JUNTA DE VECINOS SAN IGNACIO PALOMARES,0
2101SC0139,,,,JUNTA DE VECINOS VILLA RENACER 1 Y 2,pending,,,1,REN24-2101SC0139,RENDICIONES 2024.csv,JUNTA DE VECINOS VILLA RENACER 1 Y 2,0
2101SC0174,,,,JUNTA DE VECINOS SAN IGNACIO PALOMARES,pending,,,1,REN24-2101SC0174,RENDICIONES 2024.csv,JUNTA DE VECINOS SAN IGNACIO PALOMARES,0
2101SC0184,,,,JJ.VV. EL GALPÓN,pending,,,1,RENX-2101SC0184,RENDICIONES FNDR Y ADNC.csv,JJ.VV. EL GALPÓN,0
2101SC0263,,,,JJ.VV. LOS MAITENES,pending,,,1,RENX-2101SC0263,RENDICIONES FNDR Y ADNC.csv,JJ.VV. LOS MAITENES,0
2101SD0098,,,,JJVV ULTRAESTACION N°18,pending,,,1,REN24-2101SD0098,RENDICIONES 2024.csv,JJVV ULTRAESTACION N°18,0
2201AM0118,,,,CLUB ADULTO MAYOR LAS MARAVILLAS,pending,,,1,REN24-2201AM0118,RENDICIONES 2024.csv,CLUB ADULTO MAYOR LAS MARAVILLAS,0
