,SOLICITA,FOLIO,FECHA DOCTO,MATERIA,FIRMA,OBSERVACIONES,LINK AL DOCUMENTO,ESTADO
,psp,00163,26-12-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN HOSPITAL HERMINDA MARTÍN DE CHILLÁN”, Código BIP 40026156- 0",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1umWQNs6DcbcpPArXzzGy9zS0pWCX_jvA?usp=drive_link,EN TRAMITE
,ahm,00162,26-12-2024,"MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS Y PROYECTOS DE INVERSIÓN DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1y40mfLQQf5RBTxCh0kA4TqTlyctVd6mR?usp=drive_link,EN TRAMITE
,jsm,00161,26-12-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1RaQ059ORXY5_ycE8DYJojoKfveyIMyS0?usp=drive_link,EN TRAMITE
,fsc,00160,20-12-2024,"AUTORIZA AUMENTO DE PLAZO EN LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN DE CÁMARAS DE TELEVIGILANCIA REGIÓN DE ÑUBLE”, CÓDIGO BIP 40016354-0 ID 1036569-18-LR23, CUYAS BASES ADMINISTRATIVAS GENERALES Y ESPECIFICACIONES TÈCNICAS FUERAN APROBADAS POR RESOLUCIÓN AFECTA N.º 104, DE 2023, Y SU CONTRATO POR RESOLUCION AFECTA N.º 02 DE 2024, AMBAS DEL GOBIERNO REGIONAL DE ÑUBLE.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1bJRsLEUlBe3tya8CLl7uMbNjFQkpO8fg?usp=drive_link,EN TRAMITE
,ahm,00159,20-12-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/13jBZS43zVCxqGCRq0IvV4bbSO5A9JUTO?usp=drive_link,EN TRAMITE
,psp,00158,19-12-2024,"APRUEBA MODIFICACIÓN DE CONVENIO MANDATO DEL PROYECTO “CONSTRUCCIÓN INSTITUTO REHABILITACIÓN INFANTIL TELETÓN ÑUBLE”, CÓDIGO BIP 40045992-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1LhoaD6m__9RkKMUNf_5LS1wbpsGS90D8?usp=drive_link,EN TRAMITE
,psp,00157,19-12-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN VEREDAS POBLACIÓN KENNEDY Y OTROS SECTORES, CHILLÁN”, Código BIP 40038644-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1StCn3qTrshMGAIN5k79jUmXn3nOXSH_G?usp=drive_link,EN TRAMITE
,cnr,00156,13-12-2024,"APRUEBA MODIFICACIÓN DE CONVENIO DE TRANSFERENCIA DEL PROGRAMA “TRANSFERENCIA PROGRAMA DE INVERSIÓN EN LA COMUNIDAD, REGIÓN DE ÑUBLE, AÑO 2024, CÓDIGO BIP: 40059287-0",RUBEN SANDOVAL GANGAS ,DOC DIGITAL ,https://drive.google.com/file/d/16bTe3nSAP5kYj6AzCalgR441CHv-wKuU/view?usp=drive_link,EN TRAMITE
,gsg,00155,11-12-2024,MODIFICA PRESUPUESTO DE FUNCIONAMIENTO AÑO 2024 GOBIERNO REGIONAL DE ÑUBLE.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1ZKWjp4saJSjvVdw3cerMJ_aUsBC_iO7R/view?usp=drive_link,EN TRAMITE
,psp,00154,10-12-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN VEREDAS POBLACIÓN KENNEDY Y OTROS SECTORES, CHILLÁN”, Código BIP 40038644-0",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1j-l61nrR6LnT3_WjI21nyUcwqgUgeDOX?usp=drive_link,EN TRAMITE
,ahm,00153,09-12-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1eiqFDXBhUcs8x3IUMuO4oQH4LGcUk9kz?usp=drive_link,EN TRAMITE
,gsg,00152,05-12-2024,MODIFICA PRESUPUESTO DE FUNCIONAMIENTO AÑO 2024 GOBIERNO REGIONAL DE ÑUBLE.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1rf6OvUrGqYQGRY-usaqZZJ43O1NcOJee?usp=drive_link,EN TRAMITE
,rpp,00151,05-12-2024,"APRUEBA BASES ADMINISTRATIVAS GENERALES, ESPECIFICAS, PLANOS Y ANEXOS, AUTORIZA EL LLAMADO AL PROCESO DE LICITACIÓN PÚBLICA, DESIGNA COMISIÓN DE APERTURA Y EVALUACIÓN DEL PROYECTO ""REPOSICIÓN CUARTEL DE BOMBEROS 5° COMPAÑÍA DE CHILLÁN”, CÓDIGO BIP 40013760-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1n9Oe-ixy2l0xHvhYiuBhsQZ2SHzLfMud?usp=drive_link,EN TRAMITE
