SUB,ITEM, ASIG,CODIGO,UNIDAD TECNICA ,NOMBRE DE LA INICIATIVA,PROVINCIA,COMUNA, MONTO FNDR M$ ,Nº RES INCORPORA/ CERT CORE,FECHA RES INCORPORA/ CERT CORE,Nº RES CREA ASIGNACIÓN,FECHA RES CREA  ASIGNACIÓN,ESTADO DE CONVENIO,FECHA FIRMA DE CONVENIO ,Nº RES APRUEBA CONVENIO ,FECHA RES APRUEBA CONVENIO,TIPO DE RESOLUCIÓN ,ESTADO CONVENIO EN CGR,FECHA TOMA DE RAZON DE CGR,Nº OFICIO ENVIA CONVENIO,FECHA OFICIO ENVIA CONVENIO,REFERENTE TECNICO O CONTRAPARTE TECNICA,Nº RES REFERENTE TECNICO
24,03,488,40058688,SERNATUR,TRANSFERENCIA DESARROLLO DE COMPETENCIAS Y PROMOCION TURISTICA NACIONAL E INTERNACIONAL REGION DE ÑUBLE,REGIONAL,REGIONAL, $ 1.395.820 ,907/2024,21/03/2024,46,16/04/2024,FIRMADO,26/07/2024,1,12/06/2024,AFECTA,TOMADO DE RAZON,08/08/2024,,,CARMEN NAVARRETE RETAMAL,RES EN TRAMITE
29,03,-,40044138,MUNICIPALIDAD DE  RANQUIL,ADQUISICION FURGON INCLUSIVO PARA RANQUIL,ITATA,RÁNQUIL, $ 72.150 ,963,05/09/2023,963,05/09/2023,FIRMADO,19/12/2023,7,14/02/2024,AFECTA,TOMADO DE RAZON,27/02/2024,,,CRISTIAN JAQUE GUZMAN,312/09.05.2024
29,03,-,40044541,MUN. COBQUECURA,"REPOSICION TRES (3) FURGONES ESCOLARES, COMUNA DE COBQUECURA",ITATA,COBQUECURA, $ 149.794 ,963,05/09/2023,963,05/09/2023,FIRMADO,20/12/2023,8,14/02/2024,AFECTA,TOMADO DE RAZON,28/02/2024,,,CRISTIAN JAQUE GUZMAN,312/09.05.2024
24,03,006,40059287,SUBSECRETARIA DEL TRABAJO,TRANSFERENCIA PROGRAMA INVERSION A LA COMUNIDAD,REGIONAL,REGIONAL, $ 1.705.250 ,N/A,N/A,10,10-01-2024,FIRMADO,20-03-2024,16,22-03-2024,AFECTA,T.R CON ALCANCES,05-04-2024,,,CARMEN NAVARRETE,436/24.06.2024
31,02,-,40055832,UBB,CONSTRUCCION ESCUELA DE MEDICINA Y CENTRO DE SIMULACIÓN CLÍNICA UBB - REGIÓN DE ÑUBLE,REGIONAL,REGIONAL, $ 14.326.610 ,838/2023,21/12/2023,6,13/02/2024,FIRMADO,27/03/2024,18,28/03/2024,AFECTA,T.R CON ALCANCES,15/04/2024,581,4/17/2024,JAVIER BRITO AGUAYO,317/10.05.2024
31,02,002/004,30459763,MUN. SAN IGNACIO,"CONSTRUCCION SISTEMA COLECTIVO DE AGUAS SERVIDAS SECTOR SAN MIGUEL, COMUNA DE SAN IGNACIO",DIGUILLÍN,SAN IGNACIO, $ 3.673.827 ,648/2023,14-04-2023,6,13-02-2024,FIRMADO,22-03-2024,20,08-04-2024,AFECTA,T.R CON ALCANCES,30-04-2024,687,07-05-2024,CARLOS JUNGJOHANN MUÑOZ,317/10.05.2024
31,01,,40056957,MUN. YUNGAY,"ACTUALIZACION PLAN DE DESARROLLO COMUNAL, YUNGAY 2024-2028",DIGUILLÍN,YUNGAY, $ 51.846 ,842/2023,21/12/2023,6,13/02/2024,FIRMADO,05/04/2024,24,15/04/2024,AFECTA,T.R CON ALCANCES,10/05/2024,734,5/14/2024,DIPLADE,
31,02,,40039600,MUN. YUNGAY,"REPOSICION CENTRO DE SALUD FAMILIAR DE CAMPANARIO, COMUNA DE YUNGAY",DIGUILLÍN,YUNGAY, $ 127.500 ,796/2023,06/11/2023,6,13/02/2024,FIRMADO,05/04/2024,25,15/04/2024,AFECTA,T.R CON ALCANCES,02/05/2024,692,5/7/2024,DIPLADE,
29,05,-,40029931,SSÑ,REPOSICION ECOGRAFO SERVICIO GINECOLOGICO Y OBSTETRICIA HSC,PUNILLA,SAN CARLOS, $ 66.521 ,915,22/08/2023,915,22/08/2023,FIRMADO,10/04/2024,26,15/04/2024,AFECTA,T.R CON ALCANCES,09/05/2024,740,5/15/2024,CRISTIAN JAQUE GUZMAN,312/09.05.2024
29,05,,40031488,GENDARMERIA,REPOSICION Y ADQUISICION DE SISTEMA DE VIGILANCIA Y SEGURIDAD DEL CPF BULNES,DIGUILLÍN,BULNES, $ 397.588 ,136,22/03/2024,136,22/03/2024,FIRMADO,08/04/2024,27,15/04/2024,AFECTA,T.R CON ALCANCES,09/05/2024,735,5/14/2024,DIT,
