,,,,,,,,
,,,,,,,,
,MES,2019,2020,2021,2022,2023,2024,2025
,ENE,0.00%,0.01%,0.00%,2.23%,5.26%,0.00%,2.30%
,FEB,0.00%,1.74%,0.29%,4.52%,12.92%,3.56%,6.50%
,MAR,0.00%,5.12%,5.76%,7.67%,19.39%,11.87%,30.32%
,ABR,0.00%,5.82%,9.14%,9.80%,25.06%,17.06%,39.25%
,MAY,13.10%,13.33%,10.71%,18.57%,29.95%,21.18%,46.54%
,JUN,33.11%,34.19%,13.66%,23.17%,33.85%,26.23%,52.12%
,JUL,37.32%,46.92%,19.83%,31.68%,34.06%,29.77%,63.63%
,AGO,61.34%,51.60%,23.85%,40.43%,42.41%,32.60%,66.82%
,SEP,71.16%,67.74%,31.09%,53.80%,50.03%,35.92%,74.54%
,OCT,81.67%,75.26%,39.09%,61.71%,55.58%,49.64%,
,NOV,89.83%,80.14%,48.79%,63.59%,72.22%,61.65%,
,DIC,98.46%,97.48%,88.21%,99.79%,99.01%,90.45%,
