,,,,,,,,,,,,,,,,
,,,,,,,"$2,314,221",,,,,,41239,,,
,TOTAL 2024,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
,MARCO PRESUPUESTARIO VIGENTE,,"$76,345,994","$76,345,994","$76,345,994","$76,345,994","$76,345,994","$74,031,773","$74,031,773","$74,031,773","$74,031,773","$74,031,773","$75,476,564","$69,956,822",,
,EJECUTADO PROG X MES,,$0,"$2,711,174","$6,344,221","$2,488,325","$4,618,641","$3,252,095","$2,621,599","$2,092,488","$2,238,016","$10,157,742","$9,476,180","$16,224,207",,
,% EJECUTADO PROG X MES,,0.00%,3.55%,8.31%,3.26%,6.05%,4.39%,3.54%,2.83%,3.02%,13.72%,12.56%,23.19%,,
,EJECUTADO PROG ACUMULADO,,$0,"$2,711,174","$9,055,395","$11,543,720","$16,162,361","$19,414,456","$22,036,055","$24,128,543","$26,366,559","$36,524,301","$46,000,481","$62,224,688",,
,% EJECUTADO PROG ACUMULADO,,0.00%,3.55%,11.86%,15.12%,21.17%,26.22%,29.77%,32.59%,35.62%,49.34%,60.95%,88.95%,,
,EJECUTADO REAL X MES,,$0,"$2,711,174","$6,344,222","$2,488,325","$4,618,642","$3,252,095","$2,621,599","$2,092,488","$2,237,836","$10,157,742","$9,476,180","$16,222,209",,
,% EJECUTADO REAL X MES,,0.00%,3.55%,8.31%,3.26%,6.05%,4.39%,3.54%,2.83%,3.02%,13.72%,12.56%,23.19%,,
,EJECUTADO REAL ACUMULADO,,$0,"$2,711,174","$9,055,396","$11,543,721","$16,162,363","$19,414,458","$22,036,057","$24,128,545","$26,366,381","$36,524,123","$46,000,303","$62,222,512",63330546,"$1,108,034"
,% EJECUTADO REAL ACUMULADO,,0.00%,3.55%,11.86%,15.12%,21.17%,26.22%,29.77%,32.59%,35.61%,49.34%,60.95%,88.94%,90.53%,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,,,,
,MES,2024 Proyectado,,2024 real,,MES,PROGRAMADO,EJECUTADO,MENSUAL,PROG. MENSUAL,,,,,,
,ENE,,,0.00%,,ENE,$0,$0,$0,"$1,296,116",,,,,,
,FEB,,,3.56%,,FEB,"$2,711,174","$2,711,174","$2,711,174","$1,331,850",,,,,,
,MAR,,,11.87%,,MAR,"$9,055,395","$9,055,396","$6,344,222","$1,804,861",,,,,,
,ABR,,,15.13%,,ABR,$0,"$11,543,721","$2,488,325","-$9,055,395",,,,,,
,MAY,,,21.17%,,MAY,$0,"$16,162,363","$4,618,642",$0,,,,,,
,JUN,,,26.22%,,JUN,$0,"$19,414,458","$3,252,095",$0,,,,,,
,JUL,,,29.77%,,JUL,$0,"$22,036,057","$2,621,599",$0,,,,,,
,AGO,,,32.59%,,AGO,$0,"$24,128,545","$2,092,488",$0,,,,,,
,SEP,,,35.61%,,SEP,$0,"$26,366,381","$2,237,836",$0,,,,,,
,OCT,,,49.64%,,OCT,$0,"$36,524,123","$10,157,742",$0,,,,,,
,NOV,,,60.95%,,NOV,$0,"$46,000,303","$9,476,180",$0,,,,,,
,DIC,,,88.94%,,DIC,$0,"$62,222,512","$16,222,209",$0,,,,,,
