,,,,,,,,,
,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°010,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°10 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
,,SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,"84,893,917","79,767,850","-2,572,453 ","77,195,397"
,,,03,,De Otras Entidades Públicas,"84,893,917 ","79,767,850 ","2,572,453","77,195,397 "
,,24,,,TRANSFERENCIAS CORRIENTES,"4,092,402","4,780,770","-809,380 ","3,971,390"
,,,01,,Al Sector Privado,"3,502,000 ","3,502,000 ","-55,610 ","3,446,390 "
,,,,010,Aplicación Letra a) Artículo Cuarto Transitorio Ley N°20.378,"3,502,000 ","3,502,000 ","55,610","3,446,390 "
,,,03,,Al Sector Público,"590,402 ","1,278,770 ","-753,770 ","525,000 "
,,,,429,Universidad de Chile -   Transferencia Sello de Origen para Maíz Amarillo y Uva Corinta ( 40035912-0),"100,000 ","100,000 ","100,000",0 
,,,,476,Universidad del Bio Bio - Transferencia Certificación y Sello de Calidad para Vinos de la Región de Ñuble (40053301-0),"200,000 ","200,000 ","75,000","125,000 "
,,,,481,Universidad de Talca - Transferencia Sistema de Diagnóstico y Recomendación Nutricional Integrada en Avellano Europeo (40058771-0),"100,402 ","100,402 ","100,402",0 
,,,,483,Universidad del Bio Bio - Transferencia Industrialización de la Vivienda en Madera de la Región Ñuble (40058700-0),"100,000 ","100,000 ","100,000",0 
,,,,484,Universidad de Chile - Transferencia la Paja de Trigo del Valle del Itata: Una Oportunidad de Desarrollo de Economía Circular y Sostenible (40057900-0),"90,000 ","50,000 ","50,000",0 
,,,,491,Pro Chile - Tranferencia Promoción de Exportaciones Multisectrial Ñuble (40067558-0),0 ,"728,368 ","328,368","400,000 "
,,32,,,PRÉSTAMOS,"1,400,000 ","1,195,114 ","-300,000 ","895,114 "
,,,06,,Por Anticipos a Contratistas,"1,400,000 ","1,195,114 ","300,000","895,114 "
,,33,,,TRANSFERENCIAS DE CAPITAL ,"12,523,465 ","1,844,331 ","-1,463,073 ","381,258 "
,,,03,,A Otras Entidades Públicas,"12,523,465 ","1,844,331 ","1,463,073","381,258 "
,,,,249,"Universidad del Bio Bio - Transferencia Trazabilidad y Validación de Vinos Valle del Itata, Región de Ñuble (40067308-0)",0 ,"241,250 ","159,992","81,258 "
,,,,999,Provisión Fondo para la Productividad y el Desarrollo(Sin Distribuir),"12,523,465 ","1,603,081 ","1,303,081","300,000 "
