NOMBRE PROYECTO,CÓDIGO BIP,NOMBRE INCIATIVA,COMUNA,UNIDAD EJECUTORA,RUT INSTITUCIÓN,FINANCIAMIENTO,Nº DE BENEFICIARIOS/AS,AÑO DE EJECUCIÓN,RATE,"ESTADO DE LA INICIATIVA (En Ejecución, ejecutada, terminada)",ENLACE DE SEGUIMIENTO,DIVISIÓN,MONTO APROBADO,CONVENIO,OBSERVACIONES
PLAN 21 CANCHAS PARA ÑUBLE,40049475-0,"REPOSICION CANCHA DE FUTBOL CALLE ALEGRE, COMUNA DE SAN IGNACIO",SAN IGNACIO,MUNICIPLAIDAD DE SAN IGNACIO ,69.141.300-4,FNDR,2.779,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,"Terminada, en proceso de recepción de obra"
PLAN 21 CANCHAS PARA ÑUBLE,40049459-0,"CONSTRUCCION CANCHA DE PASTO SINTETICO PASO ANCHO, COMUNA DE SAN FABIAN",SAN FABIAN,MUNICIPALIDAD DE SAN FABIAN ,69.140.700-4,FNDR,1013,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.861.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40047232-0,CONSTRUCCIÓN CANCHA PASTO SINTÉTICO CENTRO RECREATIVO MUNICIPAL JOSÉ PEDRO HADI COMUNA DE QUIRIHUE,QUIRIHUE,MUNICIPALIDAD DE QUIRIHUE ,69.140.100-6,FNDR,2.549,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.850.000,FIRMADO,"TERMINADA, PENDIENTE DE INAUGURACIÓN "
PLAN 21 CANCHAS PARA ÑUBLE,40047896-0,"CONSTRUCCION CANCHA PASTO SINTETICO CLUB DEPORTIVO UNION, ANFA, CHILLAN",CHILLÁN,MUNICIPALIDAD DE CHILLAN ,69.140.900-7,FNDR,39.869,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,"$435,530,763",FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,30480687-0,"CONSTRUCCION CARPETA PASTO SINTETICO Y CIERRE PERIMETRAL CANCHA DE RECINTO,COMUNA DE PINTO",PINTO,MUNICIPALIDAD DE PINTO ,69.141.000-5,FNDR,2.008,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.987.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40048490-0,"CONSTRUCCION CANCHA DE FUTBOL EN PASTO SINTETICO ANFA, VILLA EL PROGRESO,COMUNA DE BULNES",BULNES,MUNICIPALIDAD BULNES,69.141.200-8,FNDR,1.569,2023,RS,EJECUCIÓN,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,"EN PROCESO DE TERMINO ANTICIPADO DE CONTRATO, POR INCUMPLIMIENTO Y ABANDONO POR PARTE DE LA EMPRESA ADJUDICADA. "
PLAN 21 CANCHAS PARA ÑUBLE,40048786-0,"CONSTRUCCION CANCHA DE PASTO SINTETICO MARIANO EGAÑA, CHILLAN VIEJO",CHILLÁN VIEJO,MUNICIPALIDAD DE CHILLAN VIEJO ,69.266.500-7,FNDR,,2023,RS,,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,SE REALIZARA UNA NUEVA INICIATIVA.
PLAN 21 CANCHAS PARA ÑUBLE,40045447-0,"REPOSICION CANCHA DE FUTBOL TALQUIPEN, COMUNA DE COIHUECO",COIHUECO,MUNICIPALIDAD COIHUECO, 69.141.100-1,FNDR,1.797,2023,RS,PARALIZADA,CÉSAR NAVARRETE,DIDESOH,$ 380.000.000,FIRMADO,En ejecución. 
PLAN 21 CANCHAS PARA ÑUBLE,40047370-0,"CONSTRUCCION CANCHA DE FUTBOL SECTOR LAS ARBOLEDAS, SAN CARLOS",SAN CARLOS,MUNICIPALIDAD DE SAN CARLOS ,69.150.500-1,FNDR,2.972,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.772.000,FIRMADO,INAUGURADA 
PLAN 21 CANCHAS PARA ÑUBLE,40047722-0,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL, CERRO NEGRO, COMUNA DE QUILLÓN",QUILLON,MUNICIPALIDAD DE QUILLON ,69.141.400-0,FNDR,3623,2023,RS,INAUGURADA,CÉSAR NAVARRETE,DIDESOH,$ 379.965.000,FIRMADO,INAUGURADA 
