 Comuna , Código , Nombre Iniciativa , Unidad Técnica , Item Presupuestario , Estado Iniciativa , Sub-Estado Iniciativa , Saldo 2026 , Saldo 2027 
SAN CARLOS,30451574,"HABILITACION PLAZA Y FERIA LIBRE EMILIO BASTIAS, COMUNA DE SAN CARLOS",MUNICIPIO,31.02.004,CONVENIO,REEVALUACIÓN, $ - ," $ 4,309,939 "
SAN FABIÁN,40028237,CONSTRUCCION SISTEMA DE ALCANTARILLADO Y P.T.A.S LOCALIDAD DE SAN FABIAN DE ALICO (OBRAS CIVILES),MUNICIPIO,31.02.004,CONVENIO,FIRMADO," $ 1,500,000 "," $ 6,932,891 "
EL CARMEN,30132719,"REPOSICION EDIFICIO CONSISTORIAL, EL CARMEN",MUNICIPIO,31.02.004,LICITACIÓN,REEVALUACIÓN, $ - ," $ 3,416,246 "
COELEMU,40013777,REPOSICIÓN BIBLIOTECA PÚBLICA DE COELEMU,MUNICIPIO,31.02.004,CONVENIO,REEVALUACIÓN," $ 1,151,993 ", $ - 
CHILLÁN,40038644,"CONSERVACIÓN VEREDAS POBLACIÓN KENNEDY Y OTROS SECTORES, CHILLÁN",MUNICIPIO,31.02.004,LICITACIÓN,PRIMERA," $ 778,745 ", $ - 
CHILLÁN VIEJO,40051823,"CONSERVACION LICEO POLIVALENTE JUAN ARTURO PACHECO ALTAMIRANO, CHILLAN VIEJO (OBRAS CIVILES)",MUNICIPIO,31.02.004,CONVENIO,FIRMADO," $ 772,252 ", $ - 
COELEMU,40052561,"CONSERVACION ESCUELA VILLA JESUS DE COELEMU, COMUNA DE COELEMU",MUNICIPIO,31.02.004,CONVENIO,FIRMADO," $ 550,000 ", $ - 
COELEMU,40021911,"REPOSICION TOTAL ESCUELA FELIPE CUBILLOS SIGAL, COMUNA DE COELEMU",MUNICIPIO,31.02.004,EJECUCIÓN,ADJUDICACIÓN," $ 538,489 ", $ - 
CHILLÁN VIEJO,30119286,"REPOSICION CESFAM FEDERICO PUGA BORNE, CHILLAN VIEJO (EQUIPOS)",MUNICIPIO,31.02.006,LICITACIÓN,PRIMERA," $ 497,353 ", $ - 
PORTEZUELO,40052865,CONSERVACIÓN LICEO BICENTENARIO NIBALDO SEPULVEDA FERNANDEZ (OBRAS CIVILES),MUNICIPIO,31.02.004,CONVENIO,FIRMADO," $ 448,148 ", $ - 
CHILLÁN VIEJO,40048786,"CONSTRUCCION CANCHA DE PASTO SINTETICO MARIANO EGAÑA, CHILLAN VIEJO",MUNICIPIO,31.02.004,CONVENIO,SIN FIRMAR," $ 393,298 ", $ - 
COBQUECURA,40049545,"CONSTRUCCION CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL SECTOR PULLAY, COMUNA DE COBQUECURA",MUNICIPIO,31.02.004,LICITACIÓN,SEGUNDA," $ 379,479 ", $ - 
CHILLÁN VIEJO,30119286,"REPOSICION CESFAM FEDERICO PUGA BORNE, CHILLAN VIEJO (EQUIPAMIENTO)",MUNICIPIO,31.02.005,LICITACIÓN,PRIMERA," $ 245,036 ", $ - 
SAN NICOLÁS,40052689,"CONSERVACIÓN SALA CUNA Y JARDÍN INFANTIL LOS ENANITOS, SAN NCOLÁS",MUNICIPIO,31.02.004,CONVENIO,SIN FIRMAR," $ 206,037 ", $ - 
NINHUE,40049525,"REPOSICIÓN ESCUELA GLORIAS NAVALES, COMUNA DE NINHUE",MUNICIPIO,31.02.002,CONVENIO,SIN FIRMAR," $ 189,563 ", $ - 
CHILLÁN VIEJO,40029137,"AMPLIACIÓN AV. REINO DE CHILE, CHILLÁN VIEJO (CONSULTORÍA)",MUNICIPIO,31.02.002,CONVENIO,SIN FIRMAR," $ 187,485 ", $ - 
CHILLÁN VIEJO,30119286,"REPOSICION CESFAM FEDERICO PUGA BORNE, CHILLAN VIEJO (VEHÍCULOS)",MUNICIPIO,31.02.007,LICITACIÓN,PRIMERA," $ 130,001 ", $ - 
SAN NICOLÁS,30072326,REPOSICION AMPLIADA EDIFICIO CONSISTORIAL MUNICIP. SAN NICOLAS EQUIPAMIENTO,MUNICIPIO,31.02.005,LICITACIÓN,TERCERA," $ 121,942 ", $ - 
SAN NICOLÁS,30072326,REPOSICION AMPLIADA EDIFICIO CONSISTORIAL MUNICIP. SAN NICOLAS EQUIPO,MUNICIPIO,31.02.006,CONVENIO,REEVALUACIÓN," $ 36,168 ", $ - 
COIHUECO,40015344,"REPOSICION RETEN DE CARABINEROS CATO, COMUNA DE COIHUECO (EQUIPAMIENTO)",CARABINEROS,31.02.005,CONVENIO,FIRMADO," $ 35,213 ", $ - 
COIHUECO,40015344,"REPOSICION RETEN DE CARABINEROS CATO, COMUNA DE COIHUECO (EQUIPOS)",CARABINEROS,31.02.006,CONVENIO,FIRMADO," $ 25,193 ", $ - 
TREHUACO,40029660,REPOSICION CUARTEL CUERPO DE BOMBEROS DE LA COMUNA DE TREHUACO (CONSULTORÍA),MUNICIPIO,31.02.002,LICITACIÓN,TERCERA," $ 22,000 ", $ - 
,,,,,,," $ 8,208,395 "," $ 14,659,076 "
