tabla,campo,rol,tipo_inferido,descripcion,grupo
DIPIR_Indicadores_2021_25,indicador,Clave de grano,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
DIPIR_Indicadores_2021_25,unidad,Clave de grano,texto/categórico,Unidad del valor DIPIR: 'monto' o 'porcentaje'.,General
DIPIR_Indicadores_2021_25,valor,Medida,entero,Valor numérico (porcentaje en fracción o monto parseado) según unidad.,General
DIPIR_Indicadores_2021_25,valor_raw,Medida,entero,Valor original en texto tal como venía en el reporte.,General
DIPIR_Indicadores_2021_25,anio,Clave de grano,fecha,Año calendario del registro (cuando aplica).,Tiempo
DIPIR_Indicadores_2021_25,mes,Clave de grano,entero,Mes numérico (1–12).,Tiempo
DIPIR_Indicadores_2021_25,mes_nombre,Atributo,texto/categórico,Campo temporal (fecha o período).,Tiempo
DIPIR_Porcentaje_2019_2025,valor,Medida,vacío,Valor numérico (porcentaje en fracción o monto parseado) según unidad.,General
DIPIR_Porcentaje_2019_2025,valor_raw,Medida,vacío,Valor original en texto tal como venía en el reporte.,General
DIPIR_Porcentaje_2019_2025,anio,Clave de grano,vacío,Año calendario del registro (cuando aplica).,Tiempo
DIPIR_Porcentaje_2019_2025,mes,Clave de grano,vacío,Mes numérico (1–12).,Tiempo
Dim_Iniciativa,bip,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,bip_from_code,Derivado / QC,entero,BIP extraído desde cod_unico cuando sigue patrón <BIP>-<AÑO> (derivado).,General
Dim_Iniciativa,dv,Atributo,entero,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,etapa,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,fuente,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,nombre_iniciativa,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,origen,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,tipologia,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,unidad_tecnica,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,vigencia,Atributo,texto/categórico,Campo proveniente del consolidado; requiere definición funcional si se usará en reportes oficiales.,General
Dim_Iniciativa,comuna,Atributo,texto/categórico,Atributo territorial (normalizar nombres si se requiere para análisis geográfico).,Geografía
