COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,REVISIÓN O REEVALUACIÓN,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,SUBTIPOLOGÍAS,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,ALCANCE INICIATIVA,DIVISIÓN VINCULADA,CARTERA REZAGO,BENEFICIARIO,SECTOR,SUBSECTOR,MONTO INICIATIVA,MONTO SECTORIAL,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,GASTO SIG. AÑOS,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,N° RATES EMITIDOS,DIAS PARA RESPUESTA,N° ORD. POSTULACIÓN,FECHA ORD. POSTULACIÓN,FECHA RECEPC. GORE,ANALISTA,FECHA ASIGN. ANALISTA,N° ORD.  A MIDESO,FECHA ENVÍO A MIDESO,N° ORD. CORE,FECHA ENVÍO ORD. A CORE,N° CERTIF. RS,FECHA CERTIF. RS,N° CERT.CORE O RES. EXTA INCORP,FECHA CERTIF. APROBADO CORE,"N° MEMO PRESUPESTO
RES. APRUEBA CONV","FECHA ENVÍO A PRESUPUESTO
FECHA CONVENIO",OBSERVACIONES GENERALES,EJE,LINEAMIENTO,OBJETIVO,ACCION,N° EMPLEOS EST. HOMBRE,N° EMPLEOS EST. MUJER,N° EMPLEOS ESTIMADOS,N° BENEF DIRECT HOM,N° BENEF DIRECTOS MUJ,N° BENEF DIRECTOS TOTAL,CONTROL DE DIAS,CONTROL RESPUESTA OBSERVACIONES,N° DIAS RETRASO,RESPONDE OBSERVACIONES,FECHA RESPUESTA INGRESO PRE INVERSIÓN,N° DÍAS A LA ESPERA DE REVISIÓN,PRIORIZADO GOBERNADOR,,,,,,
1-2019,NO VIGENTE,2019,2019,1,0,PROGRAMA DE EMPLEO INVERSIÓN EN LA COMUNIDAD PARA EL AÑO 2019,,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,,SANEAMIENTO DOMINIO (PEQUEÑAS PROPIEDADES),33,2,6,TRABAJO,SECTORIAL / OTRO,,,,,TRABAJO,EMPLEO,EMPLEO,"$817,390",$0,"$817,390",,"M$817,390",M$0,APRO CORE,,RS,,,,,,11-06-2019,PABLO NUÑEZ,11-06-2019,,,279,12-06-2019,,,141,20-06-2019,,, // APROBADO CORE SEGÚN CERTIFICADO 141 DEL 20-06-19,,,,,,,,,,,30-12-1899,YA ESTÁ RS,NO APLICA,,,,,,#REF!,EJE 1. TERRITORIO Y MEDIOAMBIENTE,"1.1. Desarrollo territorial planificado, integrado, equitativo, resiliente y sostenible.",1.1.1. Planificar el territorio de manera equilibrada e integrada,1.1.1.1. Elaborar o actualizar los instrumentos de planificación territorial regional
1-2020,VIGENTE,2020,2020,1,0,PROGRAMA DE INVERSIÓN EN LA COMUNIDAD 2020,,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,,,33,0,0,GORE,SECTORIAL / OTRO,,,,,REGIONAL,EMPLEO,EMPLEO,"$872,472",$0,"$872,472",,"M$872,472",M$0,APRO CORE,,RS,16-01-2020,,,,,06-01-2020,JAVIER BRITO,06-01-2020,,,25,17-01-2020,,,40,04-02-2020,,, // APROBADO COMISION Y SESIÓN CORE 03-02-20 EN EL CARMEN// ENVIADO A CORE POR ORD. 25 DEL 17-01-20 E7362/2020 // FI DE FECHA 10-01-20 INFORMADO POR CORREO MISMO DIA/ OFICIO 4 E7025/2020 DEL 06-01-2020,,,,,,,,,,,16-01-2020,,NO APLICA,,,,,,,"EJE 2. ECONOMÍA, INNOVACIÓN Y CAPITAL HUMANO",1.2. Habitabilidad y servicios para el bienestar territorial.,1.1.2. Mejorar la infraestructura y la conectividad interregional física y digital,1.1.1.2. Asesorar en la elaboración de instrumentos de planificación comunal.
2-2020,VIGENTE,2020,2020,2,0,PROGRAMA EMPLEO SEGUNDO SEMESTRE 2020,,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,,,33,0,0,GORE,SECTORIAL / OTRO,,,,,REGIONAL,EMPLEO,EMPLEO,"$884,194",$0,"$884,194",,"M$884,194",M$0,APRO CORE,,RS,05-05-2020,,,,,28-04-2020,JAVIER BRITO,05-05-2020,,,333,06-05-2020,,,137,25-05-2020,,, // APROBADO CORE SEGÚN CERTIFICADO 137 DEL 25-05-20 // PROGRAMADO COMISIÓN 18-05-20// ENVIADO A CORE POR ORD. 333 DEL 06-05-20// OFICIO PARA FIRMA DE INTENDENTE ENVIADO POR CORREO 06-05-20// RS ENVIADO CON FIRMA 05-05-20// POR CORREO DEL 05-05-20 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES// FI DEL 05-05-20 INFORMADO POR CORREO// E8937/2020 ASIGNADO ANALISTA PARA REVISIÓN JAVIER BRITO 05-05-20,,,,,,,,,,,05-05-2020,,NO APLICA,,,,,,,EJE 3. DESARROLLO SOCIAL INCLUSIVO,"1.3. Valores ambientales del territorio conocidos, promovidos, protegidos y restaurados.",1.1.3. Fortalecer las capacidades resilientes regionales ante riesgos de desastres y cambio climático.,"1.1.1.3. Identificar, diseñar e implementación de acciones para territorios especiales de la región."
20119065-2020,NO VIGENTE,2019,2020,20119065,0,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,,PROYECTO,DIGUILLIN,SAN IGNACIO,DISEÑO,MIDESO,,,31,2,2,MUNICIP. SAN IGNACIO,MUNICIPIO,,,,,SAN IGNACIO,INFRAESTRUCTURA SOCIAL,ASISTENCIA Y SERVICIO SOCIAL,"$41,893",$0,"$41,893",,"M$41,893",M$0,APRO CORE,,RS,26-10-2018,,,,,27-12-2018,JAVIER BRITO / MIDESO,28-12-2018,,,20,07-01-2019,,,38,06-02-2019,,," // APROBADO CORE ÑUBLE SEGÚN CERTIFICADO 38 DEL 06-02-19 / SE ENVÍA A CORE SEGÚN ORD. 20 DEL 07-01-19 / PROYECTO CON RS DE MIDESO BIO BIO 26-10-18, SE INGRESA PARA SOLICITAR FINANCIAMIENTO, OFICIO SE DERIVA JEFE DE DIPLADE PARA TOMAR DECISIONES 28,12,18",,,,,,,,,,,26-10-2018,YA ESTÁ RS,NO APLICA,,,,,,,"EJE 4. PATRIMONIO, CULTURA E IDENTIDAD","2.1. Formación, retención y atracción de capital humano especializado","1.1.4. Avanzar hacia la seguridad hídrica mediante el uso racional, eficiente y sustentable de los recursos hídricos regionales","1.1.2.1. Implementar un programa prioritario de mejoramiento de la infraestructura pública de conectividad, con énfasis en caminos secundarios y conectividad digital."
20119065-2022,VIGENTE,2022,2022,20119065,0,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,,PROYECTO,DIGUILLÍN,SAN IGNACIO,EJECUCIÓN,MIDESO,MIDESO,HOGAR DE ANCIANOS,31,2,,MUNICIP. SAN IGNACIO,MUNICIPIO,MUNICIP. SAN IGNACIO,COMUNAL,,,SAN IGNACIO,MULTISECTORIAL,MULTISECTORIAL ASISTENCIA Y SERVICIOS SOCIALES,"M$2,713,320",M$0,"M$2,713,320","M$2,713,320","M$624,347","M$2,088,973",REVISANDO ADMISIBILIDAD,,FI,24-08-2022,,,445,20-07-2022,21-07-2022,Rolando Gasset,02-08-2022,959,8/2/2022,,,,,,,,,MIDESO: OF N°959,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,1.1.1.5 Construir o habilitar espacios públicos y/o infraestructura pública diseñados y equipados de acuerdo a la jerarquía de cada centro urbano con pertinencia identitaria resguardando el aporte estético de las intervenciones públicas al desarrollo de los centros poblados.,,,,12,12,24,24-08-2022,,,,,,NO,,,EJE 5. INSTITUCIONALIDAD Y GOBERNANZA REGIONAL,"2.2. Economía territorial, innovadora, dinámica con producción diversificada y soporte energético, logístico y científico.",1.2.1. Impulsar programas de mejoramiento de la habitabilidad.,"1.1.2.2. Configurar una red vial, ferroviaria, marítima y área estructural regional e interregional."
20189410-2019,NO VIGENTE,2019,2019,20189410,0,CONSTRUCCION PISCINA MUNICIPAL DE COIHUECO,,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,,31,,,MUNICIP. COIHUECO,MUNICIPIO,,,,,COIHUECO,DEPORTES,DEPORTE RECREATIVO,"$60,015",$0,"$60,015",,"M$60,015",M$0,REVISAR,,,,,,,,24-04-2019,PABLO NUÑEZ,26-04-2019,,,,,,,,,,, // E2058/2019 ASIGNADO ANALISTA PARA REVISIÓN,,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,"3.1. Bienestar, seguridad y calidad de vida para las personas de Ñuble",1.2.2. Impulsar programas de mejoramiento del acceso a servicios,1.1.2.3. Aumentar la disponibilidad y accesibilidad segura de espacios públicos multifuncionales con énfasis en la educación y recreación
20189410-2021,NO VIGENTE,2021,2021,20189410,0,CONSTRUCCIÓN PISCINA MUNICIPAL DE COIHUECO,,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,Infraestructura Pública,31,2,0,MUNICIP. COIHUECO,MUNICIPIO,,,,,COIHUECO,DEPORTES,DEPORTE RECREATIVO,"$86,841",$0,"$86,841",,"M$86,841",M$0,,,FI,05-04-2021,1,,,,29-12-2020,MARIA JOSE GUTIERREZ,05-01-2021,18,06-01-2021,0,,,,0,,,,OFICIO ENVIADO A ODD // FI DEL 05/04/21 // FI DEL 02-02-21 //PRIORIZADO Y ENVIADO EN OFICIO N°18 DEL 06-01-21 POR MAIL OF. DE PARTES //DERIVADO A MJOSE  PARA REVISIÓN DE PREADMISIBILIDAD.,1. Territorio y Medioambiente,"1.1 Promover el desarrollo territorial de Ñuble, de manera integrada y equitativa.",1.1.1 Mejorar la infraestructura pública y de conectividad territorial regional. ,"1.1.1.5 Construir o habilitar espacios públicos y/o infraestructura pública, diseñados y equipados de acuerdo a la jerarquía de cada centro urbano, con pertinencia identitaria, resguardando el aporte estético de las intervenciones públicas al desarrollo de los centros poblados.",,,15,13285,12648,25933,NO,NO APLICA CONTROL,NO APLICA,,,,,,,,3.2. Inclusión Social,1.2.3. Avanzar en la implementación de un sistema integral de gestión de residuos solidos domiciliarios.,1.1.3.1. Modernizar la infraestructura y el equipamiento local para dar respuesta frente a desastres y emergencias
20189410-2022,VIGENTE,2022,2022,20189410,0,CONSTRUCCION PISCINA MUNICIPAL COIHUECO,,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,MIDESO,DEPORTIVO,31,2,,MUNICIP. COIHUECO,MUNICIPIO,MUNICIP. COIHUECO,COMUNAL,,,COIHUECO,DEPORTE,DEPORTE RECREATIVO,"M$87,518",M$0,"M$87,518","M$87,518","M$87,518",M$0,APROBADO TÉCNICAMENTE,01.09.2022,RS,22-08-2022,,,07,05-01-2022,05-01-2022,Sin Analista,,613,5/26/2022,,,,,,,,,"MIDESO, OF N°613",1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,1.1.1.5 Construir o habilitar espacios públicos y/o infraestructura pública diseñados y equipados de acuerdo a la jerarquía de cada centro urbano con pertinencia identitaria resguardando el aporte estético de las intervenciones públicas al desarrollo de los centros poblados.,,,,14023,14057,28080,22-08-2022,,,,,,NO,,,,"4.1. Desarrollo del ambiente creativo, artístico, cultural e identitario",1.3.1. Elevar el nivel de educación sobre valores ambientales del territorio.,1.1.3.2. Implementar medidas contenidas en el Plan regional de reducción de riesgo de desastre
20210001-2021,VIGENTE,2020,2021,20210001,9,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO 1° SEM 2021),,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIA,,Capacitación y Empleo,33,1,0,TRABAJO,SECTORIAL / OTRO,,,,,REGIONAL,SUBVENCION,EMPLEO,"$796,515",$0,"$796,515",,"M$796,515",M$0,,,RS,11-12-2020,,,,,11-11-2020,JAVIER BRITO,11-11-2020,,,1063,17-12-2020,,,220,08-01-2021,,, // RS DEL 11-12-20 // FI DEL 12-11-20 // DERIVADO A JAVIER PARA REVISIÓN.,,,,,,,,,,,NO,YA ESTÁ RS,NO APLICA,,,,,,,,4.2. Sustentabilidad del patrimonio cultural y natural de la región de Ñuble,1.3.2. Proteger y recuperar los valores ambientales del territorio,1.1.3.3. Apoyar la elaboración y ejecución del plan regional y los planes locales asociados a la ley marco de cambio climático
20210002-2022,VIGENTE,2021,2022,20210002,0,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO II-2021),,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIA,,Capacitación y Empleo,33,3,0,TRABAJO,SECTORIAL / OTRO,,,,,REGIONAL,EMPLEO,EMPLEO,"$712,740",$0,"$712,740",,"M$712,740",M$0,,,RS,31-08-2021,2,0,,,22-06-2021,Oscar Diaz Diaz,25-06-2021,,,736,07-09-2021,78,31-08-2021,0,,,,RS DEL 31-08-21 // TRASPASADO A CARTERA DE OSCAR // OT EL 05-07-21// DERIVADO A JAVIER PARA REVISIÓN,,,,,27,248,275,27,248,275,NO,YA ESTÁ RS,NO APLICA,,,,,,,,5.1. Institucionalidad pública descentralizada y desconcentrada que destaca por su probidad y transparencia,2.1.1. Promover la instalación de una cultura de innovación y creatividad.,1.1.4.1. Mejorar la articulación institucional para aumentar el acceso al agua potable para consumo humano
