,,,,,,,,,
,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°011,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,
,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°11 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
,,SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,,,,GASTOS,"65,438,656","55,716,884",0,"55,716,884"
,,22,,,BIENES Y SERVICIOS DE CONSUMO,"500,000","500,000","-310,000 ","190,000"
,,24,,,TRANSFERENCIAS CORRIENTES,"4,312,627","3,502,627","1,520,232","1,982,395"
,,,01,,Al Sector Privado,"732,640 ","732,640 ","-481,695 ","250,945 "
,,,,001,Junta Nacional de Cuerpos de Bomberos de Chile ,"300,640 ","300,640 ","300,000",640 
,,,,266,Universidad Católica de la Santísima Concepción - Plan de Acción para Adopción Electromovilidad Ñuble (40050692-0),"172,000 ","172,000 ","1,400","170,600 "
,,,,275,Universidad Católica de la Santísima Concepción - Transferencia Red de Productores Agrícolas para las Compras Públicas para la Región de Ñuble (40058764-0),"180,000 ","180,000 ","179,999",1 
,,,,276,Universidad Adventista de Chile - Transferencia Plataforma Web-App Móvil Integrada en Red para Reducir Mortalidad/ Morbilidad por Infarto Agudo al Miocardio y Accidente Vascular Encefálico (40058752-0),"80,000 ","80,000 ",296,"79,704 "
,,,03,,Al Sector Público,"3,579,987 ","2,769,987 ","-1,038,537 ","1,731,450 "
,,,,407,SERVICIO DE SALUD ÑUBLE-Capacitación de 100 médicos especialistas para red asistencial 2019-2024 (40009727-0),"461,410 ","461,410 ","136,332","325,078 "
,,,,418,DOH - Asistencia Técnica para Comités o Cooperativas para Proyectos de APR (40023687-0),"1,000,000 ","500,000 ","350,000","150,000 "
,,,,426,Subsecretaría de Telecomunicaciones de Chile - Transferencia Fondo Desarrollo de las Telecomunicaciones Fibra Óptica Ñuble - Última Milla (40033167-0),"553,391 ","243,391 ","214,591","28,800 "
,,,,448,Universidad de Talca - Identidad Microbiana de la Viticultura del Itata (40050623-0),"93,364 ","93,364 ","93,364",0 
,,,,452,Universidad de Chile - Geotermia Pública y Agroproductiva para Ñuble (40050616-0),"78,455 ","78,455 ","78,455",0 
,,,,470,"Serviu Ñuble - Difusión Información y Acompañamiento Social a Comités de Viviendas, Región de Ñuble (40048725-0)","53,073 ","53,073 ",1,"53,072 "
,,,,474,"Universidad del Bio Bio - Transferencia Plataforma Interoperable, para el Manejo de Listas de Espera en (40058654-0)","120,000 ","120,000 ","50,000","70,000 "
,,,,475,Universidad del Bio Bio - Transferencia Prevención y Detección Precoz de Cáncer Colorrectal para la Región de Ñuble (40058702-0),"210,000 ","210,000 ","80,000","130,000 "
,,,,478,SERNATUR - Transferencia Fortalecimiento del Turismo  Social en la Región de Ñuble (40058836-0),"156,825 ","156,825 ","28,875","127,950 "
,,,,482,Universidad del Bio Bio - Transferencia Programa de Apoyo Integral para Residencias de Protección de la Región de Ñuble (40058721-0),"150,000 ","150,000 ","115,000","35,000 "
,,,,486,Servicio de Salud Ñuble - Transferencia Casa de Acogida para Pacientes y Familiares del Hospital Regional de Ñuble (40055996-0),"87,319 ","87,319 ","15,769","71,550 "
,,,,487,Universidad del Bio Bío - Transferencia Gestión Colaborativa en Salud Pública (Polo de Salud) para la Región de Ñuble (40057788-0),"216,150 ","216,150 ","176,150","40,000 "
,,,,488,"Sernatur - Transferencia Desarrollo de Competencias y Promoción Turística Nacional e Internacional, Región de Ñuble (40058688-0)","400,000 ","400,000 ","300,000","700,000 "
,,29,,,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS,"16,216,181 ","21,332,760 ","-300,000 ","21,032,760 "
,,,01,,Terrenos,"500,000 ","500,000 ","300,000","200,000 "
,,,03,,Vehículos ,"6,354,193 ","9,105,609 ","135,000","9,240,609 "
,,,05,,Máquinas y Equipos,"9,361,988 ","11,727,151 ","135,000","11,592,151 "
,,31,,,INICIATIVAS DE INVERSIÓN,"21,986,383 ","21,186,383 ","785,561 ","21,971,944 "
,,,01,,Estudios Básicos,"1,064,439 ","264,439 ","35,561","300,000 "
,,,02,,Proyectos,"20,921,944 ","20,921,944 ","750,000","21,671,944 "
,,32,,,PRÉSTAMOS,"1,400,000 ","895,114 ","-895,114 ",0 
,,,06,,Por Anticipos a Contratistas,"1,400,000 ","895,114 ","895,114",0 
,,33,,,TRANSFERENCIAS DE CAPITAL ,"21,023,465 ","8,300,000 ","2,239,785","10,539,785 "
,,,03,,A Otras Entidades Públicas,"21,023,465 ","8,300,000 ","2,239,785","10,539,785 "
,,,,125,Municipalidades (Fondo Regional de Iniciativa Local) ,"8,500,000 ","8,000,000 ","2,539,785","10,539,785 "
,,,,999,Provisión Fondo para la Productividad y el Desarrollo(Sin Distribuir),"12,523,465 ","300,000 ","300,000",0 
