,,,,,,,,,,
,,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°004,,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL,,,,,,,,
,,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°4 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,
,,SUBT.,ITEM,ASIG.,,DENOMINACIONES,,,,
,,,,,,INGRESOS,0 ,0 ,30 ,30 
,,06,,,,RENTAS DE LA PROPIEDAD,0 ,,10 ,10 
,,,99,,,Otras Rentas de la Propiedad,0 ,,10 ,10 
,,08,,,,OTROS INGRESOS CORRIENTES,0 ,0 ,20 ,20 
,,,02,,,Multas y Sanciones Pecuniarias,0 ,0 ,10 ,10 
,,,99,,,Otros Ingresos ,0 ,0 ,10 ,10 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°4 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,
,,SUBT.,ITEM,ASIG.,,DENOMINACIONES,,,,
,,,,,,GASTOS,"45,658,911 ",#REF!,30 ,#REF!
,,24,,,,TRANSFERENCIAS CORRIENTES,"6,171,255 ","6,171,255 ","520,000 ","6,691,255 "
,,,01,,,Al Sector Privado ,"6,171,255 ","6,171,255 ","-400,000 ","5,771,255 "
,,,,278,C,Instituto Investigaciones Agropecuarias - Transferencia Fruticultura Sostenible y Resiliente al Cambio Climático para la Región de Ñuble (40048139-0),,,"100,000 ","100,000 "
,,,,300,M,Concurso de Vinculación con la Comunidad ,"6,171,255 ","6,171,255 ","-500,000 ","5,671,255 "
,,,03,,,A Otras Entidades Públicas ,0 ,0 ,"920,000 ","920,000 "
,,,,300,C,Concurso de Vinculación con la Comunidad ,0 ,0 ,"500,000 ","500,000 "
,,,,485,C,CONAF - Transferencia Gestores de la Prevención ante Incendios Forestales de la Región de Ñuble (40059053-0),0 ,0 ,"150,000 ","150,000 "
,,,,486,C,Servicio de Salud Ñuble - Transferencia Casa de Acogida para Pacientes y Familiares del Hospital Regional de Ñuble (40055996-0),0 ,0 ,"60,000 ","60,000 "
,,,,487,C,Universidad del Bio Bío - Transferencia Gestión Colaborativa en Salud Pública (Polo de Salud) para la Región de Ñuble (40057788-0),0 ,0 ,"60,000 ","60,000 "
,,,,488,C,"Sernatur - Transferencia Desarrollo de Competencias y Promoción Turística Nacional e Internacional, Región de Ñuble (40058688-0)",0 ,0 ,"150,000 ","150,000 "
,,29,,,,ADQUISICIÓN DE ACTIVOS NO FINANCIEROS ,"18,299,559 ",#REF!,"-649,700 ",#REF!
,,,03,,,Vehículos,"7,090,813 ",#REF!,"-300,000 ",#REF!
,,,05,,,Máquinas y Equipos ,"11,208,746 ",#REF!,"-349,700 ",#REF!
,,31,,,,INICIATIVAS DE INVERSIÓN,"21,188,097 ",#REF!,30 ,#REF!
,,,02,,,Proyectos,"21,188,097 ",#REF!,30 ,#REF!
,,33,,,,TRANSFERENCIAS DE CAPITAL ,,,"129,700 ","129,700 "
,,,03,,,A Otras Entidades Públicas ,,,"129,700 ","129,700 "
,,,,489,C,"Comisión Nacional de Riego - Transferencia para el Fomento al Riego, Región de Ñuble (40048507-0)",,,"129,700 ","129,700 "
