,,,,,,,,,,
,,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°006,,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°6 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,,
,,SUBT.,ITEM,ASIG.,,DENOMINACIONES,,,,
,,,,,,GASTOS,"77,140,691 ","74,826,470 ",,"74,826,470 "
,,13,,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,"77,140,691 ","74,826,470 ",,"74,826,470 "
,,,03,,,De Otras Entidades Públicas,"77,140,691 ","74,826,470 ",,"74,826,470 "
,,31,,,,INICIATIVAS DE INVERSIÓN,"21,188,097 ",#REF!,"-350,000 ",#REF!
,,,02,,,Proyectos,"21,188,097 ",#REF!,"-350,000 ",#REF!
