id,cod_unico,bip,dv,nombre_iniciativa,vigencia,etapa,tipologia,origen,unidad_tecnica,provincia,comuna,estado_actual,rate_actual,anio,anio_presupuestario
c9baac18-ce0f-4d1b-81c7-67d1ea3ea593,1-2019,1,0,PROGRAMA DE EMPLEO INVERSIÓN EN LA COMUNIDAD PARA EL AÑO 2019,NO VIGENTE,EJECUCIÓN,PROGRAMA,SECTORIAL / OTRO,,REGIONAL,REGIONAL,APRO CORE,RS,2019,2019
456d9838-3528-46ca-b0d0-c82449bc1aef,1-2020,1,0,PROGRAMA DE INVERSIÓN EN LA COMUNIDAD 2020,VIGENTE,EJECUCIÓN,PROGRAMA,SECTORIAL / OTRO,,REGIONAL,REGIONAL,APRO CORE,RS,2020,2020
4cef4eb4-c7b6-4f44-963b-51b46c419ad0,2-2020,2,0,PROGRAMA EMPLEO SEGUNDO SEMESTRE 2020,VIGENTE,EJECUCIÓN,PROGRAMA,SECTORIAL / OTRO,,REGIONAL,REGIONAL,APRO CORE,RS,2020,2020
3d299781-ca5e-41d5-a45c-a7d94b8261e8,20119065-2020,20119065,0,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,SAN IGNACIO,APRO CORE,RS,2019,2020
303644c0-6d3f-41c7-9a12-7b1b7f53f8a2,20119065-2022,20119065,0,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,MUNICIP. SAN IGNACIO,DIGUILLÍN,SAN IGNACIO,REVISANDO ADMISIBILIDAD,FI,2022,2022
8cb108c8-374a-460e-ac0c-9d3a621db883,20189410-2019,20189410,0,CONSTRUCCION PISCINA MUNICIPAL DE COIHUECO,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,COIHUECO,REVISAR,,2019,2019
a8c49a1b-cd6e-49d6-bb31-9bfd538ec9da,20189410-2021,20189410,0,CONSTRUCCIÓN PISCINA MUNICIPAL DE COIHUECO,NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,PUNILLA,COIHUECO,,FI,2021,2021
0839b355-8e67-4f5d-91df-e5cf8d8fe2c3,20189410-2022,20189410,0,CONSTRUCCION PISCINA MUNICIPAL COIHUECO,VIGENTE,DISEÑO,MIDESO,MUNICIPIO,MUNICIP. COIHUECO,PUNILLA,COIHUECO,APROBADO TÉCNICAMENTE,RS,2022,2022
f939b3f6-1300-4f1c-a55d-0b35b3f6eae0,20210001-2021,20210001,9,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO 1° SEM 2021),VIGENTE,EJECUCIÓN,TRANSFERENCIA,SECTORIAL / OTRO,,REGIONAL,REGIONAL,,RS,2020,2021
145d7d00-ad84-4084-89d3-f7c8fdff0f76,20210002-2022,20210002,0,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO II-2021),VIGENTE,EJECUCIÓN,TRANSFERENCIA,SECTORIAL / OTRO,,REGIONAL,REGIONAL,,RS,2021,2022
e1a67432-e0e2-42fb-928f-8932559906ea,30002297-2021,30002297,0,REPOSICION GIMNASIO MUNICIPAL DE COIHUECO,EN PRESUPUESTO,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,COIHUECO,APRO CORE,RS,2020,2021
04c1c222-88ef-461e-8614-44b616393bd7,30069728-2019,30069728,0,"REPOSICIÓN CENTRO DE SALUD FAMILIAR, COMUNA DE PINTO",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,PINTO,REEMPL,,2019,2019
50980712-d756-403e-ac31-bd450d2b63c1,30072326-2019,30072326,0,REPOSICION AMPLIADA EDIFICIO CONSISTORIAL MUNICIP. SAN NICOLAS,NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,SAN NICOLÁS,NO PRIO INTEN RS,INADMISIBLE,2019,2019
b7152fd6-7837-40e8-aad1-4059b03e27a3,30072326-2022,30072326,0,REPOSICIÓN AMPLIADA EDIFICIO CONSISTORIAL MUNICIPALIDAD DE SAN NICOLÁS,EN PRESUPUESTO,EJECUCIÓN,MIDESO,MUNICIPIO,,PUNILLA,SAN NICOLÁS,,RS,2021,2022
d282ba7b-55fc-461b-b491-a10dbb454026,30075322-2019,30075322,0,"NORMALIZACION LICEO JOSE MANUEL PINTO ARIAS, COMUNA DE PINTO",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,PINTO,REV MDS,FI,2019,2019
9f54fea7-1de0-4f29-8cb3-fb4971ce495e,30075322-2020,30075322,0,"NORMALIZACION LICEO JOSE MANUEL PINTO ARIAS, COMUNA DE PINTO",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,PINTO,REV MDS,FI,2019,2020
e30c7391-019e-47ac-8344-e0f69a03a530,30075322-2021,30075322,0,"NORMALIZACIÓN LICEO JOSÉ MANUEL PINTO ARIAS, COMUNA DE PINTO",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,PINTO,,FI,2021,2021
b561cc28-cf84-45bf-858f-e447b9128110,30095321-2019,30095321,0,"REPOSICION POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,ITATA,COELEMU,REV MDS,FI,2019,2019
b893ac9c-2483-4723-a231-d5c8076271e2,30095321-2020,30095321,0,"REPOSICION POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,ITATA,COELEMU,,FI,2020,2020
bfe62483-6b93-4e69-bdd3-ba6ba73bb8c4,30095321-2021,30095321,0,"REPOSICIÓN POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,ITATA,COELEMU,,ADMISIBLE,2021,2021
fe850a76-5c3d-4f9d-bc2e-bd9ef78aa312,30095321-2022,30095321,0,"REPOSICION POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",VIGENTE,DISEÑO,MIDESO,MUNICIPIO,MUNICIP. COELEMU,ITATA,COELEMU,APROBADO TÉCNICAMENTE,RS,2022,2022
dc5b6fd5-975f-4b84-b768-6e0a852bfdb8,30095514-2019,30095514,0,"CONSTRUCCION MUROS DE CONTENCION POBLACION VILLA MADERA, COELEMU",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,ITATA,COELEMU,NO RECOMEN,INADMISIBLE,2019,2019
3ba089a1-a2e8-413a-b27e-76d797a6786f,30095718-2019,30095718,0,"CONSTRUCCION EDIFICIO CONSISTORIAL, COMUNA DE QUIRIHUE",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,ITATA,QUIRIHUE,REEMPL,RS,2019,2019
4e35efbe-8530-4dad-b915-cb0ebccd1f71,30095718-2020,30095718,0,"CONSTRUCCION EDIFICIO CONSISTORIAL, COMUNA DE QUIRIHUE",VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,ITATA,QUIRIHUE,NO PRIO INTEN RS,RS,2019,2020
1c807578-39e9-4071-bc6d-f43b7af4a291,30103660-2019,30103660,0,"MEJORAMIENTO PLAZA DE ARMAS, COMUNA DE BULNES",NO VIGENTE,DISEÑO,MIDESO,MUNICIPIO,,DIGUILLÍN,BULNES,NO RECOMEN,INADMISIBLE,2019,2019
bab8563b-c86a-4c08-b056-14b15aa3195b,30103782-2019,30103782,0,RESTAURACION CAPILLA HOSPITAL SAN JUAN DE DIOS DE CHILLÁN,NO VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,CHILLÁN,APRO CORE,RS,2019,2019
15022141-a0cb-45dc-b614-5975fa12a6c2,30113947-2020,30113947,0,CONSTRUCCION CAMARINES ESTADIO MUNICIPAL YUNGAY,NO VIGENTE,EJECUCIÓN,FRIL,MUNICIPIO,,DIGUILLÍN,YUNGAY,APRO CORE,RS,2019,2020
9677efc6-a94c-4248-88d5-c7912d805c4a,30119286-2020,30119286,0,"REPOSICIÓN CESFAM FEDERICO PUGA BORNE, CHILLÁN VIEJO",EN PRESUPUESTO,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,CHILLÁN VIEJO,APRO CORE,RS,2020,2020
7fc9778e-6a11-4687-a196-5b77cd8a82c4,30119286-2021,30119286,0,"REPOSICION CESFAM FEDERICO PUGA BORNE, CHILLAN VIEJO",EN PRESUPUESTO,EJECUCIÓN,MIDESO,MUNICIPIO,S.SALUD ÑUBLE,DIGUILLÍN,CHILLÁN VIEJO,APROBADO TÉCNICAMENTE,RS,2022,2021
97aef886-1a96-4f53-b24c-eb89d5b56acd,30119618-2019,30119618,0,"CONSTRUCCION SERVICIO APR SECTOR LAS ROSAS, COMUNA DE SAN IGNACIO",NO VIGENTE,EJECUCIÓN,MIDESO,MUNICIPIO,,DIGUILLÍN,SAN IGNACIO,APRO CORE,RS,2019,2019
2f69599a-491f-4fed-bb8d-c59e91b5498a,30119692-2019,30119692,0,NORMALIZACION UNID FARMACIA Y DISPENS.DE FARMACOS HOSP. EL CARMEN,NO VIGENTE,DISEÑO,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,EL CARMEN,REV MDS,OT,2019,2019
8a8e2756-c9a0-4d13-a73f-8be2fc7fc96d,30119692-2020,30119692,0,NORMALIZACION UNID FARMACIA Y DISPENS.DE FARMACOS HOSP. EL CARMEN,NO VIGENTE,DISEÑO,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,EL CARMEN,,FI,2020,2020
eb0c3de3-3938-4cd5-ad74-473a6747eebd,30122860-2019,30122860,0,"CONSTRUCCION CANCHA PASTO SINTÉTICO 22 DE AGOSTO, CHILLAN",NO VIGENTE,EJECUCIÓN,FRIL,MUNICIPIO,,DIGUILLÍN,CHILLÁN,RATIF CORE,RS,2019,2019
f1870e3c-cccc-4bf4-bc8b-0d80ec666034,30126289-2019,30126289,0,NORMALIZACION SISTEMAS ELECTRICOS EN ESTAB PENIT. CCP BULNES,NO VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,BULNES,REV MDS,FI,2019,2019
2177943d-dc38-4282-b76a-ab57405805e2,30126533-2019,30126533,0,NORMALIZACION REDES ELÉCTRICOS CENTRO DETENCION PREVENTIVA YUNGAY,NO VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,DIGUILLÍN,YUNGAY,PRIORIZANDO MDS,ADMISIBLE,2019,2019
88025d52-0bdc-4175-8216-81c6b179ee46,30126592-2019,30126592,0,NORMALIZACION REDES ELÉCTRICAS CENTRO DETENCION PREVENTIVA SAN CARLOS,NO VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,,PUNILLA,SAN CARLOS,REV MDS,FI,2019,2019
3bf7581e-1657-4f6d-961d-b273ddae71b3,30128024-2022,30128024,0,REPOSICION Y EQUIPAMIENTO SERVICIO MÉDICO LEGAL DE CHILLÁN,VIGENTE,EJECUCIÓN,MIDESO,SECTORIAL / OTRO,GORE-DIDESO,REGIONAL,REGIONAL,APROBADO TÉCNICAMENTE,RS,2022,2022
