id,codigo_normalizado,cod_unico_idis,codigo_convenios,codigo_fril,codigo_progs,nombre_iniciativa,bip,tipologia,etapa,origen,unidad_tecnica,provincia,comuna,fuente_principal,tipo_ipr,mecanismo_id
687327b7-bfc6-4f36-bc17-c5c7c8e92090,1,1-2019,,,,PROGRAMA DE EMPLEO INVERSIÓN EN LA COMUNIDAD PARA EL AÑO 2019,1,PROGRAMA,EJECUCIÓN,SECTORIAL / OTRO,,REGIONAL,REGIONAL,IDIS,PROGRAMA,MEC-005
11f82dbd-dd63-4ad7-bdf9-f0b8ab807fbf,2,2-2020,,,,PROGRAMA EMPLEO SEGUNDO SEMESTRE 2020,2,PROGRAMA,EJECUCIÓN,SECTORIAL / OTRO,,REGIONAL,REGIONAL,IDIS,PROGRAMA,MEC-005
2ea96553-837c-413f-8440-e7226bd7b5aa,20119065,20119065-2020,20119065,,,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,20119065,MIDESO,DISEÑO,MUNICIPIO,,DIGUILLÍN,SAN IGNACIO,IDIS,PROYECTO,MEC-001
6ce54b9d-6ac3-4976-a620-105c190007c6,20189410,20189410-2019,,,,CONSTRUCCION PISCINA MUNICIPAL DE COIHUECO,20189410,MIDESO,DISEÑO,MUNICIPIO,,PUNILLA,COIHUECO,IDIS,PROYECTO,MEC-001
65b3aa9d-8741-4114-b196-86538dc3c4e1,20210001,20210001-2021,,,,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO 1° SEM 2021),20210001,TRANSFERENCIA,EJECUCIÓN,SECTORIAL / OTRO,,REGIONAL,REGIONAL,IDIS,PROGRAMA,MEC-005
a761be6f-7d29-407b-a664-4a383e163956,20210002,20210002-2022,,,,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO II-2021),20210002,TRANSFERENCIA,EJECUCIÓN,SECTORIAL / OTRO,,REGIONAL,REGIONAL,IDIS,PROGRAMA,MEC-005
ef099d4c-22e0-4c40-bb3d-688cba209727,30002297,30002297-2021,,,,REPOSICION GIMNASIO MUNICIPAL DE COIHUECO,30002297,MIDESO,EJECUCIÓN,MUNICIPIO,,PUNILLA,COIHUECO,IDIS,PROYECTO,MEC-001
9679f2ee-ff4e-496c-a1b3-5e7d45a700fc,30069728,30069728-2019,,,,"REPOSICIÓN CENTRO DE SALUD FAMILIAR, COMUNA DE PINTO",30069728,MIDESO,DISEÑO,MUNICIPIO,,DIGUILLÍN,PINTO,IDIS,PROGRAMA,MEC-005
69e34f9d-1c34-4e63-aa75-733048d17702,30072326,30072326-2019,,,,REPOSICION AMPLIADA EDIFICIO CONSISTORIAL MUNICIP. SAN NICOLAS,30072326,MIDESO,EJECUCIÓN,MUNICIPIO,,PUNILLA,SAN NICOLÁS,IDIS,PROYECTO,MEC-001
86717886-3de2-46df-b7df-fd19f41730c4,30075322,30075322-2019,,,,"NORMALIZACION LICEO JOSE MANUEL PINTO ARIAS, COMUNA DE PINTO",30075322,MIDESO,DISEÑO,MUNICIPIO,,DIGUILLÍN,PINTO,IDIS,PROYECTO,MEC-001
b06caea3-5116-4859-888f-bd6a8817bb91,30095321,30095321-2019,,,,"REPOSICION POSTA DE SALUD RURAL VEGAS DE ITATA, COMUNA DE COELEMU",30095321,MIDESO,DISEÑO,MUNICIPIO,,ITATA,COELEMU,IDIS,PROYECTO,MEC-001
6650c2bf-1ba0-4ee1-a7a3-072af37137b4,30095514,30095514-2019,,,,"CONSTRUCCION MUROS DE CONTENCION POBLACION VILLA MADERA, COELEMU",30095514,MIDESO,EJECUCIÓN,MUNICIPIO,,ITATA,COELEMU,IDIS,PROYECTO,MEC-001
cc8f6e3c-2444-4a00-95e1-d2ca68c0d29d,30095718,30095718-2019,,,,"CONSTRUCCION EDIFICIO CONSISTORIAL, COMUNA DE QUIRIHUE",30095718,MIDESO,EJECUCIÓN,MUNICIPIO,,ITATA,QUIRIHUE,IDIS,PROYECTO,MEC-001
48931d6d-9f34-44f2-a3f9-00826eb97505,30103660,30103660-2019,,,,"MEJORAMIENTO PLAZA DE ARMAS, COMUNA DE BULNES",30103660,MIDESO,DISEÑO,MUNICIPIO,,DIGUILLÍN,BULNES,IDIS,PROYECTO,MEC-001
e24f0eb0-7d03-4763-af59-ab4c0ccc4636,30103782,30103782-2019,,,,RESTAURACION CAPILLA HOSPITAL SAN JUAN DE DIOS DE CHILLÁN,30103782,MIDESO,EJECUCIÓN,SECTORIAL / OTRO,,DIGUILLÍN,CHILLÁN,IDIS,PROYECTO,MEC-001
273f2f1e-0605-4e8c-ae38-6b6ab35c1b6a,30113947,30113947-2020,,,,CONSTRUCCION CAMARINES ESTADIO MUNICIPAL YUNGAY,30113947,FRIL,EJECUCIÓN,MUNICIPIO,,DIGUILLÍN,YUNGAY,IDIS,PROYECTO,MEC-001
b261e60f-fdb3-40f0-b2c5-114b64f294e6,30119286,30119286-2020,,,,"REPOSICIÓN CESFAM FEDERICO PUGA BORNE, CHILLÁN VIEJO",30119286,MIDESO,EJECUCIÓN,MUNICIPIO,,DIGUILLÍN,CHILLÁN VIEJO,IDIS,PROYECTO,MEC-001
77a27394-8838-450b-b2fc-760c7f98ecf0,30119618,30119618-2019,,,,"CONSTRUCCION SERVICIO APR SECTOR LAS ROSAS, COMUNA DE SAN IGNACIO",30119618,MIDESO,EJECUCIÓN,MUNICIPIO,,DIGUILLÍN,SAN IGNACIO,IDIS,PROYECTO,MEC-001
3563b112-1d8d-4ee4-8f91-7e407f6d8b5b,30119692,30119692-2019,,,,NORMALIZACION UNID FARMACIA Y DISPENS.DE FARMACOS HOSP. EL CARMEN,30119692,MIDESO,DISEÑO,SECTORIAL / OTRO,,DIGUILLÍN,EL CARMEN,IDIS,PROYECTO,MEC-001
