id,rut,unidad_tecnica_raw,unidad_tecnica_norm
c322c02e-edb8-472a-8e5e-84adea2d1812,,MUNICIPALIDAD DE COELEMU,MUNICIPALIDAD DE COELEMU
3a09900f-f9a4-4f90-96f8-54b27738d6ed,,MUNICIPALIDAD DE RANQUIL,MUNICIPALIDAD DE RANQUIL
8a0a5eef-87f2-4db7-93f1-94c456ee59ea,,MUNICIPALIDAD DE ÑIQUEN,MUNICIPALIDAD DE ÑIQUEN
7bda8a64-c844-4eff-af5d-bf9c3a50c00b,,SERVICIO SALUD,SERVICIO SALUD
88d92573-86ff-4377-bf55-ea3aa2179c2e,,MUNICIPALIDAD DE BULNES,MUNICIPALIDAD DE BULNES
5c5e2d51-7682-48a6-87c8-7ec809c561c3,,MUN. CH VIEJO,MUN. CH VIEJO
436d4b68-4cc6-4684-b134-607dfa999dcc,,MUNICIPALIDAD DE YUNGAY,MUNICIPALIDAD DE YUNGAY
4b910d74-cab5-4c7a-ad88-af2df2d6dc7c,,UNACH,UNACH
e6e4a573-a1d0-4dba-bf5c-8c0c137b7d48,,INIA,INIA
f9ea2097-65d3-46d1-b279-a85677f8bba7,,CARABINEROS,CARABINEROS
37e357bc-2575-4dcd-889d-cf355e2da8d2,,BOMBEROS,BOMBEROS
1efff427-f40b-4aa9-8c8c-acb27f265cdc,,SENAPESCA,SENAPESCA
22b7855c-f13c-4e32-853f-c109de563b4c,,MUNICIPALIDA QUILLON,MUNICIPALIDA QUILLON
9bc43682-cde8-4323-b3ef-c3128704149f,,MUN. QUIRIHUE,MUN. QUIRIHUE
481f6f34-f099-4518-8746-350704c1fc58,,UDEC,UDEC
fd2d4cef-0593-4839-8e9a-b6085a6a5c51,,UCSC,UCSC
8be14d90-b620-4b0e-a4f0-4081831963b7,,U. DE CHILE,U. DE CHILE
79be4723-16d0-4585-b2bd-e944ac97e157,,INFOR,INFOR
b62ba417-274e-4eb8-9e2f-503eaccc1534,,ASOCIACION PUNILLA,ASOCIACION PUNILLA
838ac62b-322f-4136-b2f7-3508bdf8f3c7,,MUNICIPALIDAD DE TREHUACO,MUNICIPALIDAD DE TREHUACO
7a6a07dc-5298-40aa-a4b5-4f9c1a0f8ab8,,INDESPA,INDESPA
28e1aefc-3112-41c1-921a-f64c1b58c97d,,MUNICIPALIDAD DE COBQUECURA,MUNICIPALIDAD DE COBQUECURA
49e2b03d-4e01-464b-abb7-0c4e2e0df307,,MUNICIPALIDAD DE SAN CARLOS,MUNICIPALIDAD DE SAN CARLOS
26630151-ac53-4c7f-9fe4-4edbdf6d4a4b,,MUNICIPALIDAD DE CHILÁN VIEJO,MUNICIPALIDAD DE CHILÁN VIEJO
e885a1c2-35d4-4eba-83c6-efc2cbfd2190,,PDI,PDI
915f65b1-f40f-4971-a5d4-4a6e5d0b87f2,,SEREMI DE TRANSPORTE,SEREMI DE TRANSPORTE
44b246c7-97a6-415b-8ceb-0deb032567a9,,MI TEA,MI TEA
b9e3719a-6dbb-4051-a799-88a26a0163c1,,PROCHILE,PROCHILE
700670ff-7367-4348-9e43-2606d5dc0c6d,,NINHUE,NINHUE
df5e36e0-4cd8-45d8-a998-b98c1d47fa55,,CHILLÁN VIEJO,CHILLÁN VIEJO
bd790c83-3571-49f8-aadd-b9717b96390c,,ARMADA DE CHILE,ARMADA DE CHILE
7ff9a2e2-817e-4fc1-a358-a86b3cd2a7af,,UBB,UBB
9e8adda7-df06-4362-bc0e-d4e02920e1d3,,MUNICIPALIDAD DE SAN NICOLAS,MUNICIPALIDAD DE SAN NICOLAS
eb9aca7a-fb20-4f5b-a348-886d0fc81683,,MUNICIPALIDAD DE PEMUCO,MUNICIPALIDAD DE PEMUCO
4632b4ec-a714-461c-b7a5-caa5477386ad,,Municipalidad de Quillón,MUNICIPALIDAD DE QUILLÓN
a07b2cfe-0a9d-4542-abeb-95e2f9789d42,,Municipalidad de El Carmen,MUNICIPALIDAD DE EL CARMEN
44f1328b-c080-484d-adc6-4f05de29bce1,,MUNICIPALIDAD DE CHILLAN,MUNICIPALIDAD DE CHILLAN
c7a6756c-44a5-4706-ad99-dcacdff1cb90,,ASOCIACION DE MUNICIPALIDADES DEL PUNILLA,ASOCIACION DE MUNICIPALIDADES DEL PUNILLA
35138f56-d5a1-46bf-9c23-ad6902ba5d11,,DGA,DGA
cbd61b36-9dca-4a15-8884-576d88b25cef,,UNIVERSIDAD MIGUEL DE CERVANTES,UNIVERSIDAD MIGUEL DE CERVANTES
0cbd8742-09da-4b72-ae6c-b882fc20b3e9,,SAN NICOLAS,SAN NICOLAS
c1aaa5fe-d0f5-49be-8d36-a8a13fc196ef,,SERVIU,SERVIU
225b1d9d-3ce9-426f-82bf-6164d6734ae8,,CORPORACION EDUCACIONAL PERSEVERA,CORPORACION EDUCACIONAL PERSEVERA
d6af5d0c-e1f9-44da-b9ca-c63e74e8f1cd,,COMITE APICOLA LAS CAMELIAS DE BULNES,COMITE APICOLA LAS CAMELIAS DE BULNES
6378d06f-5e08-44cc-bf3f-f305a7ffe30e,,CORPORACION CULTURAL MUNICIPAL DE LA COMUNA DE CHILLÁN,CORPORACION CULTURAL MUNICIPAL DE LA COMUNA DE CHILLÁN
1e02cf9c-84f4-4b45-95b8-176fb6577848,,AGRUPACIÓN DE PADRES Y AMIGOS DE PERSONAS CON SINDROME DE DOWN,AGRUPACIÓN DE PADRES Y AMIGOS DE PERSONAS CON SINDROME DE DOWN
c59cf2b4-ee27-4c77-a7f0-f42f57ed9a54,,FUNDACIÓN OBSERVATORIO ÑUBLE,FUNDACIÓN OBSERVATORIO ÑUBLE
9dd2789b-f486-4673-9cbb-b9545b3ed470,,CLUB DEPORTIVO HURACAN,CLUB DEPORTIVO HURACAN
584e19d5-bc62-498f-ab18-9bc685089ba6,,CLUB ADULTO MAYOR LA ETERNA PRIMAVERA DEL CENTRO DIURNO,CLUB ADULTO MAYOR LA ETERNA PRIMAVERA DEL CENTRO DIURNO
