id,nombre_original,nombre_normalizado,nombre_nlp,rut,fuente_original,tipo_institucion
d4d758d6-b3ca-443e-8f9f-9c6791908175,"ONG, SOMOS TODOS CHILLÁN VIEJO, ASOCIACIÓN, AGRUPACIÓN SOCIA, EMPRENDIMIENTO, CULTURAL, DEPORTIVO, ADULTO MAYOR, ECOLÓGICO E INCLUSIVO SIN FINES DE LUCRO.","ONG, SOMOS TODOS CHILLÁN VIEJO, ASOCIACIÓN, AGRUPACIÓN SOCIA, EMPRENDIMIENTO, CULTURAL, DEPORTIVO, ADULTO MAYOR, ECOLÓGICO E INCLUSIVO SIN FINES DE LUCRO.",ONG SOMOS TODOS CHILLÁN VIEJO ASOCIACIÓN AGRUPACIÓN SOCIA EMPRENDIMIENTO ECOLÓGICO E INCLUSIVO,65.212.746-0,PROGS,OSC
2cf71357-60f2-4afb-8008-d2d918c7966a,"ASOCIACIÓN FUNCIONARIOS EDUCACIÓN PARADOCENTES, ADMINISTRATIVOS, AUXILIARES, SERVICIOS MENORES MUNICIPALIDAD DE NINHUE (AFE NINHUE)","ASOCIACIÓN FUNCIONARIOS EDUCACIÓN PARADOCENTES, ADMINISTRATIVOS, AUXILIARES, SERVICIOS MENORES MUNICIPALIDAD DE NINHUE (AFE NINHUE)",ASOCIACIÓN FUNCIONARIOS EDUCACIÓN PARADOCENTES ADMINISTRATIVOS AUXILIARES SERVICIOS MENORES MUNICIPALIDAD NINHUE AFE NINHUE,73.672.700-5,PROGS,OSC
20587eaa-630c-45c9-a98a-5ae923f56838,ORGANIZACIÓN DE PADRES CON NIÑOS Y NIÑAS EN SITUACIÓN DE DISCAPACIDADES AMOR DE PADRES U O.N.G AMOR DE PADRES,ORGANIZACIÓN DE PADRES CON NIÑOS Y NIÑAS EN SITUACIÓN DE DISCAPACIDADES AMOR DE PADRES U O.N.G AMOR DE PADRES,ORGANIZACIÓN PADRES CON NIÑOS NIÑAS EN SITUACIÓN DISCAPACIDADES AMOR PADRES U O N G AMOR PADRES,65.191.341-1,PROGS,OTROS
a80f5017-7657-4eb9-a56d-9a202314ddfa,ASOCIACIÓN DE FUNCIONARIOS PROFESIONALES UNIVERSITARIOS DE SALUD DEL HOSPITAL HERMINDA MARTIN DE CHILLAN,ASOCIACIÓN DE FUNCIONARIOS PROFESIONALES UNIVERSITARIOS DE SALUD DEL HOSPITAL HERMINDA MARTIN DE CHILLAN,ASOCIACIÓN FUNCIONARIOS PROFESIONALES UNIVERSITARIOS SALUD HOSPITAL HERMINDA MARTIN CHILLAN,65.129.624-2,PROGS,OSC
4e50b8eb-44c4-4db4-8d2d-d47dc55420dd,CENTRO GENERAL DE PADRES Y APODERADOS DEL COMPLEJO EDUCACIONAL VALLE DEL ITATA DE LA COMUNA DE RÁNQUIL.,CENTRO GENERAL DE PADRES Y APODERADOS DEL COMPLEJO EDUCACIONAL VALLE DEL ITATA DE LA COMUNA DE RÁNQUIL.,CENTRO PADRES APODERADOS COMPLEJO EDUCACIONAL VALLE ITATA COMUNA RÁNQUIL,65.184.767-2,PROGS,OTROS
6f1693f8-ee4d-4bd0-96f2-da86a13848b9,CENTRO GENERAL DE PADRES Y APODERADOS ESCUELA F 299 GUARDIA MARINA ERNESTO RIQUELME MINAS DEL PRADO,CENTRO GENERAL DE PADRES Y APODERADOS ESCUELA F 299 GUARDIA MARINA ERNESTO RIQUELME MINAS DEL PRADO,CENTRO PADRES APODERADOS ESCUELA F 299 GUARDIA MARINA ERNESTO RIQUELME MINAS PRADO,65.213.205-7,PROGS,OTROS
dc4ed840-54b2-4961-b6d9-3324a4d4625d,"CONSEJO PARA DIFUSIÓN Y PRACTICA DE LAS ARTES, LA CULTURA, LA MÚSICA Y LAS COMUNICACIONES MARICHE","CONSEJO PARA DIFUSIÓN Y PRACTICA DE LAS ARTES, LA CULTURA, LA MÚSICA Y LAS COMUNICACIONES MARICHE",CONSEJO DIFUSIÓN PRACTICA ARTES CULTURA MÚSICA COMUNICACIONES MARICHE,65.127.275-0,PROGS,OTROS
34f08a0f-cd44-4473-9e22-d338eb0ada2d,"ASOCIACIÓN DE CLUBES Y TALLERES DEL ADULTO MAYOR DE LA CASA DE ENCUENTRO Y PARTICIPACIÓN, ACTAM.","ASOCIACIÓN DE CLUBES Y TALLERES DEL ADULTO MAYOR DE LA CASA DE ENCUENTRO Y PARTICIPACIÓN, ACTAM.",ASOCIACIÓN CLUBES TALLERES CASA ENCUENTRO PARTICIPACIÓN ACTAM,65.096.872-7,PROGS,OSC
d5aa30c3-890d-4e44-ac33-1d41bdf31cd2,CENTRO DE PADRES Y APODERADOS ESCUELA LAS QUILAS DE LA UNIDAD VECINAL N 10 COMUNA DE SAN IGNACIO,CENTRO DE PADRES Y APODERADOS ESCUELA LAS QUILAS DE LA UNIDAD VECINAL N 10 COMUNA DE SAN IGNACIO,CENTRO PADRES APODERADOS ESCUELA QUILAS UNIDAD N 10 COMUNA SAN IGNACIO,65.014.828-2,PROGS,OSC
82039877-662e-4272-bd56-68e06d3b8d79,"AGRUPACIÓN DE PADRES, AMIGOS Y PROFESIONALES DE NIÑOS CON TRASTORNO GENERALIZADO DEL DESARROLLO","AGRUPACIÓN DE PADRES, AMIGOS Y PROFESIONALES DE NIÑOS CON TRASTORNO GENERALIZADO DEL DESARROLLO",AGRUPACIÓN PADRES AMIGOS PROFESIONALES NIÑOS CON TRASTORNO GENERALIZADO DESARROLLO,65.111.747-8,PROGS,OSC
