id,provincia_raw,provincia_norm,comuna_raw,comuna_norm
eeb8454c-b62d-4f82-bc04-9a45bd06adf1,ITATA,ITATA,COELEMU,COELEMU
21cd52bb-142e-42c2-b098-e0785d2a56bc,ITATA,ITATA,RANQUIL,RÁNQUIL
f9442eb9-db7b-4f16-ae03-a39401e07d28,PUNILLA,PUNILLA,ÑIQUEN,ÑIQUÉN
ce88f095-75e8-416a-b6f4-c9740d46f2fd,REGIONAL,REGIONAL,REGIONAL,REGIONAL
ec9a5041-81ba-45f7-9f84-1d3579775334,DIGUILLÍN,DIGUILLÍN,EL CARMEN,EL CARMEN
a57ae08f-62d5-4b95-b1f9-ff66831b076c,DIGUILLÍN,DIGUILLÍN,BULNES,BULNES
42fd93d8-a16e-4b6c-9bb6-c69691bd71ef,DIGUILLÍN,DIGUILLÍN,CHILLÁN VIEJO,CHILLÁN VIEJO
1d4f818c-c0cb-4116-a038-2e0ea7378829,DIGUILLÍN,DIGUILLÍN,YUNGAY,YUNGAY
be5ccbfb-291b-4da3-97ef-78e0254e36a7,DIGUILLÍN,DIGUILLÍN,QUILLÓN,QUILLÓN
d8c2f6c4-de5f-44c5-922b-31a4ceb5d596,ITATA,ITATA,QUIRIHUE,QUIRIHUE
4e067b39-cb0b-48e8-9509-4dd8fc98fb3a,ITATA,ITATA,ITATA,ITATA
b5521769-b21d-45ed-8152-4149821e3356,,,YUNGAY,YUNGAY
b4f9c83f-2914-4ab6-a1b4-ee1832e88c9c,PUNILLA,PUNILLA,PUNILLA,PUNILLA
ac3b9b80-c3a8-4d52-a074-0c09a2f0637d,ITATA,ITATA,TREHUACO,TREGUACO
fc4dca47-7465-456a-8feb-ee68e84ab8ab,ITATA,ITATA,COBQUECURA,COBQUECURA
8873b7b3-6019-4e7e-8912-123a2a048bae,PUNILLA,PUNILLA,SAN CARLOS,SAN CARLOS
5bb4ceb1-1af7-406a-b7b6-9b74d250a967,ITATA,ITATA,NINHUE,NINHUE
ada9dc5a-b169-46b9-98a0-7fc899a5d926,PUNILLA,PUNILLA,SAN NICOLAS,SAN NICOLÁS
9bbe6735-0d9f-4dd3-baa1-0395fa80c71a,DIGUILLÍN,DIGUILLÍN,PEMUCO,PEMUCO
1a042a1a-32fc-4511-9bb8-0384aced97e9,DIGUILLÍN,DIGUILLÍN,CHILLAN,CHILLÁN
29c6afca-c1d6-486a-9b3b-da8f925e2f27,REGIONAL,REGIONAL,CHILLAN,CHILLÁN
6352a188-fc45-443e-a197-de0b425e944c,ITATA,ITATA,PORTEZUELO,PORTEZUELO
010dbe86-033f-49e1-b242-c95a4f7642c1,ITATA,ITATA,REGIONAL,REGIONAL
8418ec80-55f5-4e3f-b812-0019f0654daf,,,PINTO,PINTO
9001fc5a-d997-4eb6-877a-e1b9d1b092e7,,,QUILLÓN,QUILLÓN
731af11a-0907-427b-9dfd-f767b9c237a0,,,SAN CARLOS,SAN CARLOS
a9662884-79f1-4da2-82a2-5fabce64be88,,,QUIRIHUE,QUIRIHUE
90498df8-9e0a-4f94-bdee-5e7a367cc6fa,,,PORTEZUELO,PORTEZUELO
5195b160-ab12-49b0-ab6e-e2305fb5fcaa,,,COIHUECO,COIHUECO
73a1f407-8fce-443b-b84e-17851eb9a891,,,COELEMU,COELEMU
bce5fc7b-19b2-4007-9e10-9080a3999dc2,,,REGIONAL,REGIONAL
94ee3fa5-a002-4a55-9a70-f70f4f6b1fe6,,,CHILLÁN VIEJO,CHILLÁN VIEJO
6c5d9ad7-9ca1-44bd-8dee-214c6ba3cfcf,,,EL CARMEN,EL CARMEN
dd5f8b44-8585-4f67-a1ef-244d227dc735,,,SAN NICOLAS,SAN NICOLÁS
476b9ee7-63f3-4342-8f43-fd4dd09a1810,,,SAN IGNACIO,SAN IGNACIO
ff40cb0d-7ff7-4f8c-82cd-8882c30cd52a,,,BULNES,BULNES
bb5166ee-d791-473f-8545-f0eb3ced758f,,,SAN FABAN,SAN FABAN
61837594-cfe9-4071-b834-29f11c88f848,,,CHILLAN Y CH. VIEJO,CHILLÁN
be3ffead-86b7-4f5a-8b04-1635ec703bc7,,,NINHUE,NINHUE
e72967c7-49cf-4f33-8dd5-d79e968fb1f6,DIGUILLÍN,DIGUILLÍN,SAN IGNACIO,SAN IGNACIO
f50f31eb-36bb-41e8-86bf-411d24a1279e,PUNILLA,PUNILLA,SAN FABIÁN,SAN FABIÁN
fece44b5-a985-43b9-a318-49b80366b814,DIGUILLÍN,DIGUILLÍN,PINTO,PINTO
9c00a160-68f3-4c28-990d-1cb95497e1e4,PUNILLA,PUNILLA,COIHUECO,COIHUECO
4a015d92-4ca1-4eb6-9076-7368cb69494f,,,ITATA,ITATA
