file,row,error
MODIFICACIÓN N°3 SIN EFECTO.csv,12,#REF! detected
MODIFICACIÓN N°3 SIN EFECTO.csv,13,#REF! detected
MODIFICACIÓN N°4.csv,32,#REF! detected
MODIFICACIÓN N°4.csv,33,#REF! detected
MODIFICACIÓN N°4.csv,34,#REF! detected
MODIFICACIÓN N°4.csv,35,#REF! detected
MODIFICACIÓN N°4.csv,36,#REF! detected
MODIFICACIÓN N°5 SIC.csv,18,#REF! detected
MODIFICACIÓN N°5 SIC.csv,19,#REF! detected
MODIFICACIÓN N°5 SIC.csv,20,#REF! detected
MODIFICACIÓN Nº9.csv,11,#REF! detected
MODIFICACIÓN Nº9.csv,12,#REF! detected
MODIFICACIÓN Nº9.csv,13,#REF! detected
MODIFICACIÓN Nº9.csv,14,#REF! detected
MODIFICACIÓN Nº9.csv,15,#REF! detected
MODIFICACIÓN Nº9.csv,16,#REF! detected
MODIFICACIÓN Nº9.csv,17,#REF! detected
MODIFICACIÓN Nº9.csv,18,#REF! detected
MODIFICACIÓN Nº9.csv,19,#REF! detected
MODIFICACIÓN Nº9.csv,20,#REF! detected
MODIFICACIÓN Nº9.csv,22,#REF! detected
MODIFICACIÓN Nº9.csv,30,#REF! detected
MODIFICACIÓN Nº9.csv,31,#REF! detected
MODIFICACIÓN Nº9.csv,32,#REF! detected
REBAJA FUNC. N°6 sin efecto.csv,13,#REF! detected
REBAJA FUNC. N°6 sin efecto.csv,14,#REF! detected
