source_domain,source_id,source_code,target_domain,target_id,target_code,match_type,confidence
CONVENIOS,4f226477-4a6f-4b7f-9f79-ba065e2d49b3,40060888,IDIS,780f2b26-d26b-4326-be07-5e80619d2f13,40060888-2025,NORMALIZED,0.9
CONVENIOS,4f226477-4a6f-4b7f-9f79-ba065e2d49b3,40060888,IDIS_BIP,780f2b26-d26b-4326-be07-5e80619d2f13,40060888,EXACT,1.0
IDIS,780f2b26-d26b-4326-be07-5e80619d2f13,40060888-2025,IDIS_BIP,780f2b26-d26b-4326-be07-5e80619d2f13,40060888,NORMALIZED,0.9
CONVENIOS,0e646a7e-9cd5-4181-bb76-effe706ce644,40044053,IDIS,b468bb09-d99a-4446-87b3-31a41186be74,40044053-2022,NORMALIZED,0.9
CONVENIOS,0e646a7e-9cd5-4181-bb76-effe706ce644,40044053,IDIS,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053-2023,NORMALIZED,0.9
CONVENIOS,0e646a7e-9cd5-4181-bb76-effe706ce644,40044053,IDIS,16aaffd8-1417-4211-adc0-3ecee925c087,40044053-2025,NORMALIZED,0.9
CONVENIOS,0e646a7e-9cd5-4181-bb76-effe706ce644,40044053,IDIS_BIP,b468bb09-d99a-4446-87b3-31a41186be74,40044053,EXACT,1.0
CONVENIOS,0e646a7e-9cd5-4181-bb76-effe706ce644,40044053,IDIS_BIP,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053,EXACT,1.0
CONVENIOS,0e646a7e-9cd5-4181-bb76-effe706ce644,40044053,IDIS_BIP,16aaffd8-1417-4211-adc0-3ecee925c087,40044053,EXACT,1.0
IDIS,b468bb09-d99a-4446-87b3-31a41186be74,40044053-2022,IDIS_BIP,b468bb09-d99a-4446-87b3-31a41186be74,40044053,NORMALIZED,0.9
IDIS,b468bb09-d99a-4446-87b3-31a41186be74,40044053-2022,IDIS_BIP,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053,NORMALIZED,0.9
IDIS,b468bb09-d99a-4446-87b3-31a41186be74,40044053-2022,IDIS_BIP,16aaffd8-1417-4211-adc0-3ecee925c087,40044053,NORMALIZED,0.9
IDIS,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053-2023,IDIS_BIP,b468bb09-d99a-4446-87b3-31a41186be74,40044053,NORMALIZED,0.9
IDIS,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053-2023,IDIS_BIP,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053,NORMALIZED,0.9
IDIS,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053-2023,IDIS_BIP,16aaffd8-1417-4211-adc0-3ecee925c087,40044053,NORMALIZED,0.9
IDIS,16aaffd8-1417-4211-adc0-3ecee925c087,40044053-2025,IDIS_BIP,b468bb09-d99a-4446-87b3-31a41186be74,40044053,NORMALIZED,0.9
IDIS,16aaffd8-1417-4211-adc0-3ecee925c087,40044053-2025,IDIS_BIP,0a5b5016-d223-44e1-a19d-b1d77f79b4c2,40044053,NORMALIZED,0.9
IDIS,16aaffd8-1417-4211-adc0-3ecee925c087,40044053-2025,IDIS_BIP,16aaffd8-1417-4211-adc0-3ecee925c087,40044053,NORMALIZED,0.9
CONVENIOS,08e24ded-d389-4d96-85e4-6ffe4c3e3ae0,40065354,IDIS,41cc480f-5625-4580-9da5-28989aeda8aa,40065354-2025,NORMALIZED,0.9
CONVENIOS,08e24ded-d389-4d96-85e4-6ffe4c3e3ae0,40065354,IDIS_BIP,41cc480f-5625-4580-9da5-28989aeda8aa,40065354,EXACT,1.0
IDIS,41cc480f-5625-4580-9da5-28989aeda8aa,40065354-2025,IDIS_BIP,41cc480f-5625-4580-9da5-28989aeda8aa,40065354,NORMALIZED,0.9
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154-2021,NORMALIZED,0.9
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154-2022,NORMALIZED,0.9
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154-2024,NORMALIZED,0.9
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154-2025,NORMALIZED,0.9
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS_BIP,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154,EXACT,1.0
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS_BIP,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154,EXACT,1.0
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS_BIP,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154,EXACT,1.0
CONVENIOS,0c43e3d9-d519-47ec-ba7e-7dd7346d418b,40034154,IDIS_BIP,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154,EXACT,1.0
IDIS,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154-2021,IDIS_BIP,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154,NORMALIZED,0.9
IDIS,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154-2021,IDIS_BIP,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154,NORMALIZED,0.9
IDIS,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154-2021,IDIS_BIP,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154,NORMALIZED,0.9
IDIS,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154-2021,IDIS_BIP,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154,NORMALIZED,0.9
IDIS,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154-2022,IDIS_BIP,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154,NORMALIZED,0.9
IDIS,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154-2022,IDIS_BIP,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154,NORMALIZED,0.9
IDIS,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154-2022,IDIS_BIP,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154,NORMALIZED,0.9
IDIS,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154-2022,IDIS_BIP,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154,NORMALIZED,0.9
IDIS,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154-2024,IDIS_BIP,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154,NORMALIZED,0.9
IDIS,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154-2024,IDIS_BIP,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154,NORMALIZED,0.9
IDIS,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154-2024,IDIS_BIP,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154,NORMALIZED,0.9
IDIS,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154-2024,IDIS_BIP,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154,NORMALIZED,0.9
IDIS,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154-2025,IDIS_BIP,680935d3-9e27-47c1-88c9-17777f2b0ec5,40034154,NORMALIZED,0.9
IDIS,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154-2025,IDIS_BIP,1e8917ef-7d84-436d-be7e-76d23f8914a0,40034154,NORMALIZED,0.9
IDIS,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154-2025,IDIS_BIP,59ae2973-9b47-4f4e-a88a-4884ddb4ee11,40034154,NORMALIZED,0.9
IDIS,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154-2025,IDIS_BIP,0636f6fa-8ebe-40c1-a15a-fa9346df805c,40034154,NORMALIZED,0.9
CONVENIOS,af38f0a0-d525-4470-b03e-6b19c16a84f9,40029221,IDIS,c1a55ef7-f331-463d-b225-d968396c6438,40029221-2023,NORMALIZED,0.9
CONVENIOS,af38f0a0-d525-4470-b03e-6b19c16a84f9,40029221,IDIS,df09e100-50dc-405e-af0c-835b437e12ce,40029221-2024,NORMALIZED,0.9
CONVENIOS,af38f0a0-d525-4470-b03e-6b19c16a84f9,40029221,IDIS_BIP,c1a55ef7-f331-463d-b225-d968396c6438,40029221,EXACT,1.0
