file_path,domain,file_name,row_count,num_codigos,num_ruts,num_comunas,num_nombres,has_codigo,has_rut,has_comuna,has_nombre
250/BROUCHURE.csv,250,BROUCHURE.csv,183,0,0,0,175,False,False,False,True
250/CONSOLIDADO.csv,250,CONSOLIDADO.csv,181,0,0,31,178,False,False,True,True
convenios/originales/CONVENIOS 2023 y 2024.csv,CONVENIOS,CONVENIOS 2023 y 2024.csv,408,397,0,24,399,True,False,True,True
convenios/originales/CONVENIOS 2025.csv,CONVENIOS,CONVENIOS 2025.csv,99,99,0,20,99,True,False,True,True
convenios/originales/MODIFICACIONES.csv,CONVENIOS,MODIFICACIONES.csv,30,22,15,17,30,True,True,True,True
fril/originales/31 Avan. y Adj..csv,FRIL,31 Avan. y Adj..csv,49,26,0,12,35,True,False,True,True
fril/originales/31 Lic. y Con..csv,FRIL,31 Lic. y Con..csv,23,18,0,12,22,True,False,True,True
"fril/originales/31 Para., Reeva. y Ter..csv",FRIL,"31 Para., Reeva. y Ter..csv",3,2,0,2,2,True,False,True,True
fril/originales/Fril Avan. y Adj..csv,FRIL,Fril Avan. y Adj..csv,40,39,0,17,39,True,False,True,True
fril/originales/Fril Lic. y Con..csv,FRIL,Fril Lic. y Con..csv,38,36,0,14,36,True,False,True,True
"fril/originales/Fril Para., Reeva. y Ter..csv",FRIL,"Fril Para., Reeva. y Ter..csv",20,19,0,10,19,True,False,True,True
fril/originales/Total.csv,FRIL,Total.csv,3,0,0,0,0,False,False,False,False
funcionarios/listado_funcionarios_integrado_remediado.csv,FUNCIONARIOS,listado_funcionarios_integrado_remediado.csv,110,0,2,0,110,False,True,False,True
idis/diccionario.csv,IDIS,diccionario.csv,244,0,0,0,0,False,False,False,False
idis/originales/192021222324.csv,IDIS,192021222324.csv,12,0,0,0,0,False,False,False,False
idis/originales/2022.csv,IDIS,2022.csv,51,0,0,0,0,False,False,False,False
idis/originales/2023.csv,IDIS,2023.csv,25,0,0,0,0,False,False,False,False
idis/originales/2024.csv,IDIS,2024.csv,25,0,0,0,0,False,False,False,False
idis/originales/2025.csv,IDIS,2025.csv,25,0,0,0,0,False,False,False,False
idis/originales/ANÁLISIS.csv,IDIS,ANÁLISIS.csv,2794,0,0,26,2089,False,False,True,True
idis/originales/CONSOLIDADO.csv,IDIS,CONSOLIDADO.csv,2477,6,24,28,4,True,True,True,True
idis/originales/DIPIR 2021.csv,IDIS,DIPIR 2021.csv,34,0,0,0,0,False,False,False,False
idis/originales/MAESTRA DIPIR.csv,IDIS,MAESTRA DIPIR.csv,1267,1091,244,27,1143,True,True,True,True
idis/originales/MASTER.csv,IDIS,MASTER.csv,1545,0,0,0,0,False,False,False,False
modificaciones/originales/MODIFICACIÓN N°1.csv,MODIFICACIONES,MODIFICACIÓN N°1.csv,8,0,0,0,0,False,False,False,False
modificaciones/originales/MODIFICACIÓN N°10.csv,MODIFICACIONES,MODIFICACIÓN N°10.csv,20,0,0,0,0,False,False,False,False
modificaciones/originales/MODIFICACIÓN N°11.csv,MODIFICACIONES,MODIFICACIÓN N°11.csv,37,0,0,0,0,False,False,False,False
