SUB,ITEM, ASIG,CODIGO,RUT INSTITUCIÓN,UNIDAD TECNICA ,NOMBRE DE LA INICIATIVA,COMUNA, TIPO DE CONVENIO ,ESTADO DE CONVENIO,FECHA FIRMA DE CONVENIO , Nº RESOLUCION ,FECHA , TIPO DE RESOLUCION ,ESTADO CONVENIO EN CGR,FECHA TOMA DE RAZON DE CGR, ESTADO ,Nº OFICIO ENVIA CONVENIO,FECHA OFICIO ENVIA CONVENIO
29,05,,40045132,69.141.000-5,MUN. PINTO,"ADQUISICION DE UNA MOTONIVELADORA, COMUNA DE PINTO",PINTO, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,19-04-2024,351,23-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,775,5/24/2024
29,03,,40013885,69.141.000-5,MUN. PINTO,"ADQUISICION CAMION LIMPIAFOSAS, COMUNA DE PINTO",PINTO, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,19-04-2024,355,23-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,775,5/24/2024
29,03,,40037303,69.141.400-0,MUN. QUILLON,"ADQUISICION CAMION ALJIBE, COMUNA DE QUILLON",QUILLÓN , CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,07-05-2024,356,23-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,774,5/24/2024
29,03,,40037404,69.141.400-0,MUN. QUILLON,"ADQUISICION CAMIONETA PRIMERA INTERVENCION, COMUNA DE QUILLON",QUILLÓN , CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,03-05-2024,353,23-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,774,5/24/2024
29,03,,40018095,69.141.500-7,MUN. YUNGAY,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (YUNGAY)",YUNGAY, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,18-04-2024,257,19-04-2024,EXENTA,,,,,
29,03,,40018095,69.140.500-1,MUN. SAN CARLOS,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (SAN CARLOS)",SAN CARLOS, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,18-04-2024,263,22-04-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,656,4/30/2024
29,03,,40018095,69.140.100-6,MUN. QUIRIHUE,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (QUIRIHUE)",QUIRIHUE, CONVENIO DE TRASNFERENCIA DE BIENES ,ENVIADO AL SERVICIO,,,,,,,,,
29,03,,40018095,69.141.400-0,MUN. QUILLON,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (QUILLON)",QUILLÓN , CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,03-05-2024,354,23-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,774,5/24/2024
29,03,,40018095,69.140.200-2,MUN.PORTEZUELO,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (PORTEZUELO)",PORTEZUELO, CONVENIO DE TRASNFERENCIA DE BIENES ,ENVIADO AL SERVICIO,,,,,,,,,
29,03,,40018095,69.141.000-5,MUN. PINTO,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (PINTO)",PINTO, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,15-04-2024,262,22-04-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,655,4/30/2024
29,03,,40018095,69.141.100-1,MUN. COIHUECO,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (COIHUECO)",COIHUECO, CONVENIO DE TRASNFERENCIA DE BIENES ,ENVIADO AL SERVICIO,,,,,,,,,
29,03,,40018095,69.150.200-7,MUN. COELEMU,"REPOSICION AMBULANCIAS APS, SERVICIO DE SALUD ÑUBLE (COELEMU)",COELEMU, CONVENIO DE TRASNFERENCIA DE BIENES ,ENVIADO AL SERVICIO,,,,,,,,,
29,05,,40031881,61.607.000-2,SSÑ,ADQUISICION EQUIPAMIENTO COMPLEJIZACION CAMAS Y SERVICIOS DE URGENCIA COVID 19,REGIONAL, CONVENIO DE TRASNFERENCIA DE BIENES ,ENVIADO AL SERVICIO,,,,,,,,,
29,05,,40038189,61.607.000-2,SSÑ,REPOSICION ECOGRAFO POLICLINICO DE GINECOLOGIA HSC,SAN CARLOS, CONVENIO DE TRASNFERENCIA DE BIENES ,ENVIADO AL SERVICIO,,,,,,,,,
29,03,,30130455,69.266.500-7,MUN. CHILLAN VIEJO,"ADQUISICION CAMION ALJIBE, COMUNA DE CHILLAN VIEJO",CHILLÁN VIEJO, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,26-04-2024,339,17-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,773,5/24/2024
29,03,,40009933,69.266.500-7,MUN. CHILLAN VIEJO,"ADQUISICIÓN CAMIÓN HIDROELEVADOR, CHILLÁN VIEJO",CHILLÁN VIEJO, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,10-04-2024,352,23-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,773,5/24/2024
29,03,,40017853,61.313.000-4,CONAF,"ADQUISICIÓN VEHÍCULOS PARA PREVENCIÓN Y COMBATE DE INCENDIOS FORESTALES, REGIÓN DE ÑUBLE",REGIONAL, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,29-04-2024,320,13-05-2024,EXENTA,,,,,
33,03,125,40042058,69.141.700-K,MUN. EL CARMEN,"CONSTRUCCION SEDE COMUNITARIA LAS ARAUCARIAS, COMUNA DE EL CARMEN",EL CARMEN, MODIFICACION DE CONVENIO ,FIRMADO,22-04-2024,265,23-04-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,633,4/23/2024
33,03,,40058389,60.704.000-1,SERNATUR,TRANSFERENCIA FORTALECIMIENTO TURISMO DEPORTIVO REGION DE ÑUBLE,REGIONAL, MODIFICACION DE CONVENIO ,FIRMADO,17-04-2024,255,19-04-2024,EXENTA,,,ENVIADO AL SERVICIO,615,4/22/2024
31,02,,40027004,69.262.000-3,ASOCIACION PUNILLA,"CONSTRUCCION VEREDAS URBANAS DIVERSOS SECTORES, COMUNAS ASOCIACION PUNILLA",REGIONAL, MODIFICACION DE CONVENIO ,FIRMADO,18-04-2024,35,29-04-2024,AFECTA,TOMADO DE RAZON,5/27/2024,ENVIADO AL SERVICIO,,
24,01,258,40048683,,FUNDACION DE DESARROLLO EDUCACIONAL Y TECNOLOGICO LA ARAUCANIA,"TRANSFERENCIA FORTALECIMIENTO CAPITAL SOCIAL COMUNITARIO ENFOQUE TERRITORIAL,REGION DE ÑUBLE",REGIONAL, MODIFICACION DE CONVENIO ,FIRMADO,16-04-2024,31,18-04-2024,,,,,,
33,03,125,40010084,,MUN. SAN NICOLAS,CONSTRUCCION MULTICANCHA SECTOR EL PEUMO COMUNA DE SAN NICOLAS,SAN NICOLAS, MODIFICACION DE CONVENIO ,FIRMADO,02-04-2024,228,15-04-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,616,4/22/2024
29,03,,40037763,,MUN. SAN IGNACIO,"ADQUISICION UN MINIBUS PARA TRASLADO DE PACIENTES, COMUNA DE SAN IGNACIO",SAN IGNACIO, CONVENIO DE TRASNFERENCIA DE BIENES ,FIRMADO,24-04-2024,303,08-05-2024,EXENTA,N/A,N/A,ENVIADO AL SERVICIO,712,5/10/2024
