Año;Mes;Denominación de la bonificación;Estamento;Total de funcionarios(as);Porcentaje funcionarios(as) por estamento que tiene derecho a percibir la bonificación;Porcentaje de la bonificación asignado a cada uno de los estamentos;Observaciones
2025;Noviembre;Total de funcionarios(as);Todos;100;;;
2025;Noviembre;Asignación Modernización Incremento Institucional;Directivos;5;100%;7,60%;
2025;Noviembre;Asignación Modernización Incremento Institucional;Jefe Depto.;1;100%;7,60%;
2025;Noviembre;Asignación Modernización Incremento Institucional;Aut. Gob;1;100%;3,00%;
2025;Noviembre;Asignación Modernización Incremento Institucional;Profesional;76;100%;7,60%;
2025;Noviembre;Asignación Modernización Incremento Institucional;Técnico;5;100%;7,60%;
2025;Noviembre;Asignación Modernización Incremento Institucional;Administrativos;9;100%;7,60%;
2025;Noviembre;Asignación Modernización Incremento Institucional;Auxiliar;3;100%;7,60%;
2025;Noviembre;Asignación Modernización Desempeño Colectivo;Aut. Gob;1;0%;0%;Aut. Gob. no reciben este tipo de bono o incentivo.
2025;Noviembre;Asignación Modernización Desempeño Colectivo;Directivos;5;100%;8%;
2025;Noviembre;Asignación Modernización Desempeño Colectivo;Jefe Depto.;1;100%;8%;
2025;Noviembre;Asignación Modernización Desempeño Colectivo;Profesional;76;80%;8%;Este mes 15 personas no tienen la permanencia mínima requerida para recibir el bono.
2025;Noviembre;Asignación Modernización Desempeño Colectivo;Técnico;5;80%;8%;Este mes 1 persona no tiene la permanencia mínima requerida para recibir el bono.
2025;Noviembre;Asignación Modernización Desempeño Colectivo;Administrativos;9;89%;8%;Este mes 1 persona no tiene la permanencia mínima requerida para recibir el bono.
2025;Noviembre;Asignación Modernización Desempeño Colectivo;Auxiliar;3;100%;8%;
2025;Noviembre;Componente Base 2024;Directivos;5;100%;15%;
2025;Noviembre;Componente Base 2024;Jefe Depto.;1;100%;15%;
2025;Noviembre;Componente Base 2024;Aut. Gob;1;100%;15%;
2025;Noviembre;Componente Base 2024;Profesional;76;100%;15%;
2025;Noviembre;Componente Base 2024;Técnico;5;100%;15%;
2025;Noviembre;Componente Base 2024;Administrativos;9;100%;15%;
2025;Noviembre;Componente Base 2024;Auxiliar;3;100%;15%;
