COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,DIVISIÓN VINCULADA,MONTO INICIATIVA,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,OBSERVACIONES GENERALES,_source_file,_cleaned_at
1-2019,NO VIGENTE,2019,2019,1,0,PROGRAMA DE EMPLEO INVERSIÓN EN LA COMUNIDAD PARA EL AÑO 2019,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,SANEAMIENTO DOMINIO (PEQUEÑAS PROPIEDADES),33,2,6,TRABAJO,SECTORIAL / OTRO,,,"$817,390","$817,390",,"M$817,390",APRO CORE,,RS,,// APROBADO CORE SEGÚN CERTIFICADO 141 DEL 20-06-19,ANÁLISIS.csv,2025-12-23T05:39:39.782845
2-2020,VIGENTE,2020,2020,2,0,PROGRAMA EMPLEO SEGUNDO SEMESTRE 2020,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,,33,0,0,GORE,SECTORIAL / OTRO,,,"$884,194","$884,194",,"M$884,194",APRO CORE,,RS,05-05-2020,// APROBADO CORE SEGÚN CERTIFICADO 137 DEL 25-05-20 // PROGRAMADO COMISIÓN 18-05-20// ENVIADO A CORE POR ORD. 333 DEL 06-05-20// OFICIO PARA FIRMA DE INTENDENTE ENVIADO POR CORREO 06-05-20// RS ENVIADO CON FIRMA 05-05-20// POR CORREO DEL 05-05-20 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES// FI DEL 05-05-20 INFORMADO POR CORREO// E8937/2020 ASIGNADO ANALISTA PARA REVISIÓN JAVIER BRITO 05-05-20,ANÁLISIS.csv,2025-12-23T05:39:39.783266
20119065-2020,NO VIGENTE,2019,2020,20119065,0,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,PROYECTO,DIGUILLIN,SAN IGNACIO,DISEÑO,MIDESO,,31,2,2,MUNICIP. SAN IGNACIO,MUNICIPIO,,,"$41,893","$41,893",,"M$41,893",APRO CORE,,RS,26-10-2018,"// APROBADO CORE ÑUBLE SEGÚN CERTIFICADO 38 DEL 06-02-19 / SE ENVÍA A CORE SEGÚN ORD. 20 DEL 07-01-19 / PROYECTO CON RS DE MIDESO BIO BIO 26-10-18, SE INGRESA PARA SOLICITAR FINANCIAMIENTO, OFICIO SE DERIVA JEFE DE DIPLADE PARA TOMAR DECISIONES 28,12,18",ANÁLISIS.csv,2025-12-23T05:39:39.783829
20189410-2019,NO VIGENTE,2019,2019,20189410,0,CONSTRUCCION PISCINA MUNICIPAL DE COIHUECO,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,31,,,MUNICIP. COIHUECO,MUNICIPIO,,,"$60,015","$60,015",,"M$60,015",REVISAR,,,,// E2058/2019 ASIGNADO ANALISTA PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.784408
20210001-2021,VIGENTE,2020,2021,20210001,9,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO 1° SEM 2021),PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIA,Capacitación y Empleo,33,1,0,TRABAJO,SECTORIAL / OTRO,,,"$796,515","$796,515",,"M$796,515",,,RS,11-12-2020,// RS DEL 11-12-20 // FI DEL 12-11-20 // DERIVADO A JAVIER PARA REVISIÓN.,ANÁLISIS.csv,2025-12-23T05:39:39.784682
20210002-2022,VIGENTE,2021,2022,20210002,0,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO II-2021),PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIA,Capacitación y Empleo,33,3,0,TRABAJO,SECTORIAL / OTRO,,,"$712,740","$712,740",,"M$712,740",,,RS,31-08-2021,RS DEL 31-08-21 // TRASPASADO A CARTERA DE OSCAR // OT EL 05-07-21// DERIVADO A JAVIER PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:39.784761
30002297-2021,EN PRESUPUESTO,2020,2021,30002297,0,REPOSICION GIMNASIO MUNICIPAL DE COIHUECO,PROYECTO,PUNILLA,COIHUECO,EJECUCIÓN,MIDESO,,31,2,0,MUNICIP. COIHUECO,MUNICIPIO,,,"$2,448,927","$2,448,927",,"M$2,020,000",APRO CORE,,RS,12-03-2020,"// CERTIFICADO CORE 063/2020 DEL 30-03-20 ENVIADO POR CORREO 06-04-20// APROBADO CORE SESIÓN DEL 25-03-20// E8619/2020 ENVIADO A CORE POR ORD. 170 DEL 17-03-20 // RS MIDESO 12-03-20 INFORMADO POR CORREO A JEFATURA 13-03-20// ADMISIBLE MIDESO 24-02-20// E7866/2020 ENVIADO A REVISIÓN MIDESO POR ORD. 93 DEL 13-02-20, CARGADO EN BIP 14-02-20 // ASIGNADO ANALISTA PARA REVISIÓN 10-02-20// E7572/2020 POSTULA ETAPA EJECUCIÓN ORD. 50 DEL 29-01-20, INFORMADO POR CORREO A JEFATURAS PARA PRIORIZACIÓN 30-01-20",ANÁLISIS.csv,2025-12-23T05:39:39.784842
30069728-2019,NO VIGENTE,2019,2019,30069728,0,"REPOSICIÓN CENTRO DE SALUD FAMILIAR, COMUNA DE PINTO",PROYECTO,DIGUILLIN,PINTO,DISEÑO,MIDESO,,31,,,MUNICIP. PINTO,MUNICIPIO,,,"$60,000","$60,000",,"M$60,000",REEMPL,,,,// ES REEMPLAZADO POR CÓDIGO 40010038,ANÁLISIS.csv,2025-12-23T05:39:39.784909
30072326-2019,NO VIGENTE,2019,2019,30072326,0,REPOSICION AMPLIADA EDIFICIO CONSISTORIAL MUNICIP. SAN NICOLAS,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,"$2,995,800","$2,995,800",,"M$1,847,138",NO PRIO INTEN RS,,INADMISIBLE,15-12-2017,"// ORD. 56 DEL 16-01-19 DERIVADO A JEFE DIPLADE 23-01-19 PARA TOMAR DECISIONES RESPECTO INFORMACIÓN A ENTREGAR / SIN PRIORIZACIÓN PARA CORE AL 4-1-19 / EXISTENTE EN BIO BIO, TIENE RS DESDE 15-12-17, TIENE RS ARRASTRE 2018, A LA ESPERA DE FINANCIAMIENTO",ANÁLISIS.csv,2025-12-23T05:39:39.784983
30075322-2019,NO VIGENTE,2019,2019,30075322,0,"NORMALIZACION LICEO JOSE MANUEL PINTO ARIAS, COMUNA DE PINTO",PROYECTO,DIGUILLIN,PINTO,DISEÑO,MIDESO,,31,,,MUNICIP. PINTO,MUNICIPIO,,,"$60,000","$60,000",,"M$30,000",REV MDS,,FI,06-08-2019,"// POR ORD. 305 DEL 10-07-19 E3504/2019 SE ENVÍA INICIATIVA A REVISIÓN MIDESO, CARGADO EN BIP 17-07-19 // OFICIO PARA FIRMA DE ENVÍO A MIDESO 07-06-19 // ASIGNADO ANALISTA PARA REVISIÓN DE ANTECEDENTES PARA ENVÍO A MIDESO 03-06-19 // E2179/2019 A LA ESPERA D",ANÁLISIS.csv,2025-12-23T05:39:39.785137
