,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,TOTAL 2024,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
,MARCO PRESUPUESTARIO VIGENTE,,"$85,748,430","$85,748,430","$85,748,430","$85,748,430","$85,748,430","$85,748,430","$85,748,430","$85,748,430","$79,427,249","$79,427,249","$79,427,249","$79,427,249"
,EJECUTADO PROG X MES,,"$1,974,598","$3,597,218","$20,423,725","$7,657,885","$6,258,108","$4,778,598","$9,869,475","$2,736,660","$2,879,401","$2,968,647","$3,122,794",$0
,% EJECUTADO PROG X MES,,2.30%,4.20%,23.82%,8.93%,7.30%,5.57%,11.51%,3.19%,3.63%,3.74%,3.93%,0.00%
,EJECUTADO PROG ACUMULADO,,"$1,974,598","$5,571,816","$25,995,541","$33,653,426","$39,911,534","$44,690,132","$54,559,607","$57,296,267","$60,175,668","$63,144,315","$66,267,109","$66,267,109"
,% EJECUTADO PROG ACUMULADO,,2.30%,6.50%,30.32%,39.25%,46.54%,52.12%,63.63%,66.82%,75.76%,79.50%,83.43%,83.43%
,EJECUTADO REAL X MES,,"$1,974,958","$3,597,218","$20,423,725","$7,657,612","$6,258,108","$4,778,598","$9,869,475","$2,736,660","$2,879,401","$2,968,647","$1,564,993",$0
,% EJECUTADO REAL X MES,,2.30%,4.20%,23.82%,8.93%,7.30%,5.57%,11.51%,3.19%,3.63%,3.74%,1.97%,0.00%
,EJECUTADO REAL ACUMULADO,,"$1,974,958","$5,572,176","$25,995,901","$33,653,513","$39,911,621","$44,690,219","$54,559,694","$57,296,354","$60,175,755","$63,144,402","$64,709,395","$64,709,395"
,% EJECUTADO REAL ACUMULADO,,2.30%,6.50%,30.32%,39.25%,46.55%,52.12%,63.63%,66.82%,75.76%,79.50%,81.47%,81.47%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,SEGÚN PROGRAMACIÓN AL 20 DEL MES,,,,
,MES,2025 Proyectado,,2025 real,,MES,PROGRAMADO,EJECUTADO,MENSUAL,PROG. MENSUAL,,,,
,ENE,2.30%,,2.30%,,ENE,"$1,974,598","$1,974,958","$1,974,958","$1,296,116",,,,
,FEB,6.50%,,6.50%,,FEB,"$5,571,816","$5,572,176","$3,597,218","$1,331,850",,,,
,MAR,30.32%,,30.32%,,MAR,"$25,995,541","$25,995,901","$20,423,725","$1,804,861",,,,
,ABR,39.25%,,39.25%,,ABR,$0,"$33,653,513","$7,657,612","-$25,995,541",,,,
,MAY,46.54%,,46.54%,,MAY,$0,"$39,911,621","$6,258,108",$0,,,,
,JUN,52.12%,,52.12%,,JUN,$0,"$44,690,219","$4,778,598",$0,,,,
,JUL,63.63%,,63.63%,,JUL,$0,"$54,559,694","$9,869,475",$0,,,,
,AGO,66.82%,,66.82%,,AGO,$0,"$57,296,354","$2,736,660",$0,,,,
,SEP,75.76%,,75.76%,,SEP,$0,"$60,175,755","$2,879,401",$0,,,,
,OCT,79.50%,,79.50%,,OCT,$0,"$63,144,402","$2,968,647",$0,,,,
,NOV,83.43%,,,,NOV,$0,"$64,709,395","$1,564,993",$0,,,,
,DIC,83.43%,,,,DIC,$0,"$64,709,395",$0,$0,,,,
