 ,CODIGO ÚNICO,AÑO PRESUPUESTARIO,UNIDAD TÉCNICA ,ORIGEN,TIPOLOGIA,PROVINCIA,COMUNA,CODIGO BIP,SUBT,ITEM,ASIG,NOMBRE INICIATIVA,MONTO TOTAL PROYECTO,MONTO SECTORIAL M$,MONTO FNDR POSTULADO M$,MONTO FNDR ADJUDICADO M$,AUMENTOS $,CERT CORE O RS,FECHA CERTIFICADO,RES. CREA ASIGNACIÓN,ESTADO,AVANCE,OBSERVACIÓN,FECHA FIRMA DE CONVENIO,N° RES. APRUEBA CONVENIO,FECHA RES- APRUEBA CONVENIO,ID LICITACIÓN,EMPRESA ADJUDICADA ,RUT,ACTA ENTREGA TERRENO,PLAZO,AUMENTO DE PLAZO (PARALIZACIÓN),PROF. PRESUP RESPONSABLE,PROF. RESPONSABLE,DIVISIÓN VINCULADA,DIVISIÓN Y SUBTÍTULO,MAY,JUN,JUL,AGO,SEPT,OCT,NOV,DIC,suma ene a dic,dife,EJEC. 2019,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEPT,OCT,NOV,DIC,EJEC. 2020,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,EJEC. 2021,ENERO PROYECTADO ,ENERO REAL,FEB PROYECTADO ,FEB REAL,MAR PROYECTADO,MAR REAL,ABR PROYECTADO,ABR REAL,MAY PROYECTADO,MAY REAL,JUN PROYECTADO,JUN REAL,JUL PROYECTADO,JUL REAL,AGO PROYECTADO,AGO REAL,SEP PROYECTADO,SEP REAL,OCT PROYECTADO,OCT REAL,NOV PROYECTADO,NOV REAL,DIC PROYECTADO,DIC REAL,GASTO  EJECUTADO 2022,ENERO PROYECTADO 23,ENERO REAL 23,FEB PROYECTADO 23,FEB REAL 23,MAR PROYECTADO 23,MAR REAL 23,ABR PROYECTADO 23,ABR REAL 23,MAY PROYECTADO 23,MAY REAL 23,JUN PROYECTADO 23,JUN REAL 23,JUL PROYECTADO 23,JUL REAL 23,AGO PROYECTADO 23,AGO REAL 23,SEP PROYECTADO 23,SEP REAL 23,OCT PROYECTADO 23,OCT REAL 23,NOV PROYECTADO 23,NOV REAL 23,DIC PROYECTADO 23,DIC REAL 23,GASTO A EJECUTAR 2023,GASTO  EJECUTADO 2023,ARRASTRE 2024,ENERO PROYECTADO 24,ENERO REAL 24,FEB PROYECTADO 24,FEB REAL 24,MAR PROYECTADO 24,MAR REAL 24,ABR PROYECTADO 24,ABR REAL 24,MAY PROYECTADO 24,MAY REAL 24,JUN PROYECTADO 24,JUN REAL 24,JUL PROYECTADO 24,JUL REAL 24,AGO PROYECTADO 24,AGO REAL 24,SEP PROYECTADO 24,SEP REAL 24,OCT PROYECTADO 24,OCT REAL 24,NOV PROYECTADO 24,NOV REAL 24,DIC PROYECTADO 24,DIC REAL 24,GASTO A EJECUTAR 2024,GASTO  EJECUTADO 2024,ARRASTRE 2025,ENERO PROYECTADO 25,ENERO REAL 25,FEB PROYECTADO 25,FEB REAL 25,MAR PROYECTADO 25,MAR REAL 25,ABR PROYECTADO 25,ABR REAL 25,MAY PROYECTADO 25,MAY REAL 25,JUN PROYECTADO 25,JUN REAL 25,JUL PROYECTADO 25,JUL REAL 25,AGO PROYECTADO 25,AGO REAL 25,SEP PROYECTADO 25,SEP REAL 25,OCT PROYECTADO 25,OCT REAL 25,NOV PROYECTADO 25,NOV REAL 25,DIC PROYECTADO 25,DIC REAL 25,GASTO A EJECUTAR 2025,GASTO  EJECUTADO 2025,ARRASTRE 2026, , , ,ppto,2021+2022+2023,2024,saldo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,CVC-AD-39-2025,2025,,MUNICIPIO,ECONOMIA,DIGUILLIN,BULNES,CVC-AD-39,24,01,300,"PRIMER CONGRESO NACIONAL DE APICULTORES EN LA REGION DE ÑUBLE, POR UNA APICULTURA DIVERSIFICADA AÑO 2025","$24,064",$0,"$24,064","$24,064",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$24,064",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,"$24,064","$24,064",,,,,,,,,"$24,064","$24,064",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2501RC003-2025,2025,CORPORACIÓN ARCUCITEC SAN NICOLÁS,SECTORIAL / OTRO,CULTURA,REGIONAL,REGIONAL,2501RC003,24,01,300,SUBVENCION 8% FONDOS CULTURA lINEA ESPECIAL DE REPRESENTACION-2501RC003,"$2,655",$0,"$2,655","$2,655",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$2,655",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,"$2,655","$2,655",,,"$2,655","$2,655",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2501RC006-2025,2025,ASOCIACION CULTURAL AMIGOS DEL JAZZ,SECTORIAL / OTRO,CULTURA,REGIONAL,REGIONAL,2501RC006,24,01,300,SUBVENCION 8% FONDOS CULTURA lINEA ESPECIAL DE REPRESENTACION-2501RC006,"$4,999",$0,"$4,999","$4,999",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$4,999",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,"$4,999","$4,999",,,"$4,999","$4,999",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2501RD020-2025,2025,CLUB DEPORTIVO PARALIMPICO,SECTORIAL / OTRO,DEPORTE,REGIONAL,REGIONAL,2501RD020,24,01,300,SUBVENCION 8% FONDO DEPORTE LINEA ESP. REPRESENTACION CODIGO 2501RD020,"$4,989",$0,"$4,989","$4,989",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$4,989",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,"$4,989","$4,989",,,"$4,989","$4,989",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40069620-2025,2025,NINHUE,MUNICIPIO,VIALIDAD,ITATA,NINHUE,40069620,33,03,125,"MEJORAMIENTO DE CAMINOS CON SUPRESORES DE POLVO, COMUNA DE NINHUE","$248,435",$0,"$248,435","$248,435",,813,16.09.2025,1616/ 02.10.2025,4. CONVENIO FIRMADO,0%,CJG 07.11.25 CJG SE ENVIAN BASES REVISADAS A UT,4.11.2025,1912,07.11.2025,,,,,,,,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$248,435",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$248,435",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$248,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40065097-2025,2025,SAN CARLOS,MUNICIPIO,SOCIAL,PUNILLA,SAN CARLOS,40065097,33,03,125,"CONSTRUCCIÓN SEDE SOCIAL LLAHUIMAVIDA, SAN CARLOS","$168,420",$0,"$168,420","$157,185",,755,03.12.2024,1143/ 11.12.2024,7. EN EJECUCIÓN,0%,,24.12.2024,1241,31.12.2024,4024-3-LQ25,UTP : CONSTRUCTORA E INMOBILIARIA EL NUEVO ESFUERZO SA Y COLIMA SPA,76.416.051-7 / 77.899.921-8,03.11.2025,100,,,Pablo Troncoso Alarcon,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$157,185",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$157,185",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$157,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40072319-2025,2025,COBQUECURA,MUNICIPIO,VIALIDAD,ITATA,COBQUECURA,40072319,33,03,125,"MEJORAMIENTO CAMINOS DE INTERÉS TURÍSTICO, DISTINTOS SECTORES COMUNA DE COBQUECURA","$306,374",$0,"$306,374","$306,374",,818,15.10.2025,1798 / 28.10.2025,4. CONVENIO FIRMADO,0%,CJG 6.11.25 SE ENVIA CONVENIO A UT,29-10-2025,1896,06.11.25,,,,,,,,Cristian Jaque Guzman,DIPIR,SUBT. 33 - FRIL -DIPIR,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$306,374",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$306,374",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$306,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CVC-AD-50-2025,2025,MOVIMIENTO SOCIAL EN DEFENSA DEL RIO NUBLE,SECTORIAL / OTRO,CULTURA,REGIONAL,REGIONAL,CVC-AD-50,24,01,300,ÑUBLEFEST 2025 CONMEMORACION 20 AÑOS,"$20,000",$0,"$20,000","$20,000",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$20,000",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,"$20,000","$20,000",,,,,"$20,000","$20,000",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2501RC001-2025,2025,CLUB DE CUECA ENTRE PAÑUELOS Y ESPUELAS,SECTORIAL / OTRO,CULTURA,REGIONAL,REGIONAL,2501RC001,24,01,300,SUBVENCION LINEA ESPECIAL DE REPRESENTACION 2501RC001 - RAICES DE ÑUBLE A LA CAMELIA ,"$4,923",$0,"$4,923","$4,923",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$4,923",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,"$4,923","$4,923",,,,,"$4,923","$4,923",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2501RD003-2025,2025,AGRUPACION DE CICLISMO CHILLAN,SECTORIAL / OTRO,DEPORTE,REGIONAL,REGIONAL,2501RD003,24,01,300,SUBVENCION FONDOS DEPORTE LINEA ESPECIAL DE REPRESENTACION,"$4,994",$0,"$4,994","$4,994",,,,,7. EN EJECUCIÓN,,,,,,,,,,,,,,DIDESO,SUBT. 24 - DIDESO,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,"$4,994",,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,,,,,,,,,,,,,,,,,,,,"$4,994","$4,994",,,,,"$4,994","$4,994",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
