DATOS DE REGISTRO DE INICIATIVA EN CARTERA DE PROYECTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,EVALUACIÓN DE ADMISIBILIDAD,,,,,,,,,,PRIORIZACIÓN PARA REVISIÓN,,REVISIÓN INICIATIVA MIDESO,,,,,,,REVISIÓN INICIATIVAS GORE,,,,,,,,,,PRIORIZACIÓN PRESUPUESTARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codigo Unico,,Año,Año pptario,Cod Idi,Dv,Nombre Proyecto,Tipo,Provincia,Comuna,Etapa,Tipologia,Categoría GORE,Subt,Item,Asig,Prov Subdere,Formulador,Beneficiario,Sector,Subsector,Mto Proyecto,Mto Sectorial,Mto Fndr,Gsto Vigente,Gsto Sgtes Años,Estado Actual,Fecha Recp Gore,Fecha Ingre PreInv,Fecha Asig Analista,ANALISTA,ADMISIBLE O INADMISIBLE,Fecha 1° ADM / INAD,Documento o Fecha informa a UT ADM / INAD,Fecha Subsana Observaciones INAD,Fecha 2° ADM / INAD,2° Documento o Fecha informa a UT ADM / INAD,Fecha Priorización  para Revisión (Gobernador),Lugar de Priorización para Revisión,Mideso (SI / NO),N° Ordinario,Fecha Ordinario,N° Ord y Fcha Envi a Mds,RATE Mideso,Fecha RATE Mideso,Comunica RATE Mideso a U.T,Fecha Asig Analista REVISIÓN,Primer Rate,Fecha Primer Rate,Fecha Informa a UT 1° RATE,Fecha Subsanación Primer RATE,Segundo Rate,Fecha Segundo Rate,Fecha Informa a UT 2° RATE,N° Certificado RS,Fecha Certificado RS,Fecha Priorización  Presupuestaria (Gobernador),Lugar de Priorización para Revisión,N° Ord y Fcha Post,N° Of/Mail_Fcha Inf Form,N° Ord al Core,Fech Ord Envio a Core,N° Cert Core o Resolucion Ex,Fech Cert Aprob Core o Res. Exta.,RES. CREA ASIGNACIÓN,SUBT.,SUBT. - ITEM,SUBT. - ITEM - ASIG.,MONTO TOTAL PROYECTO,MONTO SECTORIAL,MONTO FNDR POSTULADO,MONTO ADJUDICADO,AUMENTOS,ESTADO,FECHA DE  CONVENIO,N° RES. APRUEBA CONVENIO,ID LICITACIÓN,EMPRESA ADJUDICADA,RUT,FECHA ACTA ENTREGA TERRENO,AUMENTO DE PLAZO,PROF. PRESUP RESPONSABLE,PROF. INVERSIONES RESPONSABLE,EJEC. 2019,EJEC. 2020,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,PROGRAMADO 2021,ARRASTRE 2022,PORCENTAJE AVANCE,PROGRAMADO ENE - JUN,PROGRAMADO JUL - DIC,ETAPA DEL CICLO,AREA DEL PROYECTO,DIAS PARA ULTIMO RATE (ANALISTA),DIAS PARA ULTIMO RATE (INGRESO GORE),DIAS DESDE FI - OT - ADMISIBLE,CONDICIÓN INICIATIVA,DIAS DESDE CORE A CONVENIO,EJECUCIÓN 2021,,,% EJEC. PROG. 02 - 2021
1-2019,,2019,2019,1,0,PROGRAMA DE EMPLEO INVERSIÓN EN LA COMUNIDAD PARA EL AÑO 2019,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,SANEAMIENTO DOMINIO (PEQUEÑAS PROPIEDADES),33,2,6,#REF!,TRABAJO,TRABAJO,EMPLEO,EMPLEO,"$817,390",$0,"$817,390","M$817,390",M$0,APRO CORE,11-06-2019,#REF!,11-06-2019,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,RS,,,,,,,,,,,#REF!,279,12-06-2019,141,20-06-2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
1-2020,,2020,2020,1,0,PROGRAMA DE INVERSIÓN EN LA COMUNIDAD 2020,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,,33,0,0,#REF!,GORE,REGIONAL,EMPLEO,EMPLEO,"$872,472",$0,"$872,472","M$872,472",M$0,APRO CORE,06-01-2020,#REF!,06-01-2020,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,RS,,16-01-2020,,,,,,,,,#REF!,25,17-01-2020,40,04-02-2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
2-2020,,2020,2020,2,0,PROGRAMA EMPLEO SEGUNDO SEMESTRE 2020,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,PROGRAMA,,33,0,0,#REF!,GORE,REGIONAL,EMPLEO,EMPLEO,"$884,194",$0,"$884,194","M$884,194",M$0,APRO CORE,28-04-2020,#REF!,05-05-2020,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,RS,,05-05-2020,,,,,,,,,#REF!,333,06-05-2020,137,25-05-2020,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
20119065-2020,,2019,2020,20119065,0,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,PROYECTO,DIGUILLIN,SAN IGNACIO,DISEÑO,MIDESO,,31,2,2,#REF!,MUNICIP. SAN IGNACIO,SAN IGNACIO,INFRAESTRUCTURA SOCIAL,ASISTENCIA Y SERVICIO SOCIAL,"$41,893",$0,"$41,893","M$41,893",M$0,APRO CORE,27-12-2018,#REF!,28-12-2018,JAVIER BRITO / MIDESO,,#REF!,,,,,,,,,,,,,,,,RS,,26-10-2018,,,,,,,,,#REF!,20,07-01-2019,38,06-02-2019,,DIGUILLIN,SAN IGNACIO,20119065,02,,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,"$41,893",$0,38,,9. TERMINADO,1,"CJG 5.10.21 DISEÑO EN 4° Y FINAL // CJG TERMINANDO ETAPA ESPECIALIDADES A FIN DE MES PRESENTAN ESTADO DE PAGO POR 100% //EN ESPERA DE APROBACIÓN DE SERVICIOS / (01.07.2020) - YA APROBÓ SSÑ Y MIDESO, FALTA SENAMA. ESTAN REALIZANDO OBSERVACIONES DE 2DA ETAPA, EL 03.07 SE ENTREGA ACTA DE OBSERVACIONES A CONSULTORIA / (14/07/2020-CSP//AÚN EN ESPERA RESPUESTA DE APROBACIÓN SENAMA, PARA CONTINUAR CON PROCESO)//24/07/2020-MQV// SIN NUEVAS OBSERVACIONES) #CJM 31-07-2020 SIN NUEVAS OBSERVACIONES // 06-08-2020 LMPO EN PROCESO DE REVISIÓN DE SUBSANACION DE OBSERVACIONES REALIZADAS. 12/08/2020-ALDF// ESTA SEMANA SE REUNE EL MUNICIPIO CON MDS Y SENAMA, DONDE SE VERÁ LA APROBACIÓN DE ÉSTOS PARA CONTINUAR. 19/08/2020-PSP//SE REALIZÓ REUNIÓN HOY 19-08, CON MUNICIPIO, EMPRESA Y SENAMA, Y SE VOLVIÓ A OBSERVAR PROYECTO, ESPERAN TENER SUBSANADAS LAS OBSERVACIONES LA PROXIMA SEMANA // 26/08/2020-CSP// SIN OBSERVACIONES // 03.09.20-MQV-SIN NUEVAS OBSERVACIONES // CJM 11/09/2020 SIN OBSERVACIONES // LPO 16/09/2020 SIN OBSERVACIONES. // ALDF 23-09-2020 TODAVÍA FALTAN APROBACIONES DE SERVICIOS. // PSP 01.10.2020 SIN OBSERVACIONES // CSP 07.10.2020 A LA ESPERA DE LA APROBACION DEL PROYECTO POR PARTE DE SENAMA // //MQV// 16-10-2020 SIN NUEVAS OBSERVACIONES//CJM 30-10-2020 EN ESPERA DE APROBACION 1° ETAPA POR SENAMA // CJM 14-12-2020 EN ESPERA DE SOLICITUD DE 1ER ESTADO DE PAGO, YA HABIENDO APROBADO LOS SERVICIOS NECESARIOS. // ALDF 12-01-2021 EN AÑO 2020 SE PAGO UN PRIMER ESTADO DE PAGO // PSP 15.06.2021 NO HAY NUEVAS OBSERVACIONES // CJG 21.07.2021 AVANCE 90%",43566,11,43599,3706-73-LE19,tirado ltda.,76.073.188-9,"$43,734",,,Pamela Solis Perez,Jorge Oñate Castro,DIPIR,SUBT. 31 - DIPIR,,,,,,,,,0.00%,$0,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
20119065-2022,,2022,2022,20119065,0,CONSTRUCCION HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO,PROYECTO,DIGUILLÍN,SAN IGNACIO,EJECUCIÓN,MIDESO,HOGAR DE ANCIANOS,31,2,,#REF!,MUNICIP. SAN IGNACIO,SAN IGNACIO,MULTISECTORIAL,MULTISECTORIAL ASISTENCIA Y SERVICIOS SOCIALES,"M$2,713,320",M$0,"M$2,713,320","M$624,347","M$2,088,973",REVISANDO ADMISIBILIDAD,21-07-2022,#REF!,02-08-2022,Rolando Gasset,,#REF!,,,,,,,,,,959,,,,,,FI,,24-08-2022,,,,,,,,445,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
20189410-2019,,2019,2019,20189410,0,CONSTRUCCION PISCINA MUNICIPAL DE COIHUECO,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,,31,,,#REF!,MUNICIP. COIHUECO,COIHUECO,DEPORTES,DEPORTE RECREATIVO,"$60,015",$0,"$60,015","M$60,015",M$0,REVISAR,24-04-2019,#REF!,26-04-2019,PABLO NUÑEZ,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
20189410-2021,,2021,2021,20189410,0,CONSTRUCCIÓN PISCINA MUNICIPAL DE COIHUECO,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,Infraestructura Pública,31,2,0,#REF!,MUNICIP. COIHUECO,COIHUECO,DEPORTES,DEPORTE RECREATIVO,"$86,841",$0,"$86,841","M$86,841",M$0,,29-12-2020,#REF!,05-01-2021,MARIA JOSE GUTIERREZ,,#REF!,,,,,,,,,,18,,,,,,FI,,05-04-2021,,,,,,,,,#REF!,0,,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
20189410-2022,,2022,2022,20189410,0,CONSTRUCCION PISCINA MUNICIPAL COIHUECO,PROYECTO,PUNILLA,COIHUECO,DISEÑO,MIDESO,DEPORTIVO,31,2,,#REF!,MUNICIP. COIHUECO,COIHUECO,DEPORTE,DEPORTE RECREATIVO,"M$87,518",M$0,"M$87,518","M$87,518",M$0,APROBADO TÉCNICAMENTE,05-01-2022,#REF!,,Sin Analista,,#REF!,,,,,,,,,,613,,,,,,RS,,22-08-2022,,,,,,,,07,#REF!,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
20210001-2021,,2020,2021,20210001,9,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO 1° SEM 2021),PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIA,Capacitación y Empleo,33,1,0,#REF!,TRABAJO,REGIONAL,SUBVENCION,EMPLEO,"$796,515",$0,"$796,515","M$796,515",M$0,,11-11-2020,#REF!,11-11-2020,JAVIER BRITO,,#REF!,,,,,,,,,,,,,,,,RS,,11-12-2020,,,,,,,,,#REF!,1063,17-12-2020,220,08-01-2021,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,$0,PRE INVERSIÓN,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
20210002-2022,,2021,2022,20210002,0,PROGRAMA INVERSIÓN EN LA COMUNIDAD (PROEMPLEO II-2021),PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIA,Capacitación y Empleo,33,3,0,#REF!,TRABAJO,REGIONAL,EMPLEO,EMPLEO,"$712,740",$0,"$712,740","M$712,740",M$0,,22-06-2021,#REF!,25-06-2021,Oscar Diaz Diaz,,#REF!,,,,,,,,,,,,,,,,RS,,31-08-2021,,,,78,31-08-2021,,,,#REF!,736,07-09-2021,0,,,REGIONAL,REGIONAL,20210002,02,006,PROGRAMA PRO EMPLEO 2022 (2° SEMESTRE),"$798,117",$0,373/2021,,3. CREACION PPT.,,,,,,,,,,,,Pamela Solis Perez,Carolina Serey Provoste,DIPIR,SUBT. 33 - PROGRAMAS DIPIR,,,,,,,,,0.00%,$0,$0,INVERSIONES,$0,#VALUE!,#VALUE!,,,,SIN EJECUCIÓN 2021,,,
