,,,,,,,,,
,,,,,,,,,
,,MODIFICACIÓN PRESUPUESTARIA N°05,,,,,,,
,,PROGRAMA DE INVERSIÓN REGIONAL AÑO 2025,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,            GOBIERNO REGIONAL REGIÓN DE ÑUBLE     ,,,,DISTRIBUCIÓN INICIAL M$,PPTO. VIGENTE CON MODIFICACIONES ANTERIORES M$,MODIFICACIÓN N°5 M$,PPTO. VIGENTE      (INCLUYE PRESENTE MODIFICACIÓN) M$
,,            INVERSIÓN REGIONAL REGIÓN DE ÑUBLE ,,,,,,,
,,SUBT.,ITEM,ASIG.,DENOMINACIONES,,,,
,,13,,,TRANSFERENCIAS PARA GASTOS DE CAPITAL,"84,893,917 ","84,165,272 ","4,287,422","79,877,850 "
,,,03,,De Otras Entidades Públicas,"84,893,917 ","84,165,272 ","4,287,422","79,877,850 "
,,,,,,,,,
,,33,,,TRANSFERENCIAS DE CAPITAL ,"12,523,465 ","5,890,503 ","4,287,422","1,603,081 "
,,,03,,A Otras Entidades Públicas,"12,523,465 ","5,890,503 ","4,287,422","1,603,081 "
,,,,999,Provisión Fondo para la Productividad y el Desarrollo(Sin Distribuir),"12,523,465 ","5,890,503 ","4,287,422","1,603,081 "
