I,SOLICITA,FOLIO,FECHA DOCTO,MATERIA,FIRMA,OBSERVACIONES,LINK AL DOCUMENTO,
,veg ,01258,31-12-2024,POSTERGA Y ACUMULA FERIADO LEGAL PARA EL AÑO 2025 DE FUNCIONARIA DEL GOBIERNO REGIONAL DE ÑUBLE ,GONZALO SEPULVEDA GODOY,PAPEL,https://drive.google.com/drive/folders/1kx2y9kE9X9l4wqDJ-soutVP1abtDWADy?usp=sharing,
,ctc,01257,31-12-2024,APRUEBA SOLICITUD DE PERMISO CON GOCE DE REMUNERACIONES.,ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/drive/folders/1V0B4phppLLg8iu0EVCahgGyKg1TAUIVv?usp=sharing,
,ctc,01256,31-12-2024,APRUEBA SOLICITUD DE FERIADO LEGAL DE LOS SIGUIENTES FUNCIONARIOS ,ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/drive/folders/1_NqgpAxKi0wyxZqqPOK3q1d-dJS729gN?usp=sharing,
,jsm ,01255,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO ""TRANSFERENCIA MEJORAMIENTO DE LA CALIDAD DE LA EDUCACION, COMUNA DE PORTEZUELO"" CODIGO BIP 40064191",ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/drive/folders/16Uj2qCqpA1RXl-a3X2fhmq-yaVqrNlDZ?usp=sharing,
,jsm ,01254,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO ""TRANSFERENCIA PROGRAMA DE RECUPERACION ASISTENCIA ESCOLAR EN LA COMUNA DE NINHUE"" CODIGO BIP 40063393",ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/drive/folders/1-MbyyTtBHBEKByhDh7xQDBpu4T1U3UuK?usp=sharing,
,jsm ,01253,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO ""TRANSFERENCIA A PROGRAMA MEJORANDO CALIDAD DE LA EDUCACION, SAN IGNACIO"" CODIGO BIP 40064078",ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/drive/folders/1ZlxvqpnxNo6DgakFH7EqAc_u02tNnKIR?usp=sharing,
,jsm ,01252,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO ""TRANSFERENCIA MEJORANDO LA CALIDAD DE LA EDUCACION ESCOLAR RURAL, COMUNA DE CHILLAN VIEJO"" CODIGO 40063490",ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/drive/folders/1VD9aNdAb8bhB3J94mEE_jvfzLTmbCc86?usp=sharing,
,jsm ,01251,31-12-2024,APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS SUBVENCIONES MUNICIPALES DEL FONDO DE SEGURIDAD CIUDADANA AÑO 2024,ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/drive/folders/14mHV1Omq4Dmu8zcf6fnseV9POWN2rrTJ?usp=sharing,
,jsm ,01250,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCION DE LA INICIATIVA ""ZORROS DE ÑUBLE A PASO FIRME"" CODIGO CVC-AD-34",ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/file/d/1fMTSNoHExGaUNiDFFeXuG2wlUz1Fs38Z/view?usp=drive_link,
,gsg,01249,31-12-2024,ORDENA TRANSFERIR SUMA QUE INDICA POR EMBARGO DECRETADO EN CAUSA LABORAL ,ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/file/d/1E8Hphv6pKDslDtmbwnptG0k5iSrx69c8/view?usp=drive_link,
,jsm ,01248,31-12-2024,"INCREMENTESE, REBAJESE Y ELIMINESE LAS SIGUIENTES INICIATIVAS DEL SUBTITULO 24 ""TRANSFERENCIAS CORRIENTES"" DE LA ASIGNACION 24.01.300 ""CONCURSO DE VINCULACION CON LA COMUNIDAD""",ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/file/d/1j8NUGV03u8SEOeZT1tduFPEgPYR5OeWN/view?usp=drive_link,
,jsm ,01247,31-12-2024,"APRUEBA CONVENIOS DE TRANSFERENCIA DE RECURSOS SUBVENCIONES FONDO SOCIAL SEGURIDAD CIUDADANA, MEDIO AMBIENTE, CULTURA Y ADULTO MAYOR AÑO 2024",ALICIA CONTRERAS VIELMA ,PAPEL,https://drive.google.com/file/d/1eUfY-xq6U1-amidnXDOuw00GjF2HLLq6/view?usp=drive_link,
,mqv,01246,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DEL PROYECTO, “CONSTRUCCIÓN SERVICIOS HIGIÉNICOS Y COCINA PARA SEDE UCAM. COMUNA DE BULNES”, CÓDIGO BIP 40065748-0.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1DMDk2-5ZnKlL_mbLQkTe8md_iYuwSiHp/view?usp=drive_link,
,mqv,01245,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DEL PROYECTO, “CONSTRUCCIÓN JUEGOS INCLUSIVOS PARQUE QUIRELL, SAN CARLOS”, CÓDIGO BIP 40061977-0.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1Fb41AH3a9tU0Iw3le0cR_kmvlydYCjT9/view?usp=drive_link,
,jsm,01244,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DE LA INICIATIVA “DISFRUTA EL DEPORTE Y RESPETA A TU RIVAL”, CÓDIGO CVC-AD-33",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/17EVhOJqiVsKzSugeHT3AJtZqVBr1feBj/view?usp=drive_link,
,mqv,01243,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DEL PROYECTO, “CONSTRUCCIÓN SEDE SOCIAL VILLA LAS AMÉRICAS, SAN CARLOS”, CÓDIGO BIP 40061970-0.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1w6Agufc01P0ajfJVsUG9IPMmE-sr6SaF/view?usp=drive_link,
,jsm,01242,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DE LA INICIATIVA 6ta FECHA CAMPEONATO NACIONAL DE MOUNTAIN BIKE SERIES NINHUE 2024”, CÓDIGO CVC-AD-21",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1-A6HOy8Ybufwq0KKO5EINXsgPTNoqH3G/view?usp=drive_link,
,mqv,01241,31-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DEL PROYECTO, “CONSTRUCCIÓN SEDE SOCIAL LLAHUIMAVIDA, SAN CARLOS”, CÓDIGO BIP 40065097-0.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1tdsk_2uZ5y3S6j0mJNo0z9enEUDLfBrO/view?usp=drive_link,
,veg ,01240,31-12-2024,RECONOCE REALIZACIÓN DE TRABAJO EXTRAORDINARIO Y AUTORIZA EL PAGO DE HORAS EXTRAORDINARIAS DEL FUNCIONARIO QUE SE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1k7a2Z9SXPeWOPbdNYz7P61PRFtu0u8Gs/view?usp=drive_link,
,mqv,01239,31-12-2024,INCREMÉNTESE LAS SIGUIENTES INICIATIVAS DE INVERSIÓN DEL SUBTÍTULO 33-03-125 “MUNICIPALIDADES - FONDO REGIONAL DE INICIATIVA LOCAL” PARA EL AÑO 2024.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/12670MI3nD-ii-y9X0k2XvEpoByBj7-tf/view?usp=drive_link,
,mel,01238,31-12-2024,DISPONE DESTINACIÓN INTERNA DE FUNCIONARIOS Y FUNCIONARIAS DEL GOBIERNO REGIONAL DE ÑUBLE A LAS DIVISIONES Y UNIDADES QUE SEÑALA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1wKTqGR4E8LCdXNTvx4XzpFU33uOlJkHq/view?usp=drive_link,
,rep ,01237,31-12-2024,PRORROGA CONTRATO DE LICITACIÓN PÚBLICA: “SERVICIOS DE ASISTENCIA INFORMATICA” GOBIERNO REGIONAL DE ÑUBLE 2024” ID 1036569-34-LE23.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/169yCfHVCt3eQ0NH5tw3b1fkOxTpzmw8v/view?usp=drive_link,
,ctc,01236,31-12-2024,AUTORIZA EL PAGO DE SERVICIO A HONORARIO DE DICIEMBRE DE 2024 QUE SE INDICAN.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1nCQq1i3lZ9vr-NDd4-QmJKlEVaFrmWdT/view?usp=drive_link,
,ctc,01235,31-12-2024,"AUTORIZA EL PAGO DE RELIQUIDACIONES, DICIEMBRE DE 2024 A LOS FUNCIONARIOS Y FUNCIONARIAS QUE SE INDICA.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1RH3ilM4wDhoqkXAqycOoKJK2kRYmxNe2/view?usp=drive_link,
,rep,01234,31-12-2024,"AUMENTO DE CONTRATO ADQUISICIÓN E INSTALACIÓN DE CÁMARAS DE SEGURIDAD, ILUMINACIÓN Y LECTOR BIOMÉTRICO EN EL ACCESO DEL ESTACIONAMIENTO DEL GOBIERNO REGIONAL DE ÑUBLE.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/19KVavvVx3KCJEtG3dL3Mrr3G5fgyXKek/view?usp=drive_link,
,jsm,01233,31-12-2024,"CRÉESE LAS ASIGNACIONES PRESUPUESTARIAS PARA LAS INICIATIVAS DEL FONDO DE VINCULACIÓN CON LA COMUNIDAD 8% 2024, ASIGNACIONES DIRECTAS, ACTIVIDADES NO CONCURSABLES, CÓDIGO CVC-AD-34 y CVC-AD-36.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1jcBDbwT0xqgSA5rkoCuuIrnJbeeuqJJU/view?usp=drive_link,
,edf,01232,31-12-2024,"APRUEBA RECURSOS ADICIONALES PARA EL PROYECTO DENOMINADO “CONSTRUCCIÓN CARPETA PASTO SINTÉTICO Y CIERRE PERIMETRAL CANCHA DE RECINTO, COMUNA DE PINTO”, CÓDIGO BIP 30480687-0.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/drive/folders/1VxO8g67SKvDaqO5h5PpC1izYG-aHwnbD?usp=sharing,
,veg,01231,31-12-2024,AUTORIZA REALIZACIÓN DE TRABAJO EXTRAORDINARIO A FUNCIONARIOS QUE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1bpyCe-IyEj-U9QzA1DRt6greXWk0q6sF/view?usp=drive_link,
,ech,01230,31-12-2024,APRUEBA MODIFICACIÓN DE CONVENIO DE TRANSFERENCIA DEL PROYECTO TRANSFERENCIA PROGRAMA APL VALLE DEL ITATA DESARROLLO VITIVINÍCOLA SUSTENTABLE CÓDIGO BIP 40032465-0,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/11f1zRnFIumx0hvHVtxxf_i99ScOyBbTi/view?usp=drive_link,
,jsm,01229,30-12-2024,APRUEBA CONVENIOS DE TRANSFERENCIA DE RECURSOS SUBVENCIONES MUNICIPALES DEL FONDO DE SEGURIDAD CIUDADANA AÑO 2024.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1YejqTGPvy5A1TU-1_WM9X7Bjc06C39wb/view?usp=drive_link,
,mqv,01228,30-12-2024,RECTIFICA RESOLUCIÓN EXENTA N°1195 DE FECHA 24 DE DICIEMBRE DE 2024 DEL GOBIERNO REGIONAL DE ÑUBLE.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1lxERl_aK5LsGZPhiTukOUmurF3O6W9gc/view?usp=drive_link,
,fsc,01227,30-12-2024,"AUTORIZA SEGUNDO AUMENTO DE PLAZO EN LA EJECUCIÓN DEL CONVENIO DE TRANSFERENCIA DE RECURSOS PARA EL PROGRAMA FIC “TRANSFERENCIA INNOVACIÓN AGRÍCOLA PARA ENFRENTAR SEQUÍA EN ÑUBLE”, CÓDIGO BIP 40035708-0. APROBADO POR RESOLUCIÓN EXENTA N.º 427, DE 2022, DEL GOBIERNO REGIONAL DE ÑUBLE.",ALICIA CONTRERAS VIELMA ,EMAIL,https://drive.google.com/file/d/1pk5N0U2DKi9Q5g7DXJLxDzxjxYBkQv3c/view?usp=drive_link,
,jsm,01226,30-12-2024,"APRUEBA CONVENIO DE TRANSFERENCIA DE RECURSOS PARA LA EJECUCIÓN DE LA INICIATIVA “VIAJANDO POR NUESTROS SUEÑOS”, CÓDIGO CVC-AD-31.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1ptRyXbaOkYAjVWkozchipGXjmvcchS79/view?usp=drive_link,
,psp,01225,30-12-2024,AUTORIZA UTILIZACIÓN DE LA EXPLANADA DEL GOBIERNO REGIONAL DE ÑUBLE.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1KooI8gQmMG55tU4s5TWTWCWPe6VA_7Ue/view?usp=drive_link,
,veg,01224,30-12-2024,AUTORIZA REALIZACIÓN DE TRABAJO EXTRAORDINARIO A FUNCIONARIOS QUE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1hp988EbRbvDdB_4N4bwdOs1dnQxTlE2F/view?usp=drive_link,
,cjg,01223,30-12-2024,"APRUEBA MODIFICACIÓN DE CONTRATO E INCREMENTO DE RECURSOS PARA EL PROYECTO DENOMINADO “CONSTRUCCIÓN ILUMINACIÓN ESTADIO ISMAEL MARTÍN, COMUNA DE SAN NICOLÁS”, IMPUTACIÓN PRESUPUESTARIA 33-03-125, CÓDIGO BIP 40046207-0.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1kImDBtOu38OdihJ_fVl4eNb4PCFZKOot/view?usp=drive_link,
,mqv,01222,30-12-2024,INCREMÉNTESE LAS SIGUIENTES INICIATIVAS DE INVERSIÓN DEL SUBTÍTULO 33-03-125 “MUNICIPALIDADES - FONDO REGIONAL DE INICIATIVA LOCAL” PARA EL AÑO 2024,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1mZSwrCoKw_v3eVP47NVSfgaCFQMo-doH/view?usp=drive_link,
,acv,01221,30-12-2024,DISPONE CAMBIO DE LA CONDICIÓN CONTRACTUAL PARA FUNCIONARIOS Y FUNCIONARIAS DEL GOBIERNO REGIONAL DE ÑUBLE EN LAS DIVISIONES QUE SEÑALA A PARTIR DEL 01.01.2025,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1DCEdmktwOzYkmubOu9DHwOhYJC_7PGAk/view?usp=drive_link,
,jsm,01220,30-12-2024,"CRÉESE LA ASIGNACIÓN PRESUPUESTARIA PARA LA INICIATIVA DEL FONDO DE VINCULACIÓN CON LA COMUNIDAD 8% 2024, ASIGNACIONES DIRECTAS, ACTIVIDADES NO CONCURSABLES, SIGNADA CON EL CÓDIGO CVC-AD-21.",ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1KAvl-_IIyGUYzSFTB_OtgcE2DgMh-b2M/view?usp=drive_link,
,veg,01219,30-12-2024,RECTIFICASE POSTERGA Y ACUMULA FERIADO LEGAL PARA EL AÑO 2025 DE FUNCIONARIA DEL GOBIERNO REGIONAL DE ÑUBLE,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1aGCnHqLXNnMNCVGvG826u_-BY2kt8UAR/view?usp=drive_link,
,veg,01218,27-12-2024,PRÁCTICA PROFESIONAL DECLARADA NULA O SIN EFECTO.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/14xMlIBD9MxmRQZG-BtX9CC14cCDsKUrF/view?usp=drive_link,
,rep ,01217,27-12-2024,ADJUDICA LICITACIÓN PÚBLICA ID 1036569-48-L124: MATERIALES Y ÚTILES DE OFICINA,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1sGd4jI3XifyH32UNqUpLgF4rvV9ugWLz/view?usp=drive_link,
,joc,01216,27-12-2024,"APRUEBA MODIFICACIÓN DE CONTRATO POR AUMENTO DE OBRAS, DISMINUCIÓN DE OBRAS Y OBRAS EXTRAORDINARIAS, INCREMENTANDO EL PRESUPUESTO DEL PROYECTO DENOMINADO “MEJORAMIENTO CANCHA SAN FRANCISCO, COMUNA DE EL CARMEN”, CÓDIGO BIP 40042052-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1IyhwlG7UujgRMLDVb9-kYkTcwI4gxakE/view?usp=drive_link,
,veg,01215,27-12-2024,RECONOCE REALIZACIÓN DE TRABAJO EXTRAORDINARIO Y AUTORIZA EL PAGO DE HORAS EXTRAORDINARIAS DEL FUNCIONARIO QUE SE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/13px6aJHg0GNaUVodCPF6iyPOlChbe7JF/view?usp=drive_link,
,veg,01214,27-12-2024,AUTORIZA REALIZACIÓN DE TRABAJO EXTRAORDINARIO A FUNCIONARIOS QUE INDICA.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1FBXvXy5DZcnpLgkISkYy0p_uxyyADeXd/view?usp=drive_link,
,veg,01213,27-12-2024,RESCTIFICASE POSTERGA Y ACUMULA FERIADO LEGAL PARA EL AÑO 2025 DE FUNCIONARIA DEL GOBIERNO REGIONAL DE ÑUBLE.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1UJcPeLgyBobrtBXAcZKVWR9u88s9xfTU/view?usp=drive_link,
,veg,01212,27-12-2024,RECONOCE REALIZACIÓN DE TRABAJO EXTRAORDINARIO Y AUTORIZA EL PAGO DE HORAS EXTRAORDINARIAS A LA FUNCIONARIA QUE SE INDICA,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1bKk3xp-kM9yZr3vOKCyQMtvPm3bbsWmv/view?usp=drive_link,
,ctc,01211,27-12-2024,AUTORIZA EL PAGO DE SERVICIOS A HONORARIOS DE DICIEMBRE DE 2024 QUE SE INDICAN.,ALICIA CONTRERAS VIELMA ,DOC DIGITAL ,https://drive.google.com/file/d/1GnvZwGRoMrULIEdLL7rnOCAlKz1F-mAV/view?usp=drive_link,
,jsm,01210,27-12-2024,APRUEBA CONVENIOS DE TRANSFERENCIA DE RECURSOS SUBVENCIONES FONDO DEPORTE Y EQUIDAD DE GÉNERO AÑO 2024.,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/file/d/1L3PJC8NR8J7467WfNlf3Ojd0AxcW4koY/view?usp=drive_link,
