SEGUIMIENTO EJECUCIÓN ASIGNACIONES DIRECTAS ,,,,,,,,,,,,,,,,,,
N°,REFERENTE UCR,CÓDIGO,NOMBRE INICIATIVA,UNIDAD EJECUTORA,AÑO INICIO EJECUCIÓN,"ESTADO DE LA INICIATIVA (En Ejecución, ejecutada, terminada)",ESTADO DE LA RENDICIÓN,REFERENTE TÉCNICO,NUMERO Y FECHA DE LA RESOLUCIÓN QUE NOMBRA EL RF,DIVISIÓN,MONTO TRANSFERIDO,FECHA DE LA TRANSFERENCIA,MONTO RENDIDO,MONTO REINTEGRADO,TOTAL RENDIDO,SALDO,% RENDIDO A LA FECHA,OBSERVACIONES
1,VICTOR RETAMAL,2301ADC001,PROGROMA SOCIAL DE EMERGENCIA PARA ÑUBLE,ADRA,2023,TERMINADA,APROBADA,GABRIELA TOLEDO,65/17-05-2023,DIDESOH,$ 854.061.763,,$ 783.546.943,$ -,"$783,546,943","$70,514,820","91,74%","Iniciativa cerrada técnica y financieramente
"
2,VICTOR RETAMAL,2301ADC002,"CLINICAS VETERINARIAS MOVILES EN AYUDA A ÑUBLE, PRIMEROS AUXILIOS PARA MASCOTAS",COLEGIO MEDICO VETERINARIO DE CHILE A.G,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,175/24-02-2023,DIDESOH,$ 41.100.979,,$ 41.100.979,$ -,"$41,100,979",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
3,FERNANDO RIQUELME,2301ADNCC01,TEMPORADA DE CONCIERTOS SINFONICOS ÑUBLE 2023,ORQUESTA DE CAMARA DE SAN CARLOS,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,590/09-05-2023,DIDESOH,$ 166.750.580,,$ 166.480.104,$270.48,"$166,750,580",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
4,FERNANDO RIQUELME,2303ADNCD02,GORE PROMESA ÑUBLE 2023,INSTITUTO NACIONAL DE DEPORTES DE CHILE,2023,TERMINADA,EN REVISIÓN UCR,CÉSAR NAVARRETE,627/17-05-2023,DIDESOH,$ 100.000.000,,$ -,$ -,$ -,"$100,000,000","0,00%",Rendición con cierre tecnico aprobado el 10-07-2025 y enviado a UCR. (Cesar hacer seguimiento con la UCR)
5,VICTOR RETAMAL,2303ADNCD03,EL CLUB DE TAEKWONDO SE-PUL KIDS ENTRENA PARA ENTREGAR MEDALLAS A LA REGIÓN DE ÑUBLE AÑO 2023,CLUB TAEKWONDO SE-PUL KIDS,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,608/11-05-2023,DIDESOH,$ 5.000.000,,$ 5.000.000,$ -,"$5,000,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
6,VICTOR RETAMAL,2303ADNCD04,DEPORTISTAS PARALÍMPICAS EN EVENTOS INTERNACIONALES DE TENIS DE MESA 2023,ASOCIACIÓN DE TENIS DE MESA CHILLÁN,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,643/23-05-2023,DIDESOH,$ 19.953.349,,$ -,$ -,$ -,"$19,953,349","0,00%",Iniciativa cerrada técnica y financieramente (aprobada en comisión)
7,FERNANDO RIQUELME,2301ADNCC02,"CULTURAS CHILLÁN 2023, RECONSTRUYENDO ÑUBLE",CORPORACIÓN CULTURAL MUNICIPAL DE CHILLÁN,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,659/30-05-2023,DIDESOH,$ 145.000.000,,$ -,$ -,$ -,"$145,000,000",100%,cerrada tecnica y financieramente
8,VICTOR RETAMAL,2301ADNCD010,CUARTA FECHA CAMPEONATO REGIONAL SH ENDURO ÑUBLE 2023,ASOCIACIÓN MUNICIPALIDADES VALLE DEL ITATA,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,891/16-06-2023,DIDESOH,$ 2.500.000,,$ 2.500.000,$ -,"$2,500,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
9,FERNANDO RIQUELME,2301ADCND007,ACTIVA TU DOMINGO,FUNDACIÓN CICLORECREOVIAS,2023,TERMINADA,EN REVISIÓN UCR,CÉSAR NAVARRETE,828/27-12-2023,DIDESOH,$ 198.644.380,,$ -,$ -,$ -,"$198,644,380","0,00%","Institución debe reintegrar recuros, fue notificada via correo electronico por UCR el día 16 de octubre, plazo para reintegro 30 dias. (ORANIZACION ESTA SOLICITANDO 15 DIAS PARA SUBSANAR, REVISAR CON DAF Y JURIDICA)"
10,VICTOR RETAMAL,2301ADNC001,ACERCANDO TU LICEO,SOC. EDUCACIONAL DE LA SOCIEDAD DE AGRICULTURA FG,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,867/09-06-2023,DIDESOH,$ 15.000.000,,$ 14.340.000,$660.00,"$15,000,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
11,VICTOR RETAMAL,2301ADNC05,ITINERANCIA 40 AÑOS DE CANTO Y AMISTAD POR LA REGIÓN DE ÑUBLE,CONJUNTO DE FOLCLOR PALOMAR DE CHILLÁN,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1105/23-10-2023,DIDESOH,$ 10.000.000,,$ -,$ -,$ -,"$10,000,000","0,00%",Iniciativa cerrada técnica y financieramente (aprobada en comisión)
12,VICTOR RETAMAL,2301ADNCC04,"RESCATANDO LA HISTORIA, EL PASADO Y PRESENTE DE LA REGIÓN DE ÑUBLE",CORPORACIÓN DE ADELANTO Y DESARROLLO DE ÑUBLE,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,940/01-10-2023,DIDESOH,$ 22.200.000,,$ -,$ -,$ -,"$22,200,000","0,00%",Iniciativa cerrada técnica y financieramente
13,VICTOR RETAMAL,2301ADCC06,VIAJE AL FESTIVAL PIANISSIMO DE COLOMBIA,AMIGOS DEL ARTE CLAUDIO ARRAU LEÓN,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1106/23-10-2023,DIDESOH,$ 3.000.000,,$ 3.000.000,$ -,"$3,000,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
14,VICTOR RETAMAL,2301ADNCC07,16VO ÑUBLE FEST,ASOCIACIÓN DOSEL,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,112826-10-2023,DIDESOH,$ 19.000.000,,$ 18.869.593,$130.41,"$19,000,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
15,VICTOR RETAMAL,2301ADNCD04,"JUEGOS NACIONALES DE INVIERNO, OLIMPIADAS ESPECIALES ÑUBLE 2023",FUNDACIÓN SPECIAL OLYMPICS,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,780/12-07-2023,DIDESOH,$ 50.000.000,,$ 50.000.000,$ -,"$50,000,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
16,VICTOR RETAMAL,2301ADNCD008,IMPLEMENTACIÓN AMBULANCIA PARA TEMPORADA DEPORTIVA 2023/2024,ASOCIACIÓN DEPORTIVA Y CULTURAL CLUBES DE HUASOS ÑUBLE,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,930/28-08-2023,DIDESOH,$ 11.500.000,,$700.00,$ -,$700.00,"$10,800,000","6,09%",Iniciativa cerrada técnica y financieramente (aprobada en comisión)
17,FERNANDO RIQUELME,2301ADNCD009,MEJORANDO LA PARTICIPACIÓN EN CAMPEONATOS LOCALES Y REGIONALES,UNIÓN COMUNAL DE CLUBES DEPORTIVOS ASOCIACIÓN FUTBOL,2023,TERMINADA,EN REVISIÓN UCR,CÉSAR NAVARRETE,910/22-08-2023,DIDESOH,$ 34.095.000,,$ -,$ -,$ -,"$34,095,000","0,00%",Rendición con cierre tecnico aprobado el 02-06-2025 y enviado a UCR. (Cesar hacer seguimiento con la UCR)
18,VICTOR RETAMAL,2303ADNCD05,EVENTO RALLY MOBIL ÑUBLE 2023,SERNATUR,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,674/01-06-2023,DIDESOH,$ 50.000.000,,$ 50.000.000,$ -,"$50,000.00",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
19,FERNANDO RIQUELME,2303ADNCD06,BUSCANDO LA CLASIFICACIÓN A LOS JUEGOS PANAMERICANOS STGO 2023,CLUB TAEKWONDO RYUN MUKWAN,2023,TERMINADA,RECHAZADA,CÉSAR NAVARRETE,881/14-08-2023,DIDESOH,$ 5.000.000,,$ -,$ -,$ -,"$5,000,000","0,00%",Iniciativa Judicializada (Cesar hacer seguimiento con la UCR)
20,VICTOR RETAMAL,2301ADCD008,5TA FECHA CAMPEONATO NACIONAL DE MOUNTAIN BIKE ENDURO SERIES NINHUE,CLUB DE MOUNTAIN BIKE DE NINHUE,2023,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1040/05-09-2023,DIDESOH,$ 15.000.000,,$ 15.000.000,$ -,"$15,000,000",$ -,"100,00%",Iniciativa cerrada técnica y financieramente
