FONDO,NO TRANSFERIDO,ORGANIZACIONES TRANSFERIDADAS,RENDIDAS,ENVIADAS A LA UCR,CON OBSERVACIONES TÉCNICAS,PENDIENTE DE REVISIÓN ,NO RENDIDA,RENDICIÓN INGRESADA FUERA DE PLAZO
DEPORTE,12,312,279,149,130,4,33,157
CULTURA,9,154,152,129,21,0,2,59
SOCIAL,6,176,162,152,10,0,14,65
SEGURIDAD,16,533,507,421,86,2,24,225
EQUIDAD DE GENERO,7,110,110,108,2,0,0,53
ADULTO MAYOR,16,218,218,216,2,0,0,42
MEDIO AMBIENTE,1,110,109,103,6,0,1,32
TOTAL,67,1613,1537,1278,257,6,74,633
,,,,,,,,
"Importante: La nómina de organizaciones que no rindió los recursos transferidos, debe ser enviada a la unida Juridica para que se proceda a los cobros judiciales.",,,,,,,,
,,,,,,,,
"Revisar los plazos que se otorgaron para dar respuesta a las observaciones, ya que, si no se respetaron sin justificación, hay que consolidadar nomina y tomar las  medidas administrativas y judiciales pertinentes. ",,,,,,,,
