,RESPONSABLE,DE,FOLIO,FECHA DOCTO,PARA:,MATERIA,FIRMA,VÍA DESPACHO,FECHA ENTREGA,OBSERVACIONES,FIRMA RECEPCIÓN,LINK AL DOCUMENTO,
,acv,DAF,01236,31-12-2024,JUAN PABLO CHORIBIT PROFESIONAL UNIDAD DE CONTROL DE GESTION INSTITUCIONAL ENCARGADO INSTITUCIONAL CDC 2024 ,VERIFICADORES CDC 2024 - EQUIPO DAF - OBJETIVO DE GESTION DAF 1,ALICIA CONTRERAS ,PAPEL,02-01-2025,,,,
,acv,DAF,01235,30-12-2024,JUAN PABLO CHORIBIT PROFESIONAL UNIDAD DE CONTROL DE GESTION INSTITUCIONAL ENCARGADO INSTITUCIONAL CDC 2024 ,VERIFICADORES CDC 2024 - EQUIPO DAF - OBJETIVO DE GESTION DAF 3,ALICIA CONTRERAS ,PAPEL,02-01-2025,,,,
,acv,ADM,01234,30-12-2024,GONZALO SEPULVEDA,SOLICITA PAGO DE HORAS EXTRA A FUNCIONARIO ,ALICIA CONTRERAS ,PAPEL,02-01-2025,,,,
,aaz,GAB,01233,30-12-2024,ALICIA CONTRERAS ,SOLICITA PAGO DE HORAS EXTRA A FUNCIONARIO ,ALEJANDRO AGUILERA,PAPEL,02-01-2025,,,,
,hvf,DAF,01232,30-12-2024,ALICIA CONTRERAS ,SOLICITA PAGO DE HORAS EXTRA A FUNCIONARIO ,HECTOR VILLABLANCA,PAPEL,02-01-2025,,,,
,vrm,DAF,01231,30-12-2024,ALICIA CONTRERAS ,SOLICITA PAGO DE HORAS EXTRA A FUNCIONARIO ,VICTOR RETAMAL ,PAPEL,02-01-2025,,,,
,jpg,DIPIR,01230,30-12-2024,ALICIA CONTRERAS ,SOLICITA PAGO DE HORAS EXTRA A FUNCIONARIO ,JUAN PARADA ,PAPEL,02-01-2025,,,,
,gsg,DAF,01229,30-12-2024,ALICIA CONTRERAS ,SOLICITA PAGO DE HORAS EXTRA A FUNCIONARIO ,GONZALO SEPULVEDA,PAPEL,02-01-2025,,,,
,jbd ,DIFOI,01228,30-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE ABRIL 2024 PROGRAMA ""TRANSFERENCIA TURISMO RURAL PATRIMONIAL, VALLE DEL ITATA"" COD BIP 40035947",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,02-01-2025,,,,
,jbd ,DIFOI,01227,30-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE MARZO 2024 PROGRAMA ""TRANSFERENCIA TURISMO RURAL PATRIMONIAL, VALLE DEL ITATA"" COD BIP 40035947",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,02-01-2025,,,,
,jbd ,DIFOI,01226,30-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS MES DE FEBRERO 2024 PROGRAMA ""TRANSFERENCIA TURISMO RURAL PATRIMONIAL, VALLE DEL ITATA"" COD BIP 40035947",RAUL SÚNICO GALDAMES JEFE DIVISIÓN DE FOMENTO E INDUSTRIA,PAPEL,02-01-2025,,,,
,jsm,DIPIR,01225,30-12-2024,SR. GONZALO SEPÚLVEDA GODOY JEFE DIVISIÓN DE ADMINISTRACIÓN Y FINANZAS (S) GOBIERNO REGIONAL DE ÑUBLE,"REMITE PAGARÉ DE ASIGNACIÓN DIRECTA, CÓDIGO CVC-AD-31, PARA SU CUSTODIA.",SR. JUAN PARADA GONZALEZ JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,02-01-2025,,,https://drive.google.com/file/d/1zy5A9Z4Ym7IRodhfbgYQoszLmxGOiyn6/view?usp=drive_link,
,jpch,,01224,30-12-2024,,,,,,,,,
,jpch,,01223,30-12-2024,,,,,,,,,
,chl,DIT ,01222,30-12-2024,UNIDAD DE CONTROL DE RENDICIONES,ENVIA RENDICIÓN DE CUENTAS MESES ENERO-FEBRERO-MARZO 2024 PROGRAMA CÓDIGO BIP 40050692-0.,CRISTIAN QUIROZ REYES JEFE DE DIVISIÓN INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,,,,https://drive.google.com/file/d/15YWnUsoEZ-CUcb50NE0JwUq9eZzCCIHu/view?usp=drive_link,
,pnj,DIT ,01221,27-12-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40035951-0, MES DE OCTUBRE 2024.",CRISTIAN QUIROZ REYES JEFE DIVISIÓN DE INFRAESTRUCTURA Y TRANSPORTES,DOCDIGITAL,,,,https://drive.google.com/file/d/1KnoBvQv8WJK1Bg0YN1kKl_4PJuGDVMMV/view?usp=drive_link,
