ENROCADO,,,,,,,,,,,,,,,,,,,,,,
C,VIA RECEPCIÓN,NÚMERO DOCUMENTO,TIPO DE DOCUMENTO,FECHA DOCUMENTO,FECHA RECEPCIÓN,FECHA DE ENTREGA,REMITENTE,DESTINATARIO,MATERIA,VIA DISTRIBUCIÓN,ADJUNTO,DERIVADO A: (DIVISIÓN),RECEPCIONADO POR,FECHA,FIRMA,Responsable,Medio derivación,FECHA,Respuesta si/no,Instrucción,Plazo,Observación
,,,,,,,,,,,,,,,,,,,,,,
5827,PAPEL,S/N,OFICIO,27-12-24,27-12-24,08-01-25,FRANCISCO RODRIGO ANDRES SEPULVEDA AVILA REPRESENTANTE LEGAL ORQUESTA DE CAMARA DE SAN CARLOS,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS,ENVIA RENDICION DE CUENTAS MES  DICIEMBRE CORRESPONDIENTE A TRANSFERENCIA PARA EL AACESO CULTURA DE LA REGION DE ÑUBLE COD. 40056218-0 SAN CARLOS ,PAPEL,,UCR,,,,,,,,,,
5826,PAPEL,2599,OFICIO,26-12-24,27-12-24,06-01-25,CAROLINA MENDOZA CONTRERAS ENCARGADA DEPTO. ADMI. Y FINANZAS SERVICIO DE VIVIENDA  URBANIZACION REGION DE ÑUBLE ,ALICIA CONTRERAS VIELMA JEFA (S) DAF GOBIERNO REGIONAL DE ÑUBLE,RESPONDE SOLICITUD DE RETIRO DE MATERIAL Y PERTENENCIAS INUTILIZADAS DEL SUBTERRANEO EDIFICIOS PUBLICOS S/N,PAPEL,,DAF,,,,,,,,,,
5825,DOC DIGITAL ,1325,OFICIO,31-12-24,31-12-24,03-01-25,ALCALDE COMUNA DE SAN NICOLAS SR. VICTOR TORO LEIVA,GOBERNADOR REGIONAL DE ÑUBLE SR. ÓSCAR CRISÓSTOMO LLANOS,ENVÍA ANTECEDENTES CORRESPONDIENTES A ESTADO DE PAGO UNICO DEL PROYECTO DE PROYECTO “REPOSICIÓN CAMIONES TOLVA COMUNA DE SAN NICOLÁS” ID 1493-118-LQ24-,DOC DIGITAL ,,DIPIR,CAROLINA SEREY - JAVIER BRITO,,,,,,,,,
5824,DOC DIGITAL ,183,OFICIO,27-12-24,27-12-24,03-01-25,AUGUSTO HERNÁN GONZÁLEZ JELDRES DIRECTOR REGIONAL DE TURISMO REGIÓN DE ÑUBLE,ÓSCAR CRISÓSTOMO LLANOS GOBERNADOR REGIONAL REGIÓN DE ÑUBLE,"SOLICITA SEGUNDA REMESA FNDR ""TRANSFERENCIA FORTALECIMIENTO DEL TURISMO SOCIAL EN LA REGIÓN DE ÑUBLE” CÓDIGO BIP 40058836-0",DOC DIGITAL ,,,,,,,,,,,,
5823,DOC DIGITAL ,1430,OFICIO,31-12-24,31-12-24,03-01-25,ELIZABETH ANDREA ABARCA TRIVIÑO DIRECTORA SERVICIO SALUD DE ÑUBLE ,SR. OSCAR CRISÓSTOMO LLANOS. GOBERNADORA DE LA REGIÓN DE ÑUBLE,"ENVÍA ESTADO DE PAGO N°10 “ADQUISICIÓN EQUIPAMIENTO CRÍTICO PARA EL HOSPITAL CLÍNICO HERMINDA MARTIN, CÓDIGO BIP 40033865-0”.",DOC DIGITAL ,,DIPIR,JORGE OÑATE,,,,,,,,,
5822,DOC DIGITAL ,182,OFICIO,27-12-24,27-12-24,03-01-25,AUGUSTO HERNÁN GONZÁLEZ JELDRES DIRECTOR REGIONAL DE TURISMO REGIÓN DE ÑUBLE,ÓSCAR CRISÓSTOMO LLANOS,"SOLICITA SEGUNDA REMESA FNDR “TRANSFERENCIA DESARROLLO DE COMPETENCIAS Y PROMOCIÓN TURÍSTICA NACIONALES E INTERNACIONALES – REGIÓN DE ÑUBLE”, CÓDIGO BIP 40058688-0.",DOC DIGITAL ,,DIFOI,JOSE OGGIE,,,,,,,,,
5821,DOC DIGITAL ,4149,RES EXE ,27-12-24,27-12-24,03-01-25,DIRECCION GENERAL DE AGUAS,GOBIERNO REGIONAL DE ÑUBLE,"DECLARA INADMISIBLES OFERTAS QUE INDICA EN LA LICITACIÓN PÚBLICA DE PRESTACIÓN DE SERVICIOS PERSONALES DENOMINADA “ANÁLISIS Y CARACTERIZACIÓN DEL ACUÍFERO DE LA CUENCA DEL RÍO ITATA, PLANIFICACIÓN Y GESTIÓN”, ID N° 890-3-LR24, POR LAS RAZONES QUE INDICA.",DOC DIGITAL ,,DIT,PABLO NUÑEZ,,,,,,,,,
5820,DOC DIGITAL ,37372,,,,03-01-25,MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA,,,DOC DIGITAL ,,ADM,JUAN PABLO CHORIBIT,,,,,,,,,
5819,DOC DIGITAL ,713,OFICIO,27-12-24,27-12-24,03-01-25,RODRIGO SANHUEZA BRAVO DIRECTOR DIRECCIÓN GENERAL DE AGUAS MINISTERIO DE OBRAS PÚBLICAS,SEGUN DISTRIBUCION,ENTREGA INFORME 2024 SOBRE: “PROGRAMAS DE INVESTIGACIÓN E INVERSIÓN EN RECURSOS HÍDRICOS QUE CUENTEN CON FINANCIAMIENTO DEL ESTADO”.,DOC DIGITAL ,,DIT,PABLO NUÑEZ,,,,,,,,,
