raw_role	canonical_role_keys	match_method	omega_layers	notes
Encargado de Calidad	encargado_calidad	exact	GOBIERNO_REGIONAL	
Abogado Informante	abogado_informante	exact	GOBIERNO_REGIONAL	
Abogado Convenios	abogado_convenios	exact	GOBIERNO_REGIONAL	
Abogado DAF	abogado_daf	exact	GOBIERNO_REGIONAL	
Abogado Procesos Disciplinarios	abogado_disciplinarios	exact	GOBIERNO_REGIONAL	
Abogado Asuntos Judiciales	abogado_judiciales	exact	GOBIERNO_REGIONAL	
Abogado Licitaciones	abogado_licitaciones	exact	GOBIERNO_REGIONAL	
Abogado Revisor	abogado_revisor	exact	GOBIERNO_REGIONAL	
Especialista BI	especialista_bi	exact	EXTERNO_OTROS	
Analista Contable	analista_contable	exact	GOBIERNO_REGIONAL	
Analista Ciclo de Vida	analista_ciclo_vida	exact	GOBIERNO_REGIONAL	
Administrador Plataforma	admin_plataforma	exact	GOBIERNO_REGIONAL	
Administrador Geonodo	admin_geonodo	exact	EXTERNO_OTROS	
Analista Evaluación	analista_evaluacion	exact	GOBIERNO_REGIONAL	
Alcalde	alcalde	exact	TERRITORIO	
Alcalde de Chillán	alcalde	pattern	TERRITORIO	comuna=de Chillán
Alcalde de Chillán Viejo	alcalde	pattern	TERRITORIO	comuna=de Chillán Viejo
Alcalde de San Carlos	alcalde	pattern	TERRITORIO	comuna=de San Carlos
Analista de Prevención / Gestor Territorial	analista_prevencion	partial	GOBIERNO_REGIONAL	unresolved=Gestor Territorial
Analista de Modificaciones Presupuestarias	analista_modificaciones	fuzzy	GOBIERNO_REGIONAL	score=1.00
Representante AMUCH	representante_amuch	exact	EXTERNO_OTROS	
Analista de Inversión	analista_inversion	exact	GOBIERNO_REGIONAL	
Analista PPR	analista_ppr	exact	GOBIERNO_REGIONAL	
Analista Seguimiento	analista_seguimiento	exact	GOBIERNO_REGIONAL	
Analista Presupuesto	analista_presupuesto	exact	GOBIERNO_REGIONAL	
Representante ANCORE	ancore	exact	EXTERNO_OTROS	
Representante ANID	representante_anid	exact	EXTERNO_OTROS	
Profesional Apoyo CORE	profesional_apoyo_core	exact	GOBIERNO_REGIONAL	
Analista Preinversión (DAE)	analista_preinversion	exact	GOBIERNO_REGIONAL	
Analista Prevención	analista_prevencion	exact	GOBIERNO_REGIONAL	
Jefe Unidad Jurídica	jefe_juridica	exact	GOBIERNO_REGIONAL	
Encargado de Archivo	encargado_archivo	exact	GOBIERNO_REGIONAL	
Arquitecto Revisor (Proyectos)	arquitecto_revisor_proy	exact	GOBIERNO_REGIONAL	
Arquitecto de Datos	arquitecto_datos	exact	GOBIERNO_REGIONAL	
Arquitecto Categórico	arquitecto_categorico	exact	GOBIERNO_REGIONAL	
Dirigente Social	dirigente_social	exact	EXTERNO_OTROS	
Analista Servicios Generales	analista_servicios_generales	exact	GOBIERNO_REGIONAL	
Asesor Técnico Seguridad	asesor_seguridad	exact	GOBIERNO_REGIONAL	
Analista Control Asistencia	analista_control_asistencia	exact	GOBIERNO_REGIONAL	
Analista Territorial	analista_territorial	exact	GOBIERNO_REGIONAL	
Analista Tesorería	analista_tesoreria	exact	GOBIERNO_REGIONAL	
Analista Operativo Transferencias	analista_transferencias	exact	GOBIERNO_REGIONAL	
Profesional DAF	profesional_daf	exact	GOBIERNO_REGIONAL	
Auditor de Control	auditor_control	exact	GOBIERNO_REGIONAL	
Auditor Externo	auditor_externo	exact	GOBIERNO_REGIONAL	
